Epochs	Loss	
1	0.094681
2	0.092712
3	0.093442
4	0.091349
5	0.091609
6	0.090888
7	0.088528
8	0.087558
9	0.088067
10	0.087730
11	0.086974
12	0.085520
13	0.084298
14	0.085603
15	0.084266
16	0.083959
17	0.083487
18	0.082667
19	0.082849
20	0.080517
21	0.080491
22	0.080772
23	0.079872
24	0.078790
25	0.077288
26	0.078574
27	0.077159
28	0.076599
29	0.076470
30	0.075396
31	0.075076
32	0.074420
33	0.075086
34	0.073833
35	0.074098
36	0.073139
37	0.072906
38	0.072047
39	0.072923
40	0.071518
41	0.071430
42	0.070333
43	0.070693
44	0.069506
45	0.069932
46	0.069093
47	0.068717
48	0.069256
49	0.068301
50	0.067278
51	0.069344
52	0.067387
53	0.067395
54	0.065769
55	0.064604
56	0.066049
57	0.065897
58	0.065894
59	0.063992
60	0.064917
61	0.065676
62	0.064309
63	0.064666
64	0.065088
65	0.063284
66	0.064330
67	0.063889
68	0.064701
69	0.062456
70	0.063579
71	0.063843
72	0.061972
73	0.063971
74	0.063271
75	0.061967
76	0.064663
77	0.063141
78	0.061759
79	0.061863
80	0.061972
81	0.061901
82	0.060822
83	0.061336
84	0.061233
85	0.060962
86	0.060995
87	0.059695
88	0.060289
89	0.061173
90	0.060031
91	0.059163
92	0.060866
93	0.059982
94	0.059337
95	0.060524
96	0.058745
97	0.059133
98	0.059094
99	0.060212
100	0.058187
101	0.058481
102	0.058145
103	0.058234
104	0.058011
105	0.058140
106	0.057601
107	0.059091
108	0.059042
109	0.057881
110	0.056802
111	0.057854
112	0.059160
113	0.057032
114	0.056777
115	0.056583
116	0.057857
117	0.057497
118	0.058157
119	0.056085
120	0.056437
121	0.056267
122	0.056097
123	0.056876
124	0.056000
125	0.055607
126	0.056887
127	0.056519
128	0.056457
129	0.057212
130	0.056164
131	0.055939
132	0.056219
133	0.055932
134	0.056464
135	0.056180
136	0.054741
137	0.055340
138	0.055261
139	0.055032
140	0.055388
141	0.055217
142	0.054779
143	0.054355
144	0.054677
145	0.053962
146	0.054999
147	0.054356
148	0.055342
149	0.054302
150	0.054233
151	0.054679
152	0.054729
153	0.054441
154	0.053827
155	0.054826
156	0.054695
157	0.055054
158	0.054828
159	0.054095
160	0.054184
161	0.053820
162	0.053787
163	0.052227
164	0.053430
165	0.054130
166	0.053429
167	0.053446
168	0.053638
169	0.054157
170	0.052708
171	0.053284
172	0.053869
173	0.054377
174	0.052802
175	0.053176
176	0.053557
177	0.052753
178	0.053310
179	0.052746
180	0.053646
181	0.054066
182	0.052953
183	0.053357
184	0.052445
185	0.052892
186	0.052930
187	0.053938
188	0.052349
189	0.052384
190	0.052746
191	0.052442
192	0.053047
193	0.052087
194	0.052441
195	0.053750
196	0.053322
197	0.051599
198	0.052516
199	0.051780
200	0.053094
201	0.052826
202	0.052661
203	0.052690
204	0.053343
205	0.052780
206	0.052077
207	0.052768
208	0.052104
209	0.052396
210	0.052853
211	0.052865
212	0.054032
213	0.052241
214	0.052164
215	0.051462
216	0.052288
217	0.052559
218	0.052434
219	0.052250
220	0.052015
221	0.053212
222	0.051822
223	0.052478
224	0.050994
225	0.051776
226	0.051530
227	0.051985
228	0.052558
229	0.052082
230	0.052911
231	0.052687
232	0.051633
233	0.052231
234	0.051555
235	0.051683
236	0.051071
237	0.051032
238	0.051828
239	0.051160
240	0.051848
241	0.052307
242	0.051425
243	0.051368
244	0.051375
245	0.051698
246	0.051955
247	0.051991
248	0.052112
249	0.050983
250	0.050538
251	0.051300
252	0.050669
253	0.051958
254	0.050915
255	0.051461
256	0.052062
257	0.052191
258	0.051968
259	0.053046
260	0.050574
261	0.051638
262	0.051195
263	0.051439
264	0.052201
265	0.051087
266	0.050439
267	0.052176
268	0.051519
269	0.051184
270	0.051594
271	0.051606
272	0.050254
273	0.052160
274	0.051777
275	0.051046
276	0.051480
277	0.050895
278	0.051687
279	0.050812
280	0.050638
281	0.050751
282	0.050882
283	0.050694
284	0.051478
285	0.051523
286	0.051074
287	0.051099
288	0.051086
289	0.050516
290	0.050600
291	0.050881
292	0.051427
293	0.050554
294	0.050811
295	0.051286
296	0.050786
297	0.051735
298	0.050598
299	0.051570
300	0.051665
301	0.050377
302	0.051110
303	0.051352
304	0.050617
305	0.050520
306	0.050499
307	0.051539
308	0.050548
309	0.050823
310	0.051247
311	0.051336
312	0.051315
313	0.051946
314	0.050346
315	0.050821
316	0.050867
317	0.050597
318	0.050687
319	0.052106
320	0.051905
321	0.050408
322	0.050150
323	0.052381
324	0.050267
325	0.051289
326	0.050557
327	0.050735
328	0.049979
329	0.051677
330	0.050707
331	0.050125
332	0.049858
333	0.050217
334	0.050587
335	0.050027
336	0.050910
337	0.051251
338	0.050637
339	0.051332
340	0.051316
341	0.050840
342	0.050769
343	0.049802
344	0.051164
345	0.051067
346	0.051242
347	0.049766
348	0.050784
349	0.050098
350	0.051617
351	0.050215
352	0.050279
353	0.050063
354	0.049436
355	0.050098
356	0.050390
357	0.050124
358	0.050523
359	0.050585
360	0.051681
361	0.049600
362	0.051430
363	0.051514
364	0.049744
365	0.051186
366	0.049527
367	0.049448
368	0.050198
369	0.050108
370	0.051066
371	0.049713
372	0.049617
373	0.049726
374	0.050354
375	0.051198
376	0.050233
377	0.049204
378	0.050497
379	0.050361
380	0.050389
381	0.049676
382	0.050089
383	0.049992
384	0.051316
385	0.049745
386	0.050650
387	0.049838
388	0.051419
389	0.050160
390	0.050588
391	0.049523
392	0.049769
393	0.050190
394	0.051311
395	0.050637
396	0.050579
397	0.050345
398	0.050906
399	0.049171
400	0.050951
401	0.050884
402	0.049794
403	0.049948
404	0.049194
405	0.049500
406	0.049140
407	0.050825
408	0.049943
409	0.049756
410	0.050278
411	0.050313
412	0.050122
413	0.049726
414	0.050420
415	0.049763
416	0.050391
417	0.048949
418	0.049787
419	0.050304
420	0.050569
421	0.051232
422	0.050734
423	0.050725
424	0.049512
425	0.050105
426	0.050888
427	0.049751
428	0.049955
429	0.050019
430	0.051082
431	0.051498
432	0.050500
433	0.049896
434	0.049599
435	0.050275
436	0.050633
437	0.049987
438	0.048939
439	0.050174
440	0.049452
441	0.049901
442	0.049975
443	0.049904
444	0.050134
445	0.050383
446	0.049719
447	0.049376
448	0.050491
449	0.049355
450	0.049850
451	0.048838
452	0.050496
453	0.049539
454	0.049878
455	0.049067
456	0.050702
457	0.049737
458	0.050784
459	0.051280
460	0.050234
461	0.050469
462	0.050088
463	0.051292
464	0.049386
465	0.051094
466	0.050340
467	0.050148
468	0.049659
469	0.050328
470	0.049334
471	0.048670
472	0.050620
473	0.048938
474	0.049751
475	0.049243
476	0.049810
477	0.048969
478	0.050315
479	0.049246
480	0.051096
481	0.049882
482	0.049053
483	0.050443
484	0.051248
485	0.050145
486	0.048733
487	0.049837
488	0.049254
489	0.051488
490	0.049863
491	0.050462
492	0.049176
493	0.049373
494	0.049236
495	0.050861
496	0.049817
497	0.049153
498	0.048463
499	0.049848
500	0.050282
501	0.050608
502	0.049851
503	0.048928
504	0.048792
505	0.049929
506	0.050401
507	0.049322
508	0.050147
509	0.050111
510	0.048997
511	0.049800
512	0.048936
513	0.051097
514	0.050230
515	0.048636
516	0.048949
517	0.051190
518	0.049426
519	0.050525
520	0.050198
521	0.049474
522	0.049511
523	0.048811
524	0.050170
525	0.049564
526	0.050163
527	0.049792
528	0.049258
529	0.049082
530	0.049601
531	0.049570
532	0.048466
533	0.050337
534	0.049133
535	0.049678
536	0.049214
537	0.049752
538	0.049819
539	0.049364
540	0.049564
541	0.049209
542	0.049399
543	0.049111
544	0.050590
545	0.049274
546	0.049318
547	0.049795
548	0.049230
549	0.049879
550	0.049839
551	0.049625
552	0.049396
553	0.049495
554	0.050237
555	0.049393
556	0.048543
557	0.049085
558	0.049457
559	0.049442
560	0.049546
561	0.049113
562	0.049019
563	0.049940
564	0.049217
565	0.050368
566	0.050173
567	0.049726
568	0.049300
569	0.049949
570	0.050705
571	0.048780
572	0.048810
573	0.049628
574	0.049778
575	0.049163
576	0.048665
577	0.049158
578	0.048854
579	0.048505
580	0.049253
581	0.049818
582	0.049935
583	0.048964
584	0.049153
585	0.050349
586	0.049357
587	0.049625
588	0.049259
589	0.048674
590	0.051082
591	0.050348
592	0.050158
593	0.049139
594	0.049939
595	0.048121
596	0.049329
597	0.049091
598	0.049089
599	0.048892
600	0.049881
601	0.049890
602	0.049250
603	0.049215
604	0.048347
605	0.049305
606	0.049744
607	0.049382
608	0.049460
609	0.048328
610	0.049040
611	0.050885
612	0.050560
613	0.050337
614	0.048148
615	0.048325
616	0.047999
617	0.048907
618	0.049222
619	0.049814
620	0.049969
621	0.049478
622	0.048834
623	0.050233
624	0.049184
625	0.048324
626	0.049599
627	0.049728
628	0.049302
629	0.049696
630	0.048139
631	0.049106
632	0.049169
633	0.048448
634	0.047911
635	0.048775
636	0.049250
637	0.048521
638	0.049476
639	0.047960
640	0.049208
641	0.048901
642	0.048914
643	0.049684
644	0.048910
645	0.047880
646	0.049625
647	0.050113
648	0.049873
649	0.049295
650	0.048785
651	0.048546
652	0.048280
653	0.048136
654	0.048043
655	0.048479
656	0.049589
657	0.048821
658	0.049185
659	0.050042
660	0.048817
661	0.049612
662	0.049578
663	0.048311
664	0.048053
665	0.048450
666	0.049163
667	0.049148
668	0.049358
669	0.049447
670	0.048748
671	0.048815
672	0.049417
673	0.049450
674	0.050857
675	0.049728
676	0.048151
677	0.050042
678	0.048070
679	0.048487
680	0.049272
681	0.050463
682	0.049679
683	0.048063
684	0.048705
685	0.049328
686	0.048831
687	0.048883
688	0.048766
689	0.049379
690	0.049182
691	0.048472
692	0.049138
693	0.050430
694	0.048925
695	0.048678
696	0.049700
697	0.049928
698	0.049023
699	0.048515
700	0.048970
701	0.049077
702	0.048989
703	0.048445
704	0.049404
705	0.049746
706	0.048646
707	0.048331
708	0.048588
709	0.048924
710	0.048946
711	0.050804
712	0.048564
713	0.049133
714	0.048605
715	0.049559
716	0.048114
717	0.048455
718	0.048850
719	0.048591
720	0.048790
721	0.048466
722	0.049279
723	0.048668
724	0.048762
725	0.048765
726	0.049441
727	0.049751
728	0.048673
729	0.049340
730	0.049314
731	0.048678
732	0.049137
733	0.049576
734	0.048980
735	0.048928
736	0.049019
737	0.048934
738	0.048129
739	0.048132
740	0.048454
741	0.048565
742	0.048920
743	0.048890
744	0.048941
745	0.049394
746	0.047934
747	0.051122
748	0.048958
749	0.048598
750	0.049520
751	0.048083
752	0.050333
753	0.048899
754	0.048055
755	0.048108
756	0.048377
757	0.048712
758	0.049691
759	0.048009
760	0.049360
761	0.048580
762	0.050145
763	0.048896
764	0.048538
765	0.049030
766	0.049257
767	0.048487
768	0.047999
769	0.048206
770	0.047539
771	0.049018
772	0.048178
773	0.048731
774	0.048265
775	0.048796
776	0.048887
777	0.047986
778	0.049098
779	0.048623
780	0.048457
781	0.048919
782	0.049084
783	0.048891
784	0.048386
785	0.048724
786	0.048952
787	0.048710
788	0.048229
789	0.048338
790	0.048257
791	0.049298
792	0.049583
793	0.048083
794	0.049095
795	0.049045
796	0.049636
797	0.048955
798	0.049399
799	0.048761
800	0.048955
801	0.048462
802	0.048720
803	0.047607
804	0.048238
805	0.048639
806	0.049945
807	0.048263
808	0.049260
809	0.049435
810	0.048615
811	0.048684
812	0.047774
813	0.048247
814	0.049774
815	0.049692
816	0.049332
817	0.048705
818	0.047932
819	0.049285
820	0.048671
821	0.049208
822	0.048696
823	0.049438
824	0.048993
825	0.047949
826	0.048134
827	0.048358
828	0.049516
829	0.048546
830	0.048095
831	0.049904
832	0.049427
833	0.049798
834	0.048416
835	0.048384
836	0.048066
837	0.048462
838	0.048305
839	0.050084
840	0.048777
841	0.048360
842	0.048952
843	0.048624
844	0.049839
845	0.048528
846	0.049179
847	0.048512
848	0.047969
849	0.049187
850	0.047498
851	0.050144
852	0.048683
853	0.048271
854	0.049005
855	0.048412
856	0.048319
857	0.049533
858	0.048088
859	0.049460
860	0.048765
861	0.048754
862	0.049253
863	0.050001
864	0.049401
865	0.048844
866	0.049802
867	0.049572
868	0.048908
869	0.048699
870	0.048360
871	0.048558
872	0.047961
873	0.048605
874	0.048917
875	0.048147
876	0.049879
877	0.049072
878	0.048189
879	0.048018
880	0.049053
881	0.047845
882	0.048640
883	0.049227
884	0.048162
885	0.049468
886	0.048158
887	0.048706
888	0.047816
889	0.048045
890	0.047697
891	0.048914
892	0.048313
893	0.049180
894	0.048331
895	0.048478
896	0.048282
897	0.049398
898	0.048578
899	0.048270
900	0.049101
901	0.048422
902	0.049025
903	0.047924
904	0.048598
905	0.048406
906	0.049617
907	0.048836
908	0.048732
909	0.048979
910	0.047527
911	0.047769
912	0.047336
913	0.047067
914	0.048428
915	0.048707
916	0.049351
917	0.048866
918	0.048778
919	0.047486
920	0.048081
921	0.048915
922	0.047569
923	0.048189
924	0.048634
925	0.047199
926	0.048310
927	0.048860
928	0.048552
929	0.047625
930	0.048678
931	0.049467
932	0.049205
933	0.048702
934	0.049563
935	0.048539
936	0.047935
937	0.048233
938	0.047253
939	0.048878
940	0.049758
941	0.047731
942	0.048280
943	0.048909
944	0.048956
945	0.048280
946	0.047893
947	0.048700
948	0.047993
949	0.047706
950	0.047880
951	0.049214
952	0.048413
953	0.047803
954	0.048105
955	0.048325
956	0.048929
957	0.047878
958	0.048189
959	0.048678
960	0.047827
961	0.048888
962	0.049112
963	0.047882
964	0.048874
965	0.048178
966	0.048124
967	0.048287
968	0.047893
969	0.048210
970	0.049583
971	0.048108
972	0.048464
973	0.048859
974	0.048565
975	0.049332
976	0.047474
977	0.048240
978	0.048992
979	0.048793
980	0.048265
981	0.048302
982	0.048739
983	0.049146
984	0.048830
985	0.048559
986	0.048679
987	0.048202
988	0.047979
989	0.047862
990	0.048179
991	0.048826
992	0.048587
993	0.048323
994	0.049402
995	0.047770
996	0.048752
997	0.047991
998	0.047902
999	0.048239
1000	0.048343
1001	0.048257
1002	0.048191
1003	0.047685
1004	0.048776
1005	0.048357
1006	0.048820
1007	0.047358
1008	0.048048
1009	0.048092
1010	0.047493
1011	0.047814
1012	0.048006
1013	0.048142
1014	0.048757
1015	0.048353
1016	0.047409
1017	0.048226
1018	0.049173
1019	0.047781
1020	0.048157
1021	0.048367
1022	0.047227
1023	0.047882
1024	0.048079
1025	0.047646
1026	0.048762
1027	0.048632
1028	0.047742
1029	0.049093
1030	0.047808
1031	0.048584
1032	0.048860
1033	0.049226
1034	0.048246
1035	0.049236
1036	0.048856
1037	0.047983
1038	0.049233
1039	0.048233
1040	0.048912
1041	0.048144
1042	0.048032
1043	0.047921
1044	0.048534
1045	0.047279
1046	0.047879
1047	0.048108
1048	0.048747
1049	0.047525
1050	0.048903
1051	0.048950
1052	0.048118
1053	0.047508
1054	0.048912
1055	0.050040
1056	0.048057
1057	0.048584
1058	0.048400
1059	0.048009
1060	0.049300
1061	0.047232
1062	0.047404
1063	0.048127
1064	0.048824
1065	0.049264
1066	0.049107
1067	0.048170
1068	0.048190
1069	0.047272
1070	0.047255
1071	0.047387
1072	0.048210
1073	0.048188
1074	0.047277
1075	0.048803
1076	0.047637
1077	0.046884
1078	0.047988
1079	0.048123
1080	0.047757
1081	0.048414
1082	0.047835
1083	0.048441
1084	0.047883
1085	0.048154
1086	0.048742
1087	0.047558
1088	0.049335
1089	0.048029
1090	0.048078
1091	0.048277
1092	0.048296
1093	0.047588
1094	0.048739
1095	0.047905
1096	0.048629
1097	0.047250
1098	0.048402
1099	0.048606
1100	0.048795
1101	0.048288
1102	0.047837
1103	0.047762
1104	0.048565
1105	0.048495
1106	0.047403
1107	0.047247
1108	0.047473
1109	0.047120
1110	0.048399
1111	0.047418
1112	0.048534
1113	0.049107
1114	0.048243
1115	0.048599
1116	0.048593
1117	0.048994
1118	0.047945
1119	0.049288
1120	0.047369
1121	0.046680
1122	0.047535
1123	0.047663
1124	0.048125
1125	0.047949
1126	0.047980
1127	0.048481
1128	0.048096
1129	0.047409
1130	0.047246
1131	0.047806
1132	0.047883
1133	0.048439
1134	0.046692
1135	0.047833
1136	0.048193
1137	0.048384
1138	0.047564
1139	0.047084
1140	0.047516
1141	0.047181
1142	0.047229
1143	0.048226
1144	0.047248
1145	0.047084
1146	0.048046
1147	0.047963
1148	0.047004
1149	0.047292
1150	0.047635
1151	0.046546
1152	0.048126
1153	0.047166
1154	0.048335
1155	0.048055
1156	0.047989
1157	0.048744
1158	0.048016
1159	0.048136
1160	0.048283
1161	0.047792
1162	0.048261
1163	0.046505
1164	0.047588
1165	0.047224
1166	0.047832
1167	0.048139
1168	0.048418
1169	0.048434
1170	0.047000
1171	0.048371
1172	0.047984
1173	0.046789
1174	0.047630
1175	0.047296
1176	0.047786
1177	0.047754
1178	0.047642
1179	0.046894
1180	0.047330
1181	0.048264
1182	0.047622
1183	0.047732
1184	0.047495
1185	0.047123
1186	0.047952
1187	0.048425
1188	0.047967
1189	0.046776
1190	0.047408
1191	0.047691
1192	0.046538
1193	0.048814
1194	0.047908
1195	0.047793
1196	0.046981
1197	0.048410
1198	0.047644
1199	0.046883
1200	0.048029
1201	0.048087
1202	0.047569
1203	0.047894
1204	0.047261
1205	0.048082
1206	0.047864
1207	0.047846
1208	0.047819
1209	0.047182
1210	0.047077
1211	0.047025
1212	0.049188
1213	0.048059
1214	0.048166
1215	0.048831
1216	0.047969
1217	0.047217
1218	0.047987
1219	0.048473
1220	0.047345
1221	0.047111
1222	0.048400
1223	0.047540
1224	0.046822
1225	0.047525
1226	0.047699
1227	0.047384
1228	0.047584
1229	0.047769
1230	0.048235
1231	0.047103
1232	0.047296
1233	0.047961
1234	0.046665
1235	0.047453
1236	0.046944
1237	0.047289
1238	0.047937
1239	0.047442
1240	0.048188
1241	0.046983
1242	0.047234
1243	0.047543
1244	0.046165
1245	0.048179
1246	0.047160
1247	0.046568
1248	0.047584
1249	0.048037
1250	0.046715
1251	0.048208
1252	0.047437
1253	0.047805
1254	0.048962
1255	0.048740
1256	0.047614
1257	0.047148
1258	0.047907
1259	0.048178
1260	0.048051
1261	0.046855
1262	0.047868
1263	0.047480
1264	0.048549
1265	0.047063
1266	0.048149
1267	0.048054
1268	0.047631
1269	0.047728
1270	0.047544
1271	0.047420
1272	0.047916
1273	0.047285
1274	0.046903
1275	0.048353
1276	0.047917
1277	0.048292
1278	0.046612
1279	0.047095
1280	0.046394
1281	0.047828
1282	0.047889
1283	0.046919
1284	0.047237
1285	0.048029
1286	0.049209
1287	0.047888
1288	0.048734
1289	0.047416
1290	0.048283
1291	0.047321
1292	0.046339
1293	0.047748
1294	0.047473
1295	0.046974
1296	0.047151
1297	0.046772
1298	0.048001
1299	0.046967
1300	0.046958
1301	0.047853
1302	0.048950
1303	0.047125
1304	0.046683
1305	0.046547
1306	0.047171
1307	0.047561
1308	0.047803
1309	0.048328
1310	0.049019
1311	0.048329
1312	0.048794
1313	0.047020
1314	0.046979
1315	0.047301
1316	0.047634
1317	0.046517
1318	0.046446
1319	0.047111
1320	0.046138
1321	0.046803
1322	0.047913
1323	0.048068
1324	0.048648
1325	0.047007
1326	0.046426
1327	0.048867
1328	0.047885
1329	0.047333
1330	0.047560
1331	0.047536
1332	0.047090
1333	0.047138
1334	0.047663
1335	0.046883
1336	0.046809
1337	0.047483
1338	0.047143
1339	0.047699
1340	0.047321
1341	0.047759
1342	0.047099
1343	0.047213
1344	0.047375
1345	0.047592
1346	0.048222
1347	0.046551
1348	0.046809
1349	0.048300
1350	0.046542
1351	0.046665
1352	0.047116
1353	0.047645
1354	0.046359
1355	0.047013
1356	0.047367
1357	0.047211
1358	0.048014
1359	0.046946
1360	0.046771
1361	0.047166
1362	0.047592
1363	0.046906
1364	0.046993
1365	0.048362
1366	0.048270
1367	0.047772
1368	0.047774
1369	0.047647
1370	0.048634
1371	0.047410
1372	0.047278
1373	0.047527
1374	0.046650
1375	0.048791
1376	0.047994
1377	0.046762
1378	0.046691
1379	0.047360
1380	0.046376
1381	0.048062
1382	0.047416
1383	0.047217
1384	0.046327
1385	0.046268
1386	0.047405
1387	0.047804
1388	0.047490
1389	0.047514
1390	0.047608
1391	0.047146
1392	0.046993
1393	0.047235
1394	0.046236
1395	0.046024
1396	0.046340
1397	0.047545
1398	0.048081
1399	0.047611
1400	0.047180
1401	0.047818
1402	0.047435
1403	0.047450
1404	0.048327
1405	0.048046
1406	0.047971
1407	0.047449
1408	0.046757
1409	0.047170
1410	0.047749
1411	0.047515
1412	0.047570
1413	0.048401
1414	0.048068
1415	0.047284
1416	0.048125
1417	0.046278
1418	0.047088
1419	0.048040
1420	0.047996
1421	0.047675
1422	0.047057
1423	0.047241
1424	0.046753
1425	0.046084
1426	0.047825
1427	0.048042
1428	0.047128
1429	0.047721
1430	0.047383
1431	0.046449
1432	0.047439
1433	0.046887
1434	0.047483
1435	0.047386
1436	0.047198
1437	0.047741
1438	0.047573
1439	0.047090
1440	0.047337
1441	0.046807
1442	0.048048
1443	0.047523
1444	0.047018
1445	0.048053
1446	0.047532
1447	0.046983
1448	0.047753
1449	0.046852
1450	0.047009
1451	0.047315
1452	0.046964
1453	0.047056
1454	0.046140
1455	0.048096
1456	0.047121
1457	0.047892
1458	0.046921
1459	0.046780
1460	0.046864
1461	0.047806
1462	0.046838
1463	0.048379
1464	0.047773
1465	0.046714
1466	0.047488
1467	0.046396
1468	0.046725
1469	0.046460
1470	0.047107
1471	0.047003
1472	0.046489
1473	0.047766
1474	0.046785
1475	0.047390
1476	0.047970
1477	0.046341
1478	0.047242
1479	0.047190
1480	0.047259
1481	0.047616
1482	0.046932
1483	0.047003
1484	0.047903
1485	0.047383
1486	0.046971
1487	0.047866
1488	0.046767
1489	0.047711
1490	0.046884
1491	0.046843
1492	0.046391
1493	0.046637
1494	0.048408
1495	0.047052
1496	0.048194
1497	0.047257
1498	0.047649
1499	0.047123
1500	0.047989
