Epochs	Loss	
1	0.181000
2	0.178154
3	0.177071
4	0.175803
5	0.174722
6	0.172789
7	0.169279
8	0.167474
9	0.165909
10	0.161447
11	0.157135
12	0.157025
13	0.152907
14	0.149211
15	0.147647
16	0.143161
17	0.141390
18	0.137656
19	0.134971
20	0.133167
21	0.131786
22	0.129070
23	0.125699
24	0.121077
25	0.120187
26	0.118831
27	0.115550
28	0.113069
29	0.110176
30	0.108032
31	0.108515
32	0.104473
33	0.102301
34	0.100988
35	0.101100
36	0.098321
37	0.096260
38	0.095763
39	0.094812
40	0.091811
41	0.092617
42	0.090323
43	0.090173
44	0.089332
45	0.090775
46	0.088145
47	0.087543
48	0.088218
49	0.086453
50	0.085565
51	0.085053
52	0.084946
53	0.085446
54	0.084618
55	0.083181
56	0.083229
57	0.083053
58	0.081954
59	0.080871
60	0.081424
61	0.081263
62	0.082581
63	0.080142
64	0.080697
65	0.079572
66	0.079272
67	0.079582
68	0.080587
69	0.079767
70	0.079247
71	0.079381
72	0.078426
73	0.078553
74	0.079336
75	0.078018
76	0.077004
77	0.078665
78	0.077623
79	0.078535
80	0.076694
81	0.077425
82	0.076912
83	0.076507
84	0.076538
85	0.075614
86	0.076958
87	0.075526
88	0.076917
89	0.075275
90	0.076024
91	0.076160
92	0.076559
93	0.075491
94	0.075931
95	0.075073
96	0.075545
97	0.074162
98	0.074326
99	0.075430
100	0.074891
101	0.074335
102	0.073458
103	0.073714
104	0.074006
105	0.073878
106	0.074394
107	0.073197
108	0.073672
109	0.075098
110	0.073040
111	0.073960
112	0.074267
113	0.072977
114	0.074870
115	0.073761
116	0.073656
117	0.072885
118	0.072482
119	0.072594
120	0.073357
121	0.073945
122	0.072820
123	0.073485
124	0.072583
125	0.072966
126	0.072340
127	0.071839
128	0.072262
129	0.072252
130	0.071490
131	0.073021
132	0.071218
133	0.072892
134	0.071336
135	0.072094
136	0.070826
137	0.070826
138	0.071866
139	0.071083
140	0.071482
141	0.071294
142	0.070962
143	0.070742
144	0.071272
145	0.071014
146	0.070655
147	0.070152
148	0.070902
149	0.070612
150	0.071392
151	0.069829
152	0.070035
153	0.070803
154	0.070071
155	0.070501
156	0.070419
157	0.069605
158	0.071370
159	0.070348
160	0.069743
161	0.069758
162	0.070264
163	0.069943
164	0.070500
165	0.069770
166	0.070904
167	0.068846
168	0.070553
169	0.070366
170	0.069263
171	0.069360
172	0.070192
173	0.069279
174	0.068407
175	0.069112
176	0.070263
177	0.070344
178	0.068906
179	0.069709
180	0.068863
181	0.070106
182	0.067349
183	0.068902
184	0.067652
185	0.067158
186	0.068345
187	0.067500
188	0.069362
189	0.068533
190	0.068291
191	0.069068
192	0.068990
193	0.068726
194	0.067968
195	0.067950
196	0.069289
197	0.068074
198	0.068828
199	0.067752
200	0.068835
201	0.068836
202	0.069215
203	0.067616
204	0.067986
205	0.067986
206	0.067845
207	0.068625
208	0.068305
209	0.067367
210	0.067724
211	0.068165
212	0.068619
213	0.068002
214	0.068216
215	0.070236
216	0.067852
217	0.067687
218	0.068015
219	0.068088
220	0.067717
221	0.067590
222	0.067436
223	0.067880
224	0.067656
225	0.068121
226	0.067364
227	0.068370
228	0.066623
229	0.068964
230	0.066910
231	0.068338
232	0.067216
233	0.067840
234	0.066522
235	0.067286
236	0.066868
237	0.067261
238	0.068079
239	0.067867
240	0.067206
241	0.067200
242	0.066403
243	0.066727
244	0.067328
245	0.066481
246	0.067630
247	0.066764
248	0.066263
249	0.067112
250	0.067490
251	0.067291
252	0.067371
253	0.067350
254	0.066913
255	0.066989
256	0.066435
257	0.067663
258	0.068138
259	0.067036
260	0.066669
261	0.065929
262	0.066541
263	0.067362
264	0.066055
265	0.066547
266	0.065883
267	0.066110
268	0.066898
269	0.067511
270	0.065991
271	0.065800
272	0.065788
273	0.065547
274	0.066461
275	0.066604
276	0.067965
277	0.066913
278	0.064975
279	0.065906
280	0.067398
281	0.066405
282	0.065640
283	0.065660
284	0.066750
285	0.065060
286	0.066919
287	0.065843
288	0.065305
289	0.066736
290	0.065599
291	0.065027
292	0.065861
293	0.065794
294	0.065871
295	0.065647
296	0.065980
297	0.065301
298	0.065682
299	0.065483
300	0.066125
301	0.065220
302	0.065327
303	0.065123
304	0.064889
305	0.065065
306	0.066161
307	0.065373
308	0.065491
309	0.065527
310	0.065955
311	0.064989
312	0.066041
313	0.065815
314	0.064821
315	0.066294
316	0.065551
317	0.064501
318	0.065897
319	0.066477
320	0.065288
321	0.065101
322	0.066214
323	0.066171
324	0.065223
325	0.065870
326	0.065456
327	0.065122
328	0.065107
329	0.065351
330	0.065577
331	0.065186
332	0.064417
333	0.064577
334	0.064362
335	0.064442
336	0.065083
337	0.064829
338	0.064763
339	0.064771
340	0.065203
341	0.065577
342	0.065098
343	0.065118
344	0.065109
345	0.065459
346	0.064153
347	0.065329
348	0.064899
349	0.064899
350	0.064988
351	0.064715
352	0.063916
353	0.065248
354	0.063700
355	0.065263
356	0.064854
357	0.065178
358	0.064424
359	0.065958
360	0.065087
361	0.065253
362	0.064191
363	0.063639
364	0.064660
365	0.066143
366	0.064729
367	0.064742
368	0.064392
369	0.063837
370	0.063573
371	0.064532
372	0.064291
373	0.064620
374	0.064487
375	0.064079
376	0.064671
377	0.065289
378	0.064389
379	0.064871
380	0.064012
381	0.064786
382	0.064719
383	0.063681
384	0.064296
385	0.063767
386	0.064616
387	0.064633
388	0.064104
389	0.064592
390	0.063910
391	0.065136
392	0.064137
393	0.063429
394	0.064340
395	0.064452
396	0.063848
397	0.063693
398	0.065099
399	0.063770
400	0.064016
401	0.064810
402	0.063229
403	0.063944
404	0.064171
405	0.064720
406	0.064185
407	0.064700
408	0.063101
409	0.064254
410	0.064324
411	0.064382
412	0.063486
413	0.064052
414	0.063968
415	0.064689
416	0.064450
417	0.063054
418	0.063783
419	0.063548
420	0.064234
421	0.062735
422	0.064148
423	0.063619
424	0.062415
425	0.062998
426	0.064174
427	0.063507
428	0.064158
429	0.063233
430	0.062894
431	0.063769
432	0.063540
433	0.063604
434	0.062658
435	0.062795
436	0.062723
437	0.063028
438	0.063833
439	0.063353
440	0.063303
441	0.063277
442	0.063249
443	0.063774
444	0.064762
445	0.063648
446	0.063506
447	0.064393
448	0.063622
449	0.063121
450	0.063010
451	0.062950
452	0.064435
453	0.063516
454	0.062690
455	0.063256
456	0.062671
457	0.062647
458	0.063053
459	0.062665
460	0.062390
461	0.063430
462	0.062474
463	0.063922
464	0.063154
465	0.062840
466	0.062679
467	0.064333
468	0.063722
469	0.062687
470	0.062924
471	0.062491
472	0.063069
473	0.063310
474	0.064285
475	0.062850
476	0.062131
477	0.063386
478	0.063175
479	0.062395
480	0.063615
481	0.063509
482	0.062786
483	0.063524
484	0.062326
485	0.061899
486	0.063299
487	0.063082
488	0.062396
489	0.062881
490	0.063313
491	0.063325
492	0.063152
493	0.062607
494	0.063194
495	0.062031
496	0.061759
497	0.063630
498	0.062576
499	0.062408
500	0.062157
501	0.063084
502	0.062075
503	0.061973
504	0.062590
505	0.062827
506	0.061559
507	0.062794
508	0.062363
509	0.063748
510	0.062667
511	0.062713
512	0.062446
513	0.063504
514	0.061734
515	0.062257
516	0.063441
517	0.063019
518	0.061995
519	0.062725
520	0.062138
521	0.062953
522	0.062202
523	0.062576
524	0.063216
525	0.062582
526	0.063193
527	0.062743
528	0.062630
529	0.062813
530	0.063088
531	0.062759
532	0.062624
533	0.061565
534	0.062267
535	0.062384
536	0.062679
537	0.062287
538	0.062163
539	0.063055
540	0.062791
541	0.062376
542	0.062343
543	0.061786
544	0.061929
545	0.062335
546	0.061315
547	0.063038
548	0.063098
549	0.063006
550	0.062266
551	0.062061
552	0.062334
553	0.062468
554	0.062254
555	0.062425
556	0.061532
557	0.062944
558	0.063167
559	0.062641
560	0.062887
561	0.061870
562	0.062559
563	0.063012
564	0.063050
565	0.062717
566	0.061086
567	0.062669
568	0.061764
569	0.062204
570	0.062425
571	0.062268
572	0.063022
573	0.062638
574	0.061725
575	0.061918
576	0.062421
577	0.061462
578	0.062074
579	0.062431
580	0.062696
581	0.062051
582	0.062124
583	0.061655
584	0.062797
585	0.062645
586	0.061954
587	0.062023
588	0.062330
589	0.062754
590	0.062933
591	0.062680
592	0.062371
593	0.061735
594	0.061890
595	0.062202
596	0.062097
597	0.061740
598	0.062793
599	0.061495
600	0.062599
601	0.062164
602	0.062245
603	0.062505
604	0.061947
605	0.063024
606	0.062918
607	0.061374
608	0.062102
609	0.062889
610	0.062293
611	0.061446
612	0.061475
613	0.062013
614	0.061671
615	0.061839
616	0.062722
617	0.061823
618	0.061353
619	0.062043
620	0.062395
621	0.061742
622	0.062358
623	0.061837
624	0.061897
625	0.062236
626	0.061186
627	0.061900
628	0.062632
629	0.062231
630	0.063591
631	0.061238
632	0.062253
633	0.062113
634	0.061748
635	0.061776
636	0.061696
637	0.062354
638	0.062162
639	0.062601
640	0.061429
641	0.062287
642	0.061750
643	0.061955
644	0.061042
645	0.061710
646	0.061088
647	0.060987
648	0.063039
649	0.061565
650	0.061164
651	0.061432
652	0.062071
653	0.062080
654	0.062228
655	0.061600
656	0.061572
657	0.061599
658	0.062187
659	0.061224
660	0.061968
661	0.062619
662	0.061217
663	0.062327
664	0.061875
665	0.062603
666	0.061915
667	0.061540
668	0.062377
669	0.062780
670	0.062730
671	0.061738
672	0.062060
673	0.062106
674	0.061457
675	0.061842
676	0.062300
677	0.061737
678	0.061622
679	0.062006
680	0.061945
681	0.061491
682	0.061841
683	0.062217
684	0.062414
685	0.062123
686	0.061743
687	0.061507
688	0.061860
689	0.061185
690	0.062033
691	0.061553
692	0.061073
693	0.061793
694	0.062166
695	0.061876
696	0.061937
697	0.061620
698	0.060497
699	0.061486
700	0.061944
701	0.062647
702	0.061205
703	0.062027
704	0.061414
705	0.062341
706	0.061975
707	0.061326
708	0.060918
709	0.062371
710	0.061957
711	0.061085
712	0.061147
713	0.062212
714	0.060902
715	0.060702
716	0.061902
717	0.061434
718	0.061719
719	0.061706
720	0.061130
721	0.061047
722	0.061210
723	0.062148
724	0.061704
725	0.060820
726	0.061148
727	0.061437
728	0.060935
