Epochs	Loss	
1	0.265029
2	0.265264
3	0.257371
4	0.252076
5	0.246565
6	0.245134
7	0.240173
8	0.234142
9	0.233175
10	0.221687
11	0.219478
12	0.207606
13	0.204929
14	0.202356
15	0.192752
16	0.184071
17	0.175548
18	0.177133
19	0.173055
20	0.170504
21	0.169104
22	0.161823
23	0.160919
24	0.163594
25	0.149607
26	0.153573
27	0.145982
28	0.143895
29	0.143661
30	0.138573
31	0.134869
32	0.146725
33	0.138682
34	0.131627
35	0.133868
36	0.125424
37	0.125429
38	0.123763
39	0.127791
40	0.123111
41	0.127475
42	0.120458
43	0.119812
44	0.120989
45	0.117888
46	0.118443
47	0.122207
48	0.118377
49	0.115046
50	0.123530
51	0.112833
52	0.116075
53	0.115824
54	0.117816
55	0.112553
56	0.119416
57	0.114419
58	0.115750
59	0.113393
60	0.111490
61	0.110220
62	0.112578
63	0.116791
64	0.108536
65	0.108451
66	0.110731
67	0.111176
68	0.110114
69	0.107783
70	0.113627
71	0.111517
72	0.109808
73	0.108559
74	0.115343
75	0.111551
76	0.111075
77	0.110397
78	0.113394
79	0.106426
80	0.112141
81	0.107768
82	0.108472
83	0.109347
84	0.104311
85	0.109484
86	0.106844
87	0.107455
88	0.106018
89	0.105241
90	0.106792
91	0.108765
92	0.105321
93	0.105246
94	0.109117
95	0.115867
96	0.110244
97	0.105065
98	0.105771
99	0.106252
100	0.108023
101	0.103045
102	0.109959
103	0.110232
104	0.103392
105	0.105604
106	0.103964
107	0.107396
108	0.105212
109	0.103143
110	0.107988
111	0.103445
112	0.105784
113	0.101229
114	0.104185
115	0.104883
116	0.104040
117	0.102529
118	0.104609
119	0.101878
120	0.104698
121	0.100542
122	0.107383
123	0.108290
124	0.104755
125	0.103527
126	0.108808
127	0.105549
128	0.106293
129	0.104031
130	0.101650
131	0.101542
132	0.099858
133	0.101760
134	0.107628
135	0.100478
136	0.100824
137	0.105687
138	0.099750
139	0.108886
140	0.102809
141	0.108569
142	0.108491
143	0.106717
144	0.099507
145	0.102271
146	0.099728
147	0.102509
148	0.103770
149	0.101591
150	0.098016
151	0.113436
152	0.105466
153	0.098334
154	0.109735
155	0.100692
156	0.098954
157	0.108241
158	0.100557
159	0.099915
160	0.100670
161	0.106072
162	0.102487
163	0.102666
164	0.101490
165	0.102428
166	0.102610
167	0.102163
168	0.102839
169	0.097708
170	0.098260
171	0.101440
172	0.101253
173	0.105907
174	0.099426
175	0.102663
176	0.099104
177	0.098114
178	0.105274
179	0.100554
180	0.098332
181	0.105569
182	0.103584
183	0.102942
184	0.100388
185	0.103162
186	0.098173
187	0.096878
188	0.099993
189	0.098143
190	0.099687
191	0.109582
192	0.100675
193	0.103616
194	0.097290
195	0.096465
196	0.095610
197	0.102048
198	0.111344
199	0.094293
200	0.098069
201	0.104569
202	0.097648
203	0.101808
204	0.097513
205	0.097904
206	0.098597
207	0.095186
208	0.099151
209	0.096088
210	0.096257
211	0.099338
212	0.096277
213	0.096679
214	0.097184
215	0.099580
216	0.102100
217	0.096871
218	0.102860
219	0.097353
220	0.101067
221	0.104455
222	0.098121
223	0.098369
224	0.100600
225	0.100982
226	0.096053
227	0.096503
228	0.099287
229	0.104279
230	0.098672
231	0.098928
232	0.099658
233	0.100959
234	0.101640
235	0.096634
236	0.094362
237	0.097741
238	0.099755
239	0.093067
240	0.097195
241	0.099593
242	0.095549
243	0.104767
244	0.097927
245	0.097903
246	0.092907
247	0.100207
248	0.095664
249	0.095840
250	0.096857
251	0.106529
252	0.100885
253	0.097690
254	0.095954
255	0.093908
256	0.101196
257	0.099496
258	0.099237
259	0.099669
260	0.108090
261	0.096363
262	0.095040
263	0.099987
264	0.102253
265	0.095650
266	0.096471
267	0.106033
268	0.097187
269	0.100853
270	0.095868
271	0.096910
272	0.093823
273	0.102699
274	0.101994
275	0.098457
276	0.107341
277	0.103365
278	0.097707
279	0.101476
280	0.101746
281	0.091955
282	0.095280
283	0.096583
284	0.099082
285	0.093027
286	0.093277
287	0.097136
288	0.097534
289	0.103614
290	0.103076
291	0.094355
292	0.098332
293	0.095278
294	0.101164
295	0.094201
296	0.099493
297	0.102660
298	0.096490
299	0.102100
300	0.095260
301	0.096213
302	0.098410
303	0.097192
304	0.096360
305	0.101332
306	0.097954
307	0.101708
308	0.096713
309	0.091688
310	0.093283
311	0.101500
312	0.097301
313	0.097064
314	0.093420
315	0.097860
316	0.093407
317	0.094406
318	0.095367
319	0.096028
320	0.096873
321	0.096930
322	0.100198
323	0.093475
324	0.092657
325	0.093432
326	0.092068
327	0.097939
328	0.095478
329	0.097729
330	0.095441
331	0.097504
332	0.094406
333	0.104341
334	0.098848
335	0.093865
336	0.093439
337	0.106211
338	0.099268
339	0.092743
340	0.094454
341	0.105392
342	0.098111
343	0.094517
344	0.093390
345	0.101260
346	0.097249
347	0.098988
348	0.097476
349	0.098474
350	0.092291
351	0.097380
352	0.093970
353	0.094507
354	0.097475
355	0.091581
356	0.095860
357	0.098340
358	0.095219
359	0.099225
360	0.094703
361	0.093179
362	0.095104
363	0.095362
364	0.096118
365	0.092410
366	0.101533
367	0.096967
368	0.093404
369	0.091904
370	0.094475
371	0.091585
372	0.091165
373	0.103122
374	0.096448
375	0.100043
376	0.091109
377	0.093973
378	0.093165
379	0.091804
380	0.099108
381	0.096125
382	0.098343
383	0.093310
384	0.097084
385	0.094285
386	0.094184
387	0.098137
388	0.093931
389	0.097054
390	0.093632
391	0.095183
392	0.096152
393	0.104484
394	0.095001
395	0.097660
396	0.103521
397	0.094543
398	0.091878
399	0.103354
400	0.095398
401	0.098779
402	0.092328
403	0.092851
404	0.099392
405	0.096296
406	0.097318
407	0.094495
408	0.107579
409	0.099694
410	0.102704
411	0.092944
412	0.095716
413	0.093056
414	0.094865
415	0.093894
416	0.091122
417	0.101744
418	0.097732
419	0.092719
420	0.095669
421	0.096724
422	0.096172
423	0.095840
424	0.098513
425	0.093559
426	0.097096
427	0.092200
428	0.095405
429	0.094726
430	0.093391
431	0.097259
432	0.094975
433	0.098756
434	0.096056
435	0.093524
436	0.100252
437	0.093389
438	0.097827
439	0.098000
440	0.093511
441	0.091833
442	0.094511
443	0.090752
444	0.093366
445	0.105150
446	0.096468
447	0.098219
448	0.090901
449	0.099472
450	0.100305
451	0.095627
452	0.098625
453	0.093008
454	0.096697
455	0.097028
456	0.098612
457	0.095098
458	0.094725
459	0.104570
460	0.096859
461	0.096249
462	0.092577
463	0.094442
464	0.095219
465	0.100955
466	0.100372
467	0.101063
468	0.091042
469	0.095344
470	0.095297
471	0.096378
472	0.105481
473	0.100132
474	0.101431
475	0.093780
476	0.096608
477	0.095757
478	0.094797
479	0.092799
480	0.097689
481	0.090607
482	0.092456
483	0.093390
484	0.094476
485	0.095216
486	0.095385
487	0.092409
488	0.096262
489	0.098317
490	0.095174
491	0.095283
492	0.097554
493	0.090823
494	0.094193
495	0.093979
496	0.095851
497	0.098180
498	0.092689
499	0.092886
500	0.096668
501	0.092329
502	0.094350
503	0.094445
504	0.094999
505	0.092783
506	0.097999
507	0.096296
508	0.092699
509	0.092495
510	0.092785
511	0.098233
512	0.098476
513	0.095710
514	0.091994
515	0.095567
516	0.094510
517	0.096884
518	0.094505
519	0.099758
520	0.097960
521	0.097658
522	0.097242
523	0.096774
524	0.092281
525	0.092796
526	0.096935
527	0.094169
528	0.092643
529	0.093074
530	0.092708
531	0.095726
532	0.094461
533	0.094817
534	0.092692
535	0.092770
536	0.095350
537	0.094369
538	0.094844
539	0.095100
540	0.092806
541	0.096205
542	0.091924
543	0.095138
544	0.094741
545	0.094735
546	0.094281
547	0.094767
548	0.096966
549	0.104090
550	0.095397
551	0.091924
552	0.101122
553	0.094286
554	0.099988
555	0.096116
556	0.093800
557	0.098702
558	0.095375
559	0.093459
560	0.094863
561	0.101878
562	0.101831
563	0.098911
564	0.095732
565	0.099885
566	0.093103
567	0.096906
568	0.090691
569	0.093742
570	0.093678
571	0.097637
572	0.101336
573	0.092411
574	0.092761
575	0.096620
576	0.095784
577	0.090815
578	0.091459
579	0.092168
580	0.095615
581	0.091207
582	0.096146
583	0.093929
584	0.095986
585	0.093851
586	0.095442
587	0.093533
588	0.099599
589	0.092522
590	0.093019
591	0.095593
592	0.100567
593	0.092534
594	0.094910
595	0.100375
596	0.093135
597	0.095276
598	0.100662
599	0.095076
600	0.093516
601	0.092507
602	0.094385
603	0.093720
604	0.091347
605	0.094246
606	0.094356
607	0.090111
608	0.092819
609	0.091693
610	0.095490
611	0.092719
612	0.094815
613	0.091688
614	0.093524
615	0.093311
616	0.097896
617	0.093501
618	0.093670
619	0.095908
620	0.095478
621	0.092675
622	0.095069
623	0.098612
624	0.102993
625	0.095884
626	0.090685
627	0.094143
628	0.097063
629	0.094602
630	0.094037
631	0.094035
632	0.094270
633	0.094181
634	0.091848
635	0.095362
636	0.089424
637	0.093264
638	0.094949
639	0.097330
640	0.096637
641	0.095322
642	0.093140
643	0.099975
644	0.090406
645	0.098205
646	0.093132
647	0.096168
648	0.095063
649	0.092279
650	0.097125
651	0.093743
652	0.091408
653	0.092466
654	0.101281
655	0.092719
656	0.095534
657	0.096233
658	0.093079
659	0.092793
660	0.094313
661	0.097080
662	0.092555
663	0.093397
664	0.097362
665	0.096136
666	0.093494
667	0.096755
668	0.102806
669	0.093387
670	0.094857
671	0.091782
672	0.090952
673	0.094693
674	0.094340
675	0.098337
676	0.094032
677	0.099311
678	0.095487
679	0.094460
680	0.097621
681	0.090991
682	0.103213
683	0.098186
684	0.090562
685	0.095260
686	0.095883
687	0.095973
688	0.089090
689	0.097534
690	0.093683
691	0.091086
692	0.093342
693	0.091846
694	0.097931
695	0.092113
696	0.092364
697	0.098602
698	0.096574
699	0.090179
700	0.098070
701	0.088115
702	0.093743
703	0.092683
704	0.092558
705	0.096006
706	0.090871
707	0.091925
708	0.091892
709	0.094398
710	0.094784
711	0.093819
712	0.094282
713	0.094973
714	0.091439
715	0.095627
716	0.095787
717	0.093327
718	0.091998
719	0.096327
720	0.095921
721	0.100889
722	0.094013
723	0.097097
724	0.095547
725	0.091940
726	0.091315
727	0.098041
728	0.103858
729	0.098782
730	0.100864
731	0.095313
732	0.093130
733	0.096394
734	0.095028
735	0.093022
736	0.094598
737	0.092002
738	0.097770
739	0.092782
740	0.096074
741	0.092556
742	0.091604
743	0.095189
744	0.102859
745	0.095122
746	0.102176
747	0.093755
748	0.098124
749	0.091632
750	0.093125
751	0.091898
752	0.096603
753	0.095774
754	0.093412
755	0.095413
756	0.094027
757	0.096088
758	0.093401
759	0.094456
760	0.098876
761	0.096051
762	0.093885
763	0.094042
764	0.101816
765	0.091970
766	0.093429
767	0.092337
768	0.094817
769	0.090970
770	0.092729
771	0.091755
772	0.095442
773	0.099686
774	0.090307
775	0.094460
776	0.090939
777	0.092445
778	0.092453
779	0.092672
780	0.094269
781	0.092753
782	0.095713
783	0.092167
784	0.091452
785	0.089830
786	0.093773
787	0.098800
788	0.100273
789	0.092900
790	0.102096
791	0.099165
792	0.092605
793	0.095009
794	0.094959
795	0.093643
796	0.090851
797	0.094382
798	0.099412
799	0.096912
800	0.096703
801	0.089972
802	0.095828
803	0.091600
804	0.093823
805	0.098062
806	0.095778
807	0.093903
808	0.095065
809	0.093617
810	0.102451
811	0.094617
812	0.096933
813	0.094793
814	0.094497
815	0.094057
816	0.091739
817	0.098068
818	0.092463
819	0.093724
820	0.096964
821	0.098951
822	0.091431
823	0.094943
824	0.099066
825	0.091846
826	0.095911
827	0.096875
828	0.094135
829	0.091147
830	0.093370
831	0.097359
832	0.090249
833	0.096172
834	0.092851
835	0.089256
836	0.095255
837	0.089525
838	0.096003
839	0.092169
840	0.092174
841	0.100710
842	0.092585
843	0.093184
844	0.092130
845	0.092119
846	0.093913
847	0.095215
848	0.097185
849	0.090023
850	0.100200
851	0.092756
852	0.094468
853	0.088610
854	0.097851
855	0.098302
856	0.089807
857	0.092228
858	0.098040
859	0.097531
860	0.090543
861	0.092380
862	0.090906
863	0.092885
864	0.095253
865	0.094543
866	0.094891
867	0.092140
868	0.093484
869	0.091936
870	0.094003
871	0.096681
872	0.092970
873	0.098987
874	0.094995
875	0.092424
876	0.094019
877	0.095837
878	0.102811
879	0.090558
880	0.092426
881	0.097066
882	0.090775
883	0.092878
884	0.091858
885	0.099050
886	0.093213
887	0.092426
888	0.092326
889	0.090590
890	0.096191
891	0.094082
892	0.094282
893	0.094669
894	0.091555
895	0.094376
896	0.095509
897	0.091877
898	0.093890
899	0.094540
900	0.093988
901	0.091216
902	0.090703
903	0.096989
904	0.092594
905	0.092437
906	0.094640
907	0.098285
908	0.098529
909	0.094066
910	0.095310
911	0.094881
912	0.092318
913	0.090857
914	0.088487
915	0.094544
916	0.096398
917	0.094648
918	0.094513
919	0.099772
920	0.097658
921	0.090534
922	0.092838
923	0.091382
924	0.097815
925	0.094879
926	0.094185
927	0.092095
928	0.100832
929	0.105691
930	0.093765
931	0.095492
932	0.091459
933	0.099751
934	0.091201
935	0.098872
936	0.094485
937	0.095533
938	0.091537
939	0.093112
940	0.093569
941	0.095191
942	0.095131
943	0.091691
944	0.090760
945	0.100481
946	0.091225
947	0.097642
948	0.098623
949	0.093704
950	0.094884
951	0.091500
952	0.093903
953	0.091618
954	0.091906
955	0.095767
956	0.102241
957	0.091707
958	0.094720
959	0.096788
960	0.094441
961	0.095783
962	0.092347
963	0.096594
964	0.093989
965	0.089812
966	0.095492
967	0.093968
968	0.092054
969	0.092977
970	0.093832
971	0.101929
972	0.093797
973	0.096240
974	0.096149
975	0.093474
976	0.094398
977	0.094933
978	0.091628
979	0.094270
980	0.093336
981	0.092200
982	0.094342
983	0.095187
984	0.093107
985	0.094332
986	0.094424
987	0.090723
988	0.095890
989	0.090991
990	0.097680
991	0.095423
992	0.091626
993	0.093339
994	0.094165
995	0.093418
996	0.091010
997	0.093474
998	0.091165
999	0.096091
1000	0.095495
1001	0.094069
1002	0.090271
1003	0.090648
1004	0.093700
1005	0.094669
1006	0.092106
1007	0.093164
1008	0.092381
1009	0.094833
1010	0.099258
1011	0.092923
1012	0.092300
1013	0.092404
1014	0.098488
1015	0.088988
1016	0.092858
1017	0.101324
1018	0.093924
1019	0.093715
1020	0.092434
1021	0.094716
1022	0.092333
1023	0.096478
1024	0.091472
1025	0.094812
1026	0.092098
1027	0.091737
1028	0.095451
1029	0.095075
1030	0.092312
1031	0.093875
1032	0.095554
1033	0.095026
1034	0.095828
1035	0.104343
1036	0.094041
