Epochs	Loss	
1	0.144953
2	0.144153
3	0.143369
4	0.142734
5	0.141046
6	0.140312
7	0.139225
8	0.137497
9	0.135755
10	0.134210
11	0.132789
12	0.130548
13	0.128310
14	0.126096
15	0.123270
16	0.120968
17	0.118956
18	0.116693
19	0.114262
20	0.111971
21	0.110407
22	0.108025
23	0.105995
24	0.104434
25	0.102462
26	0.100479
27	0.100081
28	0.098170
29	0.096540
30	0.096091
31	0.095005
32	0.093568
33	0.092931
34	0.092225
35	0.091417
36	0.090796
37	0.090471
38	0.090127
39	0.089440
40	0.087973
41	0.088331
42	0.087273
43	0.087065
44	0.086746
45	0.086182
46	0.085488
47	0.085815
48	0.085271
49	0.085051
50	0.084348
51	0.084891
52	0.084281
53	0.083526
54	0.083413
55	0.082814
56	0.083366
57	0.082667
58	0.082991
59	0.082672
60	0.082607
61	0.082775
62	0.081864
63	0.081844
64	0.082062
65	0.081733
66	0.081218
67	0.080979
68	0.081530
69	0.081202
70	0.080838
71	0.080600
72	0.080222
73	0.081219
74	0.080211
75	0.080431
76	0.080381
77	0.080280
78	0.080206
79	0.080016
80	0.079476
81	0.079697
82	0.079484
83	0.079377
84	0.079448
85	0.079160
86	0.079226
87	0.078940
88	0.078917
89	0.079418
90	0.079136
91	0.079174
92	0.078940
93	0.078848
94	0.078547
95	0.078937
96	0.078344
97	0.078771
98	0.078147
99	0.078834
100	0.077893
101	0.078224
102	0.077997
103	0.078004
104	0.077597
105	0.078184
106	0.078116
107	0.077225
108	0.078130
109	0.077867
110	0.078280
111	0.077852
112	0.077559
113	0.077292
114	0.077170
115	0.077272
116	0.077114
117	0.077342
118	0.077186
119	0.077209
120	0.076806
121	0.076954
122	0.077335
123	0.077546
124	0.076730
125	0.076878
126	0.076686
127	0.076044
128	0.077020
129	0.076489
130	0.076731
131	0.076113
132	0.076407
133	0.076609
134	0.075961
135	0.076071
136	0.076637
137	0.076323
138	0.075847
139	0.075725
140	0.076655
141	0.076134
142	0.075884
143	0.075884
144	0.076023
145	0.075936
146	0.075509
147	0.075389
148	0.075662
149	0.075741
150	0.075191
151	0.075466
152	0.075608
153	0.075168
154	0.075464
155	0.075210
156	0.074902
157	0.075451
158	0.075517
159	0.075259
160	0.075159
161	0.075250
162	0.075106
163	0.075369
164	0.075000
165	0.075338
166	0.074992
167	0.075339
168	0.075446
169	0.074233
170	0.074775
171	0.075255
172	0.074482
173	0.074924
174	0.074819
175	0.074455
176	0.075244
177	0.075197
178	0.074378
179	0.073942
180	0.074902
181	0.074472
182	0.074527
183	0.073810
184	0.073860
185	0.074546
186	0.073708
187	0.074458
188	0.074209
189	0.074404
190	0.073793
191	0.073950
192	0.073756
193	0.073957
194	0.073559
195	0.073314
196	0.074118
197	0.074028
198	0.073879
199	0.074037
200	0.073644
201	0.074123
202	0.074329
203	0.073712
204	0.073466
205	0.073185
206	0.073304
207	0.073710
208	0.073758
209	0.073674
210	0.073370
211	0.073353
212	0.072932
213	0.072713
214	0.073137
215	0.072794
216	0.072674
217	0.072682
218	0.072591
219	0.073065
220	0.073522
221	0.072590
222	0.072875
223	0.072267
224	0.072805
225	0.072338
226	0.073062
227	0.073270
228	0.073267
229	0.072853
230	0.072655
231	0.072743
232	0.072759
233	0.072178
