Epochs	Loss	
1	0.192262
2	0.189567
3	0.188700
4	0.187043
5	0.187718
6	0.185908
7	0.182000
8	0.180713
9	0.176745
10	0.176612
11	0.173024
12	0.168618
13	0.165875
14	0.163760
15	0.159705
16	0.158630
17	0.153730
18	0.149291
19	0.145496
20	0.141733
21	0.138691
22	0.135741
23	0.132499
24	0.130421
25	0.127900
26	0.124944
27	0.120888
28	0.118977
29	0.116240
30	0.113275
31	0.114382
32	0.111769
33	0.111262
34	0.108982
35	0.105216
36	0.104037
37	0.102551
38	0.101141
39	0.099613
40	0.098003
41	0.096853
42	0.095455
43	0.095325
44	0.093769
45	0.093243
46	0.091870
47	0.091600
48	0.090466
49	0.089820
50	0.088364
51	0.088450
52	0.087026
53	0.086587
54	0.084954
55	0.086068
56	0.085999
57	0.084681
58	0.086285
59	0.085177
60	0.084078
61	0.083272
62	0.082579
63	0.084415
64	0.081821
65	0.083376
66	0.082354
67	0.081679
68	0.081397
69	0.082263
70	0.082043
71	0.080329
72	0.081094
73	0.080063
74	0.081268
75	0.080087
76	0.079262
77	0.080075
78	0.078662
79	0.080246
80	0.078703
81	0.079584
82	0.080167
83	0.078987
84	0.078442
85	0.077798
86	0.078645
87	0.078483
88	0.077940
89	0.078049
90	0.077501
91	0.076779
92	0.077989
93	0.077641
94	0.077004
95	0.077151
96	0.076580
97	0.077526
98	0.077432
99	0.076412
100	0.076596
101	0.076481
102	0.077753
103	0.076456
104	0.076085
105	0.076895
106	0.075181
107	0.075507
108	0.074744
109	0.075194
110	0.075365
111	0.075888
112	0.074937
113	0.075311
114	0.074090
115	0.075927
116	0.075825
117	0.075312
118	0.074555
119	0.073719
120	0.074658
121	0.074445
122	0.075005
123	0.074774
124	0.073748
125	0.073294
126	0.074808
127	0.074153
128	0.073692
129	0.073142
130	0.074246
131	0.073992
132	0.073195
133	0.073131
134	0.073164
135	0.072716
136	0.073487
137	0.073283
138	0.072207
139	0.072774
140	0.072878
141	0.073248
142	0.074684
143	0.072684
144	0.072996
145	0.073844
146	0.072530
147	0.072842
148	0.073002
149	0.073155
150	0.071580
151	0.072401
152	0.071184
153	0.071931
154	0.071993
155	0.072555
156	0.072769
157	0.070647
158	0.073253
159	0.072055
160	0.071367
161	0.072198
162	0.071436
163	0.070706
164	0.071024
165	0.071349
166	0.071356
167	0.072228
168	0.072146
169	0.072682
170	0.071760
171	0.071243
172	0.072299
173	0.071933
174	0.071276
175	0.070202
176	0.070209
177	0.069947
178	0.071590
179	0.071439
180	0.069992
181	0.071024
182	0.068992
183	0.070897
184	0.070687
185	0.070181
186	0.070440
187	0.070770
188	0.070443
189	0.069780
190	0.070155
191	0.069572
192	0.069971
193	0.069545
194	0.070979
195	0.070701
196	0.070126
197	0.070048
198	0.069537
199	0.069751
200	0.070156
201	0.070267
202	0.069695
203	0.069038
204	0.069449
205	0.069924
206	0.068520
207	0.070049
208	0.069623
209	0.070329
210	0.069033
211	0.069628
212	0.069019
213	0.068016
214	0.068747
215	0.069836
216	0.068418
217	0.067717
218	0.068938
219	0.069341
220	0.069141
221	0.069572
222	0.069820
223	0.068324
224	0.069598
225	0.068815
226	0.068085
227	0.068985
228	0.069260
229	0.068426
230	0.068990
231	0.069096
232	0.068746
233	0.069373
234	0.069489
235	0.068603
236	0.067986
237	0.068622
238	0.067753
239	0.068028
240	0.068017
241	0.068529
242	0.068057
243	0.069692
244	0.067450
245	0.069255
246	0.068274
247	0.067381
248	0.068551
249	0.068120
250	0.068088
251	0.068019
252	0.067647
253	0.067662
254	0.067896
255	0.067769
256	0.067833
257	0.068082
258	0.067071
259	0.068069
260	0.068062
261	0.067774
262	0.067495
263	0.068121
264	0.067141
265	0.067852
266	0.068781
267	0.066631
268	0.068502
269	0.067322
270	0.066833
271	0.066601
272	0.066894
273	0.067769
274	0.066308
275	0.067544
276	0.067668
277	0.066669
278	0.067220
279	0.066775
280	0.068304
281	0.066158
282	0.066308
283	0.066907
284	0.067123
285	0.066727
286	0.067252
287	0.067518
288	0.066632
289	0.066292
290	0.067011
291	0.067226
292	0.066991
293	0.067757
294	0.066048
295	0.066337
296	0.066805
297	0.066188
298	0.066545
299	0.067702
300	0.067040
301	0.066159
302	0.066522
303	0.065715
304	0.065489
305	0.066789
306	0.067229
307	0.066911
308	0.066724
309	0.065666
310	0.065751
311	0.065939
312	0.066616
313	0.065723
314	0.066771
315	0.065721
316	0.067016
317	0.065240
318	0.065553
319	0.064528
320	0.067196
321	0.066627
322	0.065257
323	0.067346
324	0.065284
325	0.064640
326	0.065480
327	0.065750
328	0.065416
329	0.067109
330	0.065617
331	0.065784
332	0.064777
333	0.065097
334	0.065155
335	0.065310
336	0.066105
337	0.066168
338	0.065252
339	0.065547
340	0.066223
341	0.067577
342	0.066007
343	0.065245
344	0.065865
345	0.066025
346	0.064928
347	0.065916
348	0.064427
349	0.065448
350	0.065187
351	0.064667
352	0.065428
353	0.065840
354	0.065884
355	0.065379
356	0.064583
357	0.064551
358	0.064478
359	0.064826
360	0.064742
361	0.065286
362	0.066000
363	0.066534
364	0.065690
365	0.065042
366	0.064762
367	0.066043
368	0.064978
369	0.066319
370	0.065191
371	0.064796
372	0.065541
373	0.064788
374	0.064261
375	0.064413
376	0.064529
377	0.066172
378	0.064947
379	0.065078
380	0.064072
381	0.065811
382	0.064485
383	0.066076
384	0.066931
385	0.064663
386	0.064764
387	0.064721
388	0.065841
389	0.063733
390	0.063770
391	0.063309
392	0.064102
393	0.064107
394	0.064708
395	0.063641
396	0.065437
397	0.065679
398	0.064935
399	0.064531
400	0.062934
401	0.064673
402	0.063589
403	0.063640
404	0.064854
405	0.065031
406	0.063953
407	0.064763
408	0.063519
409	0.064041
410	0.063371
411	0.064062
412	0.063583
413	0.064097
414	0.064221
415	0.063781
416	0.065996
417	0.065040
418	0.063577
419	0.063968
420	0.064351
421	0.063855
422	0.063643
423	0.064181
424	0.063763
425	0.063622
426	0.063313
427	0.063894
428	0.063923
429	0.064032
430	0.065218
431	0.065195
432	0.064065
433	0.064261
434	0.062623
435	0.063379
436	0.064765
437	0.063410
438	0.063209
439	0.063833
440	0.063727
441	0.064135
442	0.063755
443	0.062473
444	0.063155
445	0.064251
446	0.063108
447	0.064017
448	0.064172
449	0.064330
450	0.063979
451	0.064044
452	0.063508
453	0.061935
454	0.064116
455	0.063303
456	0.063138
457	0.062679
458	0.064884
459	0.061964
460	0.063433
461	0.063089
462	0.062192
463	0.064101
464	0.063018
465	0.062751
466	0.062812
467	0.062945
468	0.062790
469	0.063287
470	0.064096
471	0.062507
472	0.064155
473	0.063761
474	0.062987
475	0.062605
476	0.062233
477	0.062162
478	0.064144
479	0.062085
480	0.064126
481	0.062832
482	0.063325
483	0.063643
484	0.062274
485	0.063751
486	0.063256
487	0.063597
488	0.062397
489	0.063206
490	0.063639
491	0.063632
492	0.062562
493	0.063871
494	0.064194
495	0.064059
496	0.062610
497	0.062441
498	0.062355
499	0.063760
500	0.063190
501	0.062101
502	0.063130
503	0.062796
504	0.062850
505	0.062499
506	0.063166
507	0.063162
508	0.063022
509	0.062687
510	0.062489
511	0.063346
512	0.062515
513	0.061984
514	0.062262
515	0.063037
516	0.063756
517	0.063044
518	0.062696
519	0.062501
520	0.062279
521	0.062907
522	0.062070
523	0.062392
524	0.063025
525	0.063490
526	0.063509
527	0.063540
528	0.062034
529	0.062894
530	0.063223
531	0.062935
532	0.062513
533	0.062450
534	0.061891
535	0.061529
536	0.062217
537	0.063041
538	0.062606
539	0.061529
540	0.061512
541	0.062199
542	0.061799
543	0.062976
544	0.062386
545	0.062456
546	0.063394
547	0.062043
548	0.062135
549	0.062621
550	0.063018
551	0.062825
552	0.061508
553	0.062585
554	0.062083
555	0.061335
556	0.061267
557	0.062641
558	0.062150
559	0.062714
560	0.063405
561	0.063014
562	0.061700
563	0.061453
564	0.062416
565	0.062478
566	0.062369
567	0.062482
568	0.061339
569	0.061692
570	0.061810
571	0.060404
572	0.063701
573	0.062082
574	0.062352
575	0.061509
576	0.062495
577	0.062115
578	0.062197
579	0.062490
580	0.062165
581	0.063216
582	0.062006
583	0.062445
584	0.062438
585	0.062224
586	0.062074
587	0.062371
588	0.062961
589	0.062254
590	0.061399
591	0.061419
592	0.061974
593	0.062542
594	0.061846
595	0.061306
596	0.062294
597	0.062091
598	0.062135
599	0.061908
600	0.061752
601	0.060851
602	0.062262
603	0.062580
604	0.062431
605	0.062281
606	0.060747
607	0.062279
608	0.061457
609	0.063086
610	0.062248
611	0.062514
612	0.060865
613	0.061709
614	0.061764
615	0.060735
616	0.062802
617	0.061507
618	0.060645
619	0.061692
620	0.062003
621	0.062066
622	0.061716
623	0.061750
624	0.061734
625	0.061432
626	0.061103
627	0.062342
628	0.062183
629	0.061276
630	0.061422
631	0.062034
632	0.062889
633	0.061819
634	0.062530
635	0.061420
636	0.063828
637	0.061196
638	0.062093
639	0.061883
640	0.061645
641	0.061166
642	0.061844
643	0.060614
644	0.061154
645	0.062307
646	0.061443
647	0.061151
648	0.061413
649	0.060922
650	0.061740
651	0.061874
652	0.061717
653	0.060685
654	0.061559
655	0.061231
656	0.061063
657	0.061489
658	0.060703
659	0.060611
660	0.060458
661	0.062323
662	0.062066
663	0.062086
664	0.060534
665	0.061662
666	0.061711
667	0.061408
668	0.061167
669	0.061254
670	0.060708
671	0.061843
672	0.060574
673	0.062405
674	0.063424
675	0.062118
676	0.061682
677	0.062089
678	0.060863
679	0.060467
680	0.061193
681	0.061539
682	0.061100
683	0.061554
684	0.061596
685	0.061795
686	0.061141
687	0.062181
688	0.060463
689	0.061422
690	0.060447
691	0.062105
692	0.060823
693	0.062108
694	0.060737
695	0.061666
696	0.060198
697	0.060817
698	0.060371
699	0.060766
700	0.062396
701	0.060888
702	0.061211
703	0.061229
704	0.061588
705	0.060638
706	0.061893
707	0.061249
708	0.061552
709	0.061367
710	0.061851
711	0.060769
712	0.060332
713	0.061363
714	0.061161
715	0.061795
716	0.061762
717	0.061357
718	0.060685
719	0.060756
720	0.060751
721	0.060743
722	0.062578
723	0.060597
724	0.060968
725	0.061617
726	0.062521
727	0.062048
728	0.061832
729	0.061672
730	0.061426
731	0.061151
732	0.061626
733	0.060427
734	0.059739
735	0.060742
736	0.060353
737	0.061071
738	0.060246
739	0.061124
740	0.061206
741	0.061517
742	0.061344
743	0.060129
744	0.060759
745	0.059663
746	0.061122
747	0.061506
748	0.060471
749	0.061412
750	0.060771
751	0.061451
752	0.060500
753	0.059542
754	0.060638
755	0.061105
756	0.060962
757	0.060345
758	0.060688
759	0.061376
760	0.061333
761	0.061301
762	0.060921
763	0.060617
764	0.060883
765	0.060498
766	0.060942
767	0.060221
768	0.061226
769	0.061299
770	0.060684
771	0.060504
772	0.061315
773	0.060743
774	0.062471
775	0.061343
776	0.060649
777	0.062147
778	0.061258
779	0.061196
780	0.061463
781	0.062037
782	0.060504
783	0.060138
784	0.060356
785	0.062617
786	0.060045
787	0.060003
788	0.061569
789	0.061923
790	0.059952
791	0.060620
792	0.060143
793	0.060054
794	0.062120
795	0.061140
796	0.060552
797	0.061589
798	0.060829
799	0.060703
800	0.061168
801	0.061282
802	0.060923
803	0.061132
804	0.059998
805	0.062547
806	0.060706
807	0.061123
808	0.060241
809	0.060425
810	0.059535
811	0.059761
812	0.060381
813	0.060362
814	0.061041
815	0.059794
816	0.061274
817	0.060557
818	0.060977
819	0.060378
820	0.060557
821	0.059068
822	0.060891
823	0.059991
824	0.060924
825	0.061800
826	0.060855
827	0.058742
828	0.061138
829	0.060109
830	0.060916
831	0.060268
832	0.060867
833	0.061198
834	0.060715
835	0.060562
836	0.060260
837	0.060939
838	0.059862
839	0.060359
840	0.060891
841	0.059933
842	0.060991
843	0.060357
844	0.059512
845	0.059931
846	0.060625
847	0.060625
848	0.059867
849	0.062651
850	0.060100
851	0.060101
852	0.059397
853	0.060557
854	0.061164
855	0.060421
856	0.058866
857	0.059314
858	0.059020
859	0.061234
860	0.061052
861	0.060415
862	0.061123
863	0.060441
864	0.061297
865	0.060118
866	0.059631
867	0.059665
868	0.060885
869	0.060509
870	0.060615
871	0.060564
872	0.060211
873	0.060075
874	0.061634
875	0.059164
876	0.059184
877	0.059618
878	0.061177
879	0.060277
880	0.060104
881	0.059622
882	0.059702
883	0.060268
884	0.059988
885	0.060932
886	0.060268
887	0.060698
888	0.060498
889	0.059216
890	0.060161
891	0.058807
892	0.060351
893	0.060022
894	0.060232
895	0.058895
896	0.059276
897	0.060051
898	0.060320
899	0.059535
900	0.059812
901	0.059634
902	0.061831
903	0.061105
904	0.059354
905	0.060471
906	0.059906
907	0.060498
908	0.059608
909	0.059949
910	0.059613
911	0.059864
912	0.059413
913	0.060945
914	0.062296
915	0.059873
916	0.059872
917	0.060350
918	0.059623
919	0.060485
