Epochs	Loss	
1	0.070966
2	0.069465
3	0.067750
4	0.066602
5	0.066546
6	0.065622
7	0.064298
8	0.063861
9	0.063243
10	0.062868
11	0.061975
12	0.061421
13	0.061327
14	0.061452
15	0.060621
16	0.060299
17	0.059888
18	0.059743
19	0.059261
20	0.059199
21	0.058868
22	0.058690
23	0.058790
24	0.058147
25	0.058521
26	0.057843
27	0.057074
28	0.057639
29	0.057042
30	0.057198
31	0.056963
32	0.056794
33	0.057007
34	0.056463
35	0.056376
36	0.056770
37	0.055737
38	0.056338
39	0.056395
40	0.055656
41	0.055456
42	0.055237
43	0.055291
44	0.055888
45	0.055057
46	0.055024
47	0.055055
48	0.055150
49	0.054058
50	0.054876
51	0.054585
52	0.054559
53	0.054645
54	0.054228
55	0.054526
56	0.054385
57	0.054207
58	0.054659
59	0.054154
60	0.054367
61	0.054493
62	0.054914
63	0.054160
64	0.054092
65	0.054174
66	0.054056
67	0.054156
68	0.053970
69	0.054096
70	0.054137
71	0.053471
72	0.053711
73	0.054010
74	0.053510
75	0.053900
76	0.053950
77	0.053762
78	0.054225
79	0.053534
80	0.054165
81	0.054018
82	0.053654
83	0.053445
84	0.053401
85	0.053283
86	0.053779
87	0.053216
88	0.053728
89	0.053691
90	0.053279
91	0.053538
92	0.053088
93	0.053728
94	0.053229
95	0.053263
96	0.052992
97	0.053217
98	0.053507
99	0.052756
100	0.053486
101	0.053796
102	0.054484
103	0.053311
104	0.053498
105	0.053872
106	0.053114
107	0.052996
108	0.053401
109	0.053045
110	0.053761
111	0.053375
112	0.054080
113	0.052732
114	0.053355
115	0.053609
116	0.052787
117	0.053189
118	0.053330
119	0.053437
120	0.053098
121	0.053106
122	0.052889
123	0.053131
124	0.052670
125	0.053295
126	0.053098
127	0.053334
128	0.053167
129	0.053145
130	0.052816
131	0.053145
132	0.053104
133	0.052856
134	0.052405
135	0.052724
136	0.052896
137	0.053230
138	0.052781
139	0.052855
140	0.052803
141	0.053409
142	0.053117
143	0.052492
144	0.052646
145	0.052682
146	0.052646
147	0.052434
148	0.052765
149	0.052879
150	0.053744
151	0.052973
152	0.053175
153	0.052625
154	0.053048
155	0.052615
156	0.053149
157	0.052844
158	0.053037
159	0.052319
160	0.052868
161	0.052677
162	0.052859
163	0.053295
164	0.053033
165	0.052259
166	0.052858
167	0.052717
168	0.053065
169	0.052984
170	0.052180
171	0.052806
172	0.052940
173	0.052763
174	0.053002
175	0.053175
176	0.052640
177	0.052577
178	0.052452
179	0.053158
180	0.052167
181	0.052503
182	0.053127
183	0.052669
184	0.052495
185	0.052715
186	0.052788
