Epochs	Loss	
1	0.149937
2	0.151257
3	0.153564
4	0.147252
5	0.147289
6	0.156914
7	0.143135
8	0.140731
9	0.143347
10	0.133365
11	0.143576
12	0.142201
13	0.137811
14	0.134852
15	0.135491
16	0.128529
17	0.131721
18	0.126082
19	0.134900
20	0.124917
21	0.123520
22	0.116438
23	0.117664
24	0.123851
25	0.116677
26	0.119450
27	0.114613
28	0.110777
29	0.111824
30	0.109861
31	0.110399
32	0.112723
33	0.106573
34	0.108565
35	0.107703
36	0.108548
37	0.099950
38	0.098169
39	0.112950
40	0.099566
41	0.099160
42	0.102042
43	0.099742
44	0.097982
45	0.101870
46	0.102205
47	0.094217
48	0.095106
49	0.096906
50	0.096854
51	0.096039
52	0.097255
53	0.096354
54	0.101692
55	0.099327
56	0.094052
57	0.092663
58	0.093310
59	0.095186
60	0.095274
61	0.097096
62	0.098289
63	0.091795
64	0.093061
65	0.098112
66	0.095365
67	0.094967
68	0.097999
69	0.091566
70	0.093761
71	0.096059
72	0.088938
73	0.090718
74	0.099240
75	0.092628
76	0.093445
77	0.091310
78	0.088563
79	0.093294
80	0.094482
81	0.095831
82	0.097345
83	0.093643
84	0.090849
85	0.091499
86	0.096096
87	0.093441
88	0.105941
89	0.093873
90	0.090546
91	0.093861
92	0.094275
93	0.092035
94	0.090819
95	0.097739
96	0.089872
97	0.090545
98	0.091321
99	0.090309
100	0.093532
101	0.093913
102	0.089185
103	0.101953
104	0.094962
105	0.093659
106	0.090798
107	0.092464
108	0.087602
109	0.088422
110	0.090606
111	0.092656
112	0.088493
113	0.089738
114	0.092551
115	0.093461
116	0.091046
117	0.090764
118	0.087061
119	0.086690
120	0.089020
121	0.094509
122	0.088548
123	0.092496
124	0.089402
125	0.087265
126	0.092121
127	0.090494
128	0.088150
129	0.090346
130	0.092331
131	0.091563
132	0.088873
133	0.086906
134	0.087796
135	0.090723
136	0.088839
137	0.094008
138	0.089702
139	0.085335
140	0.086655
141	0.086505
142	0.088789
143	0.089407
144	0.087926
145	0.083623
146	0.096452
147	0.086432
148	0.087553
149	0.089933
150	0.088402
151	0.085858
152	0.092685
153	0.087168
154	0.090326
155	0.087827
156	0.088422
157	0.088932
158	0.087968
159	0.099075
160	0.088276
161	0.084860
162	0.088212
163	0.091127
164	0.089494
165	0.090365
166	0.084208
167	0.084280
168	0.087813
169	0.087409
170	0.089051
171	0.089385
172	0.084542
173	0.092414
174	0.085090
175	0.087197
176	0.088799
177	0.086162
178	0.091476
179	0.084181
180	0.093152
181	0.090622
182	0.086049
