Epochs	Loss	
1	0.116054
2	0.113473
3	0.112073
4	0.109289
5	0.104880
6	0.102641
7	0.099731
8	0.096463
9	0.093978
10	0.090874
11	0.089837
12	0.085151
13	0.083132
14	0.079570
15	0.075873
16	0.071414
17	0.069254
18	0.068472
19	0.064212
20	0.060970
21	0.059143
22	0.057086
23	0.054657
24	0.054192
25	0.051455
26	0.051543
27	0.051273
28	0.050923
29	0.047147
30	0.048504
31	0.046067
32	0.045982
33	0.045144
34	0.044037
35	0.043092
36	0.042955
37	0.041088
38	0.041425
39	0.041101
40	0.040278
41	0.040928
42	0.039879
43	0.039111
44	0.039289
45	0.038306
46	0.038625
47	0.037177
48	0.037395
49	0.038166
50	0.036863
51	0.038054
52	0.038476
53	0.038970
54	0.036122
55	0.036027
56	0.035903
57	0.036200
58	0.036528
59	0.035983
60	0.035538
61	0.035629
62	0.035804
63	0.034649
64	0.035255
65	0.035344
66	0.035686
67	0.034766
68	0.034763
69	0.036752
70	0.033884
71	0.036104
72	0.035563
73	0.034555
74	0.033964
75	0.034996
76	0.034048
77	0.034686
78	0.032556
79	0.033529
80	0.036627
81	0.032703
82	0.036171
83	0.033518
84	0.034379
85	0.034253
86	0.032823
87	0.033907
88	0.033583
89	0.034201
90	0.033129
91	0.034315
92	0.033255
93	0.033135
94	0.033906
95	0.034037
96	0.034166
97	0.032616
98	0.034267
99	0.033620
100	0.033114
101	0.033876
102	0.034493
103	0.035237
104	0.033730
105	0.033558
106	0.033782
107	0.034113
108	0.033157
109	0.032641
110	0.033431
111	0.032471
112	0.032731
113	0.034614
114	0.033946
115	0.034624
116	0.032779
117	0.033923
118	0.034357
119	0.033032
120	0.031972
121	0.032472
122	0.032355
123	0.033220
124	0.033947
125	0.032800
126	0.033563
127	0.032200
128	0.033670
129	0.033294
130	0.033040
131	0.032904
132	0.032837
133	0.032931
134	0.032386
135	0.031970
136	0.032792
137	0.032777
138	0.033170
139	0.032287
140	0.032634
141	0.032891
142	0.033639
143	0.032636
144	0.034048
145	0.033026
146	0.033975
147	0.033236
148	0.033094
149	0.032920
150	0.032810
151	0.031909
152	0.034636
153	0.032389
154	0.033191
155	0.032253
156	0.034062
157	0.031898
158	0.032448
159	0.032622
160	0.033016
161	0.032411
162	0.032252
163	0.032587
164	0.033619
165	0.032819
166	0.033530
167	0.032064
168	0.031964
169	0.031748
170	0.032716
171	0.032759
172	0.033441
173	0.031786
174	0.031871
175	0.032580
176	0.032648
177	0.032469
178	0.033065
179	0.033905
180	0.032746
181	0.031812
182	0.032573
183	0.033018
184	0.032607
185	0.033276
186	0.033188
187	0.032765
188	0.033676
189	0.031001
190	0.032062
191	0.032260
192	0.033900
193	0.032004
194	0.033018
195	0.032721
196	0.030995
197	0.032081
198	0.032677
199	0.032715
200	0.033121
201	0.031778
202	0.032768
203	0.032574
204	0.032660
205	0.032728
206	0.032238
207	0.032620
208	0.032189
209	0.033229
210	0.032109
211	0.030916
212	0.031929
213	0.032616
214	0.031785
215	0.032587
216	0.032047
217	0.033011
218	0.032248
219	0.032447
220	0.032798
221	0.033225
222	0.031784
223	0.032956
224	0.033500
225	0.032654
226	0.033072
227	0.031902
228	0.031935
229	0.031351
230	0.032682
231	0.031179
232	0.033593
233	0.030551
234	0.031297
235	0.032508
236	0.032032
237	0.032424
238	0.031842
239	0.033145
240	0.032834
241	0.033835
242	0.033822
243	0.031862
244	0.031744
245	0.032185
246	0.032869
247	0.031807
248	0.031665
249	0.031388
250	0.031221
251	0.031632
252	0.031850
253	0.031425
254	0.030987
255	0.032486
256	0.031523
257	0.031573
258	0.031882
259	0.029988
260	0.031755
261	0.031757
262	0.030947
263	0.031699
264	0.032000
265	0.032011
266	0.032729
267	0.031933
268	0.031810
269	0.031150
270	0.031304
271	0.031784
272	0.032371
273	0.031815
274	0.031634
275	0.031928
276	0.032074
277	0.031886
278	0.031690
279	0.030939
280	0.031434
281	0.031285
282	0.032048
283	0.031546
284	0.032484
285	0.030838
286	0.030706
287	0.031081
288	0.031429
289	0.032118
290	0.030896
291	0.030938
292	0.030974
293	0.032428
294	0.031824
295	0.032555
296	0.032737
297	0.032513
298	0.032068
299	0.031071
300	0.031611
301	0.031838
302	0.031173
303	0.031734
304	0.031891
