Epochs	Loss	
1	0.211796
2	0.209409
3	0.203840
4	0.200672
5	0.195466
6	0.190463
7	0.188353
8	0.184142
9	0.176060
10	0.168670
11	0.167216
12	0.167192
13	0.161289
14	0.159181
15	0.155885
16	0.153510
17	0.148617
18	0.143766
19	0.137800
20	0.135745
21	0.135393
22	0.129627
23	0.127144
24	0.123174
25	0.120885
26	0.117224
27	0.114403
28	0.110187
29	0.107632
30	0.106607
31	0.104104
32	0.101043
33	0.098361
34	0.099665
35	0.097012
36	0.098044
37	0.095623
38	0.091467
39	0.090051
40	0.089930
41	0.089615
42	0.087968
43	0.088325
44	0.086629
45	0.085666
46	0.088333
47	0.084346
48	0.085883
49	0.083772
50	0.084295
51	0.083038
52	0.082495
53	0.083358
54	0.083436
55	0.082723
56	0.082909
57	0.080552
58	0.080564
59	0.080344
60	0.080905
61	0.079447
62	0.078959
63	0.077904
64	0.079768
65	0.078101
66	0.079209
67	0.078126
68	0.078876
69	0.077715
70	0.076368
71	0.078668
72	0.077085
73	0.076897
74	0.075308
75	0.076883
76	0.075004
77	0.076041
78	0.076763
79	0.074312
80	0.074644
81	0.074179
82	0.073899
83	0.075029
84	0.074038
85	0.072572
86	0.074494
87	0.073047
88	0.072721
89	0.073135
90	0.073107
91	0.071447
92	0.071995
93	0.073096
94	0.073184
95	0.073971
96	0.073289
97	0.072546
98	0.072594
99	0.072557
100	0.074561
101	0.073973
102	0.072450
103	0.071430
104	0.070760
105	0.069980
106	0.070074
107	0.069543
108	0.070924
109	0.071257
110	0.069733
111	0.071420
112	0.071879
113	0.070790
114	0.069644
115	0.069524
116	0.071014
117	0.069747
118	0.071709
119	0.070914
120	0.069900
121	0.068069
122	0.070268
123	0.069300
124	0.068071
125	0.068369
126	0.069510
127	0.070525
128	0.068908
129	0.069128
130	0.068439
131	0.070369
132	0.067038
133	0.068679
134	0.068374
135	0.068625
136	0.068481
137	0.068243
138	0.068953
139	0.067793
140	0.066619
141	0.067401
142	0.068021
143	0.069927
144	0.067289
145	0.068297
146	0.066533
147	0.066936
148	0.070368
149	0.067286
150	0.066930
151	0.066917
152	0.066831
153	0.067591
154	0.068034
155	0.067325
156	0.066432
157	0.066511
158	0.066555
159	0.066029
160	0.067070
161	0.066483
162	0.066773
163	0.067223
164	0.067448
165	0.067846
166	0.068253
167	0.066727
168	0.066333
169	0.067024
170	0.066402
171	0.066287
172	0.065600
173	0.064781
174	0.065907
175	0.065749
176	0.065596
177	0.067367
178	0.066721
179	0.065908
180	0.067028
181	0.065705
182	0.067445
183	0.066435
184	0.066308
185	0.065470
186	0.067200
187	0.065338
188	0.065608
189	0.066211
190	0.067182
191	0.066044
192	0.065112
193	0.066320
194	0.065414
195	0.066843
196	0.065556
197	0.065853
198	0.064114
199	0.065055
200	0.064222
201	0.063804
202	0.067250
203	0.063782
204	0.065265
205	0.064627
206	0.065440
207	0.064971
208	0.065815
209	0.064343
210	0.065345
211	0.067739
212	0.065695
213	0.064691
214	0.064649
215	0.064034
216	0.063551
217	0.064892
218	0.063719
219	0.065149
220	0.064529
221	0.066124
222	0.065562
223	0.063204
224	0.064720
225	0.063800
226	0.064796
227	0.062856
228	0.063637
229	0.063722
230	0.065308
231	0.063053
232	0.064291
233	0.062739
234	0.064067
235	0.063986
236	0.065194
237	0.064506
238	0.063600
239	0.063700
240	0.064595
241	0.064680
242	0.064418
243	0.065544
244	0.064003
245	0.064021
246	0.064641
247	0.064040
248	0.065420
249	0.065015
250	0.066772
251	0.062486
252	0.062791
253	0.062940
254	0.064307
255	0.064108
256	0.063208
257	0.064355
258	0.064509
259	0.064563
260	0.063614
261	0.064675
262	0.062940
263	0.063386
264	0.064746
265	0.062337
266	0.062687
267	0.064867
268	0.065691
269	0.066150
270	0.062266
271	0.061612
272	0.063023
273	0.065172
274	0.062917
275	0.064310
276	0.063608
277	0.063275
278	0.062813
279	0.065487
280	0.062436
281	0.064668
282	0.064389
283	0.062744
284	0.063217
285	0.062976
286	0.061888
287	0.064304
288	0.063837
289	0.063051
290	0.063292
291	0.063502
292	0.063175
293	0.062781
294	0.063135
295	0.062252
296	0.061742
297	0.063138
298	0.062046
299	0.065263
300	0.062594
301	0.062806
302	0.062547
303	0.062957
304	0.061679
305	0.062810
306	0.062342
307	0.062891
308	0.064612
309	0.062821
310	0.062853
311	0.063181
312	0.062611
313	0.063318
314	0.062335
315	0.063200
316	0.062888
317	0.060746
318	0.062415
319	0.061977
320	0.063834
321	0.061151
322	0.064099
323	0.062317
324	0.062082
325	0.063575
326	0.062369
327	0.063408
328	0.061903
329	0.062052
330	0.061238
331	0.062181
332	0.062376
333	0.063619
334	0.061466
335	0.061803
336	0.063139
337	0.062409
338	0.061807
339	0.062340
340	0.063560
341	0.062102
342	0.062984
343	0.062976
344	0.061155
345	0.063736
346	0.061901
347	0.064791
348	0.060797
349	0.062511
350	0.062146
351	0.060397
352	0.061774
353	0.063035
354	0.061620
355	0.063702
356	0.063287
357	0.061799
358	0.062593
359	0.064215
360	0.061283
361	0.063539
362	0.062274
363	0.061708
364	0.061765
365	0.062699
366	0.062489
367	0.062758
368	0.061481
369	0.063854
370	0.062323
371	0.062479
372	0.061287
373	0.061510
374	0.062485
375	0.061875
376	0.063119
377	0.061243
378	0.061235
379	0.060938
380	0.061266
381	0.062248
382	0.062923
383	0.061725
384	0.062647
385	0.063634
386	0.061334
387	0.060854
388	0.062098
389	0.062996
390	0.061077
391	0.061907
392	0.061299
393	0.062667
394	0.062222
395	0.061234
396	0.062619
397	0.061528
398	0.062471
399	0.062367
400	0.062085
401	0.061490
402	0.060968
403	0.064126
404	0.061853
405	0.060658
406	0.061757
407	0.062308
408	0.062130
409	0.061068
410	0.062381
411	0.061475
412	0.059948
413	0.063106
414	0.063208
415	0.061263
416	0.063053
417	0.062098
418	0.063209
419	0.060720
420	0.061292
421	0.062041
422	0.062057
423	0.061929
424	0.060795
425	0.061186
426	0.061534
427	0.062148
428	0.061669
429	0.061484
430	0.061493
431	0.060847
432	0.062035
433	0.061491
434	0.060785
435	0.062117
436	0.060681
437	0.060270
438	0.062192
439	0.060979
440	0.063372
441	0.061474
442	0.061354
443	0.061306
444	0.062694
445	0.062213
446	0.061230
447	0.060567
448	0.062247
449	0.062171
450	0.060255
451	0.061221
452	0.062222
453	0.062328
454	0.061375
455	0.061009
456	0.063031
457	0.060876
458	0.061677
459	0.060850
460	0.061918
461	0.059383
462	0.061830
463	0.062897
464	0.060614
465	0.061731
466	0.062107
467	0.060494
468	0.061958
469	0.062384
470	0.060014
471	0.061361
472	0.061364
473	0.060942
474	0.060773
475	0.060418
476	0.061178
477	0.059354
478	0.060554
479	0.061673
480	0.062270
481	0.061198
482	0.061814
483	0.063224
484	0.062423
485	0.062255
486	0.060450
487	0.060965
488	0.061717
489	0.060709
490	0.062077
491	0.061086
492	0.061696
493	0.062135
494	0.061183
495	0.060581
496	0.060576
497	0.059592
498	0.060526
499	0.061944
500	0.061686
501	0.060340
502	0.060327
503	0.060295
504	0.061307
505	0.065032
506	0.062139
507	0.064200
508	0.061957
509	0.060194
510	0.061477
511	0.062404
512	0.060854
513	0.060411
514	0.061474
515	0.060525
516	0.061421
517	0.061996
518	0.061294
519	0.061525
520	0.060189
521	0.059441
522	0.060480
523	0.060932
524	0.060840
525	0.060929
526	0.062111
527	0.060664
528	0.064963
529	0.063047
530	0.061159
531	0.061058
532	0.062362
533	0.060901
534	0.061055
535	0.060346
536	0.061762
537	0.060895
538	0.061491
539	0.059182
540	0.061319
541	0.062149
542	0.059846
543	0.061167
544	0.062595
545	0.062692
546	0.059402
547	0.061805
548	0.060802
549	0.061159
550	0.060768
551	0.061820
552	0.060698
553	0.059707
554	0.059778
555	0.060684
556	0.061481
557	0.059734
558	0.060460
559	0.061253
560	0.060399
561	0.059730
562	0.061516
563	0.061360
564	0.061353
565	0.062940
566	0.060071
567	0.061127
568	0.060346
569	0.061830
570	0.060576
571	0.061243
572	0.060487
573	0.060109
574	0.060885
575	0.060102
576	0.060222
577	0.060097
578	0.060852
579	0.059786
580	0.062002
581	0.061811
582	0.060809
583	0.060602
584	0.061658
585	0.061875
586	0.062119
587	0.061352
588	0.060103
589	0.062437
590	0.060879
591	0.060251
592	0.061278
593	0.060126
594	0.060392
595	0.060968
596	0.061001
597	0.060751
598	0.061089
