Epochs	Loss	
1	0.069782
2	0.066881
3	0.066617
4	0.065763
5	0.065453
6	0.063962
7	0.063710
8	0.063524
9	0.062165
10	0.061741
11	0.060911
12	0.062445
13	0.060543
14	0.060727
15	0.061400
16	0.059826
17	0.060262
18	0.059492
19	0.058402
20	0.058359
21	0.058720
22	0.060163
23	0.059218
24	0.057006
25	0.058490
26	0.058096
27	0.058367
28	0.058785
29	0.058386
30	0.057093
31	0.057672
32	0.057431
33	0.056396
34	0.056034
35	0.057281
36	0.056209
37	0.054961
38	0.056210
39	0.055253
40	0.054877
41	0.054989
42	0.056393
43	0.055305
44	0.054807
45	0.054519
46	0.054079
47	0.054194
48	0.053551
49	0.054987
50	0.052514
51	0.053278
52	0.054390
53	0.052394
54	0.052985
55	0.053190
56	0.051870
57	0.052646
58	0.053075
59	0.052038
60	0.050689
61	0.051547
62	0.051575
63	0.050495
64	0.050918
65	0.051329
66	0.050711
67	0.050301
68	0.049439
69	0.051109
70	0.050134
71	0.049729
72	0.050043
73	0.049279
74	0.049445
75	0.048875
76	0.048979
77	0.049070
78	0.047636
79	0.049887
80	0.047312
81	0.046732
82	0.048385
83	0.047791
84	0.047211
85	0.047717
86	0.047242
87	0.046145
88	0.047095
89	0.045399
90	0.045678
91	0.046718
92	0.045633
93	0.046422
94	0.045673
95	0.046204
96	0.045694
97	0.045717
98	0.045439
99	0.045693
100	0.045680
101	0.045465
102	0.044699
103	0.044595
104	0.043888
105	0.045781
106	0.044622
107	0.044492
108	0.043747
109	0.043616
110	0.044286
111	0.044185
112	0.044022
113	0.043947
114	0.044776
115	0.043782
116	0.044283
117	0.043668
118	0.043327
119	0.042951
120	0.044134
121	0.042010
122	0.042651
123	0.042209
124	0.043750
125	0.042963
126	0.043661
127	0.044450
128	0.042134
129	0.042721
130	0.042711
131	0.043154
132	0.041314
133	0.042606
134	0.041537
135	0.041756
136	0.042151
137	0.042936
138	0.041628
139	0.042823
140	0.042106
141	0.041680
142	0.042130
143	0.041070
144	0.041804
145	0.042910
146	0.042500
147	0.041777
148	0.042217
149	0.041037
150	0.041664
151	0.042692
152	0.041501
153	0.041638
154	0.041749
155	0.042376
156	0.041991
157	0.041119
158	0.040830
159	0.042453
160	0.040388
161	0.040918
162	0.040852
163	0.042224
164	0.041331
165	0.041681
166	0.039152
167	0.040204
168	0.040830
169	0.041391
170	0.039793
171	0.039840
172	0.040754
173	0.041375
174	0.041553
175	0.039394
176	0.040629
177	0.040909
178	0.040814
179	0.040865
180	0.041283
181	0.040448
182	0.039817
183	0.040039
184	0.040547
185	0.040966
186	0.041635
187	0.041381
188	0.040126
189	0.040515
190	0.039775
191	0.039810
192	0.040197
193	0.041035
194	0.039941
195	0.039506
196	0.039534
197	0.041288
198	0.040483
199	0.040854
200	0.040229
201	0.040306
202	0.039620
203	0.040461
204	0.040692
205	0.039570
206	0.038127
207	0.040232
208	0.039801
209	0.039933
210	0.040226
211	0.038888
212	0.040381
213	0.039323
214	0.038110
215	0.039562
216	0.039891
217	0.039727
218	0.038421
219	0.040590
220	0.038742
221	0.039022
222	0.038942
223	0.039100
224	0.039829
225	0.039327
226	0.038865
227	0.039297
228	0.038484
229	0.038512
230	0.039772
231	0.039341
232	0.040248
233	0.040134
234	0.039859
235	0.038772
236	0.038221
237	0.039566
238	0.038571
239	0.038818
240	0.039772
241	0.039031
242	0.039116
243	0.039950
244	0.038202
245	0.039112
246	0.039856
247	0.039977
248	0.038058
249	0.038528
250	0.038162
251	0.038718
252	0.038425
253	0.040002
254	0.039256
255	0.038082
256	0.038529
257	0.040978
258	0.037620
259	0.038958
260	0.037948
261	0.038577
262	0.039544
263	0.039508
264	0.039402
265	0.038019
266	0.038304
267	0.039590
268	0.039361
269	0.039136
270	0.039526
271	0.038228
272	0.037908
273	0.039426
274	0.038736
275	0.039218
276	0.037493
277	0.037891
278	0.038388
279	0.038632
280	0.039696
281	0.037239
282	0.038177
283	0.039682
284	0.037987
285	0.039072
286	0.039372
287	0.038549
288	0.038973
289	0.038162
290	0.038520
291	0.039503
292	0.038170
293	0.037806
294	0.038886
295	0.039005
296	0.040684
297	0.038474
298	0.037903
299	0.037632
300	0.038651
301	0.039316
302	0.038325
303	0.039591
304	0.038366
305	0.039228
306	0.038713
307	0.039425
308	0.038113
309	0.038080
310	0.038364
311	0.039787
312	0.038240
313	0.037825
314	0.039021
315	0.038090
316	0.038204
317	0.038832
318	0.038259
319	0.039179
320	0.039269
321	0.038860
322	0.038859
323	0.039236
324	0.037585
325	0.038111
326	0.037892
327	0.037842
328	0.039248
329	0.038110
330	0.037841
331	0.037630
332	0.038251
333	0.037129
334	0.037956
335	0.038466
336	0.039291
337	0.038552
338	0.038016
339	0.038251
340	0.037707
341	0.038614
342	0.038938
343	0.038137
344	0.038234
345	0.037725
346	0.039184
347	0.038505
348	0.038947
349	0.037071
350	0.038070
351	0.037984
352	0.037514
353	0.038799
354	0.038071
355	0.037718
356	0.038481
357	0.038640
358	0.039200
359	0.038139
360	0.037259
361	0.038501
362	0.037927
363	0.037935
364	0.039162
365	0.038318
366	0.039286
367	0.039496
368	0.036945
369	0.039416
370	0.037119
371	0.039497
372	0.037431
373	0.037360
374	0.038651
375	0.037288
376	0.037642
377	0.037891
378	0.037699
379	0.038040
380	0.037280
381	0.037446
382	0.038596
383	0.038470
384	0.037453
385	0.037452
386	0.039007
387	0.037426
388	0.036446
389	0.037842
390	0.038634
391	0.037532
392	0.038511
393	0.038408
394	0.037123
395	0.037889
396	0.037720
397	0.037114
398	0.038842
399	0.038110
400	0.038067
401	0.038054
402	0.037972
403	0.036553
404	0.036335
405	0.038683
406	0.037123
407	0.038137
408	0.038146
409	0.039229
410	0.037573
411	0.036853
412	0.038038
413	0.037560
414	0.037190
415	0.037613
416	0.037279
417	0.037265
418	0.037509
419	0.037815
420	0.037349
421	0.037771
422	0.037774
423	0.037153
424	0.038784
425	0.036852
426	0.036648
427	0.037453
428	0.038018
429	0.037850
430	0.037785
431	0.036212
432	0.038712
433	0.036640
434	0.037038
435	0.037251
436	0.037516
437	0.037704
438	0.039226
439	0.036986
440	0.037114
441	0.036843
442	0.038566
443	0.037674
444	0.036711
445	0.036426
446	0.036449
447	0.037766
448	0.037569
449	0.038645
450	0.038000
451	0.037355
452	0.036611
453	0.038149
454	0.038177
455	0.038489
456	0.037723
457	0.038763
458	0.037732
459	0.037142
460	0.037155
461	0.038159
462	0.037975
463	0.036454
464	0.037644
465	0.037118
466	0.037981
467	0.038067
468	0.037442
469	0.037876
470	0.036210
471	0.036961
472	0.036340
473	0.036978
474	0.036537
475	0.037109
476	0.036547
477	0.037295
478	0.036425
479	0.038214
480	0.036391
481	0.037829
482	0.037229
483	0.037612
484	0.036501
485	0.037885
486	0.036609
487	0.037977
488	0.037882
489	0.037919
490	0.037497
491	0.037780
492	0.036637
493	0.037120
494	0.036808
495	0.036686
496	0.038444
497	0.037239
498	0.036756
499	0.037680
500	0.037910
501	0.036802
502	0.037655
503	0.038310
504	0.037115
505	0.037808
506	0.037952
507	0.036768
508	0.037821
509	0.036538
510	0.037233
511	0.038077
512	0.037539
513	0.036760
514	0.038301
515	0.037215
516	0.037248
517	0.037561
518	0.038745
519	0.037335
520	0.036348
521	0.036374
522	0.037207
523	0.037117
524	0.036108
525	0.035988
526	0.037364
527	0.038516
528	0.036821
529	0.038182
530	0.037394
531	0.035755
532	0.037937
533	0.036466
534	0.036566
535	0.037008
536	0.037647
537	0.036808
538	0.036684
539	0.037565
540	0.036624
541	0.038449
542	0.037494
543	0.037343
544	0.035969
545	0.035893
546	0.037449
547	0.037040
548	0.037353
549	0.037770
550	0.036648
551	0.037212
552	0.036936
553	0.036792
554	0.036597
555	0.036920
556	0.036376
557	0.036951
558	0.037235
559	0.037217
560	0.037534
561	0.036352
562	0.037997
563	0.036786
564	0.036395
565	0.037367
566	0.036993
567	0.036941
568	0.035857
569	0.037560
570	0.036946
571	0.038330
572	0.036636
573	0.037015
574	0.037270
575	0.037604
576	0.037844
577	0.036337
578	0.036773
579	0.035829
580	0.037647
581	0.037408
582	0.037377
583	0.037566
584	0.036631
585	0.037102
586	0.036932
587	0.036504
588	0.038007
589	0.037274
590	0.037451
591	0.036830
592	0.037851
593	0.036722
594	0.036461
595	0.038185
596	0.037000
597	0.036857
598	0.036021
599	0.036990
600	0.037547
601	0.037516
602	0.037026
603	0.037052
604	0.036503
605	0.035763
606	0.036332
607	0.037351
608	0.035445
609	0.036723
610	0.037189
611	0.037395
612	0.036899
613	0.036411
614	0.037397
615	0.036705
616	0.037211
617	0.035243
618	0.035610
619	0.037466
620	0.035855
621	0.037504
622	0.036758
623	0.036937
624	0.037658
625	0.038365
626	0.036911
627	0.036870
628	0.036987
629	0.036174
630	0.036099
631	0.037383
632	0.037297
633	0.036749
634	0.037910
635	0.035591
636	0.037518
637	0.037961
638	0.037232
639	0.036224
640	0.037983
641	0.036620
642	0.036917
643	0.036560
644	0.037360
645	0.035637
646	0.037017
647	0.035892
648	0.037579
649	0.036802
650	0.036964
651	0.037014
652	0.037405
653	0.036760
654	0.037587
655	0.037747
656	0.037286
657	0.035990
658	0.036217
659	0.036729
660	0.036818
661	0.036146
662	0.036449
663	0.037066
664	0.036484
665	0.036463
666	0.037302
667	0.035842
668	0.036957
669	0.036455
670	0.036073
671	0.035712
672	0.035859
673	0.035669
674	0.037379
675	0.036852
676	0.037322
677	0.036163
678	0.036004
679	0.036946
680	0.037144
681	0.037765
682	0.036550
683	0.037668
684	0.036053
685	0.036364
686	0.036132
687	0.036854
688	0.035882
689	0.035454
690	0.035928
691	0.036657
692	0.036767
693	0.037798
694	0.035948
695	0.035850
696	0.035361
697	0.037614
698	0.036081
699	0.036137
700	0.036836
701	0.037960
702	0.037032
703	0.037842
704	0.036672
705	0.036239
706	0.037902
707	0.036578
708	0.036165
709	0.035551
710	0.036979
711	0.037456
712	0.036212
713	0.035201
714	0.037938
715	0.036918
716	0.035568
717	0.035652
718	0.036617
719	0.036702
720	0.036142
721	0.036759
722	0.035875
723	0.037079
724	0.035709
725	0.037548
726	0.035847
727	0.036834
728	0.036323
729	0.036963
730	0.037257
731	0.035971
732	0.036861
733	0.038092
734	0.036304
735	0.037115
736	0.037663
737	0.035457
738	0.036677
739	0.037207
740	0.036747
741	0.036293
742	0.037370
743	0.035389
744	0.035806
745	0.034821
746	0.036399
747	0.035873
748	0.037302
749	0.038403
750	0.035955
751	0.036415
752	0.035366
753	0.036320
