Epochs	Loss	
1	0.169982
2	0.166528
3	0.162015
4	0.159771
5	0.156123
6	0.152174
7	0.148694
8	0.144920
9	0.142612
10	0.136668
11	0.133476
12	0.129305
13	0.128096
14	0.122653
15	0.120199
16	0.117846
17	0.114819
18	0.111726
19	0.110371
20	0.107443
21	0.105708
22	0.103149
23	0.100952
24	0.099056
25	0.096896
26	0.095446
27	0.092845
28	0.090059
29	0.089591
30	0.087565
31	0.085733
32	0.084354
33	0.082776
34	0.081313
35	0.080206
36	0.079521
37	0.078032
38	0.077230
39	0.076035
40	0.074841
41	0.074215
42	0.073575
43	0.072428
44	0.073734
45	0.071378
46	0.071356
47	0.069239
48	0.070551
49	0.069306
50	0.068710
51	0.069244
52	0.067804
53	0.066717
54	0.067424
55	0.065948
56	0.065521
57	0.064830
58	0.065027
59	0.065107
60	0.063708
61	0.063943
62	0.063112
63	0.062939
64	0.063009
65	0.062974
66	0.063189
67	0.061726
68	0.062127
69	0.062175
70	0.061489
71	0.061642
72	0.061332
73	0.060782
74	0.060669
75	0.060739
76	0.060525
77	0.059840
78	0.059138
79	0.059689
80	0.059396
81	0.060475
82	0.059372
83	0.059453
84	0.060380
85	0.058803
86	0.058705
87	0.059025
88	0.059109
89	0.058687
90	0.058674
91	0.058556
92	0.058554
93	0.057868
94	0.058560
95	0.058415
96	0.057348
97	0.057526
98	0.058459
99	0.057331
100	0.056722
101	0.057266
102	0.057259
103	0.056771
104	0.057776
105	0.056034
106	0.056563
107	0.056208
108	0.056955
109	0.056439
110	0.055901
111	0.056935
112	0.055729
113	0.056430
114	0.056482
115	0.055755
116	0.056261
117	0.056237
118	0.055659
119	0.055328
120	0.055546
121	0.055342
122	0.055459
123	0.054721
124	0.055871
125	0.055435
126	0.054873
127	0.056756
128	0.054568
129	0.055142
130	0.054924
131	0.054358
132	0.055130
133	0.054920
134	0.055136
135	0.054175
136	0.054200
137	0.055029
138	0.054638
139	0.054091
140	0.053478
141	0.053956
142	0.054492
143	0.053512
144	0.054389
145	0.054148
146	0.053799
147	0.053781
148	0.053387
149	0.053094
150	0.053575
151	0.054048
152	0.054264
153	0.053902
154	0.053653
155	0.053205
156	0.054215
157	0.053255
158	0.053362
159	0.053853
160	0.052415
161	0.053304
162	0.053212
163	0.052378
164	0.053852
165	0.052449
166	0.053143
167	0.053223
168	0.053106
169	0.053117
170	0.052170
171	0.052653
172	0.052757
173	0.051890
174	0.051881
175	0.052516
176	0.052572
177	0.052409
178	0.053054
179	0.053332
180	0.052075
181	0.052518
182	0.052959
183	0.052227
184	0.051793
185	0.051874
186	0.052751
187	0.052272
188	0.052396
189	0.051897
190	0.052457
191	0.052676
192	0.051406
193	0.052016
194	0.052405
195	0.051429
196	0.051465
197	0.051620
198	0.051769
199	0.051361
200	0.050781
201	0.051089
202	0.051559
203	0.051056
204	0.051547
205	0.051847
206	0.050875
207	0.051500
208	0.051650
209	0.051602
210	0.051425
211	0.051446
212	0.050634
213	0.051062
214	0.051304
215	0.051922
216	0.050970
217	0.050818
218	0.051974
219	0.051489
220	0.050914
221	0.050803
222	0.050564
223	0.050420
224	0.050459
225	0.050614
226	0.050621
227	0.050925
228	0.051186
229	0.051365
230	0.050936
231	0.050726
232	0.050578
233	0.050449
234	0.050609
235	0.050773
236	0.050612
237	0.050619
238	0.050349
239	0.051713
240	0.050743
241	0.050621
242	0.050828
243	0.050415
244	0.050702
245	0.051084
246	0.050495
247	0.050520
248	0.050320
249	0.050673
250	0.050199
251	0.049939
252	0.049681
253	0.050684
254	0.049900
255	0.050143
256	0.049830
257	0.049810
258	0.050204
259	0.050255
260	0.050020
261	0.050393
262	0.050571
263	0.050256
264	0.051484
265	0.049830
266	0.048999
267	0.050041
268	0.049512
269	0.049790
270	0.049945
271	0.049772
272	0.050189
273	0.049969
274	0.049220
275	0.050627
276	0.049599
277	0.049722
278	0.049454
279	0.050778
280	0.050534
281	0.049637
282	0.050211
283	0.050087
284	0.049135
285	0.049781
286	0.049626
287	0.049458
288	0.049271
289	0.049716
290	0.049855
291	0.049464
292	0.050659
293	0.049416
294	0.049398
295	0.049648
296	0.049867
297	0.049302
298	0.048913
299	0.049660
300	0.049169
301	0.048926
302	0.049300
303	0.050087
304	0.049047
305	0.049185
306	0.049191
307	0.048722
308	0.048474
309	0.051700
310	0.049426
311	0.048840
312	0.048850
313	0.049312
314	0.049381
315	0.049861
316	0.048717
317	0.049513
318	0.049048
319	0.049488
320	0.049282
321	0.048807
322	0.049549
323	0.049445
324	0.049505
325	0.048982
326	0.048542
327	0.048982
328	0.049447
329	0.049118
330	0.049074
331	0.048356
332	0.049235
333	0.048758
