Epochs	Loss	
1	0.176254
2	0.175558
3	0.174368
4	0.173375
5	0.172141
6	0.171211
7	0.169233
8	0.167456
9	0.166000
10	0.163981
11	0.162237
12	0.160157
13	0.158521
14	0.156869
15	0.154395
16	0.152655
17	0.150151
18	0.147455
19	0.143738
20	0.142444
21	0.140003
22	0.137010
23	0.133295
24	0.131152
25	0.127961
26	0.127041
27	0.123051
28	0.121309
29	0.119065
30	0.116043
31	0.114287
32	0.112136
33	0.111142
34	0.108443
35	0.107422
36	0.105543
37	0.104600
38	0.102575
39	0.101292
40	0.100029
41	0.099504
42	0.098766
43	0.097696
44	0.096140
45	0.095254
46	0.094298
47	0.093506
48	0.093781
49	0.092050
50	0.091866
51	0.091198
52	0.090756
53	0.089818
54	0.089662
55	0.089442
56	0.088594
57	0.088979
58	0.088003
59	0.086920
60	0.086964
61	0.087409
62	0.086913
63	0.086532
64	0.085833
65	0.085831
66	0.085379
67	0.085403
68	0.084837
69	0.084097
70	0.084881
71	0.083844
72	0.084200
73	0.083570
74	0.083703
75	0.083491
76	0.082786
77	0.083005
78	0.082355
79	0.082726
80	0.082065
81	0.082065
82	0.081992
83	0.082421
84	0.081499
85	0.081555
86	0.081482
87	0.081609
88	0.080676
89	0.080681
90	0.081022
91	0.080633
92	0.080834
93	0.080330
94	0.080814
95	0.080168
96	0.080831
97	0.080836
98	0.079540
99	0.079800
100	0.079883
101	0.079156
102	0.079629
103	0.079061
104	0.079066
105	0.078863
106	0.079278
107	0.079008
108	0.079430
109	0.078275
110	0.078487
111	0.079019
112	0.077996
113	0.077842
114	0.078495
115	0.077915
116	0.077903
117	0.077998
118	0.078310
119	0.077687
120	0.077344
121	0.077743
122	0.077466
123	0.077100
124	0.077019
125	0.076624
126	0.077542
127	0.076630
128	0.076555
129	0.077451
130	0.076676
131	0.076625
132	0.076781
133	0.077033
134	0.076859
135	0.076209
136	0.076918
137	0.076428
138	0.075907
139	0.076137
140	0.076153
141	0.075977
142	0.075880
143	0.075486
144	0.075363
145	0.075109
146	0.075679
147	0.075121
148	0.075871
149	0.075584
150	0.075998
151	0.075541
152	0.075367
153	0.075038
154	0.074828
155	0.074713
156	0.074374
157	0.074378
158	0.075326
159	0.074585
160	0.073662
161	0.074686
162	0.074631
163	0.074642
164	0.074400
165	0.073893
166	0.074209
167	0.074091
168	0.073513
169	0.074024
170	0.073710
171	0.073528
172	0.073634
173	0.074122
174	0.073870
175	0.073426
176	0.074201
177	0.073666
178	0.073326
179	0.073171
180	0.073371
181	0.073106
182	0.072938
183	0.073356
184	0.073326
185	0.073504
186	0.072597
187	0.072411
188	0.072367
189	0.073205
190	0.072277
191	0.072871
192	0.072785
193	0.072256
194	0.072559
195	0.072511
196	0.072372
197	0.072004
198	0.072262
199	0.071814
200	0.072708
201	0.072505
202	0.072275
203	0.071977
204	0.070703
205	0.071838
206	0.072100
207	0.072293
208	0.071932
209	0.071429
210	0.071841
211	0.071872
212	0.071278
213	0.070571
214	0.071605
215	0.071399
216	0.071517
217	0.070774
218	0.070771
219	0.071148
220	0.071579
221	0.071218
222	0.070434
223	0.070639
224	0.071187
225	0.070303
226	0.070688
227	0.070574
228	0.070653
229	0.070267
230	0.070367
231	0.070543
232	0.070594
233	0.070646
234	0.070413
235	0.069751
236	0.070296
237	0.069915
238	0.069886
239	0.070687
240	0.070491
241	0.069601
242	0.069807
243	0.070629
244	0.069789
245	0.070340
246	0.069234
247	0.069733
248	0.069645
249	0.069318
250	0.070006
251	0.069397
252	0.069329
253	0.070122
254	0.069216
255	0.069516
256	0.069338
257	0.069651
258	0.070066
259	0.069295
260	0.069280
261	0.069352
262	0.069386
263	0.069215
264	0.068859
265	0.069137
266	0.069381
267	0.068959
268	0.069288
269	0.068939
270	0.068964
271	0.068886
272	0.069491
273	0.068547
274	0.068958
275	0.068313
276	0.068639
277	0.068341
278	0.068660
279	0.068770
280	0.068794
281	0.068791
282	0.068371
283	0.068652
284	0.068241
285	0.069034
286	0.068906
287	0.068747
288	0.068308
289	0.067427
290	0.067936
291	0.068382
292	0.068253
293	0.067555
294	0.067694
295	0.067321
296	0.067662
297	0.067751
298	0.068298
299	0.067907
300	0.067618
301	0.068055
302	0.067614
303	0.067191
304	0.067393
305	0.068193
306	0.068177
307	0.067738
308	0.067141
309	0.067581
310	0.068304
311	0.067736
312	0.067323
313	0.067217
314	0.067685
315	0.067583
316	0.066934
317	0.067623
318	0.066882
319	0.067280
320	0.066742
321	0.067225
322	0.067357
323	0.066769
324	0.066888
325	0.066874
326	0.067510
327	0.066893
328	0.066763
329	0.067024
330	0.066917
331	0.066891
332	0.066743
333	0.066977
334	0.066831
335	0.066905
336	0.066731
337	0.066209
338	0.066942
339	0.066432
340	0.066434
341	0.066746
342	0.066510
343	0.066284
344	0.065967
345	0.066391
346	0.067010
347	0.066199
348	0.066331
349	0.066386
350	0.066541
351	0.066734
352	0.065873
353	0.066700
354	0.066535
355	0.066157
356	0.065652
357	0.066117
358	0.066261
359	0.066493
360	0.065800
361	0.065617
362	0.065828
363	0.066473
364	0.065814
365	0.066307
366	0.065848
367	0.066280
368	0.065481
369	0.066281
370	0.066156
371	0.065780
372	0.065436
373	0.065912
374	0.065821
375	0.065654
376	0.066074
377	0.065720
378	0.065600
379	0.065419
380	0.065804
381	0.065696
382	0.066005
383	0.065919
384	0.065286
385	0.065455
386	0.065137
387	0.065627
388	0.065967
389	0.065704
390	0.065290
391	0.066110
392	0.065635
393	0.065073
394	0.065065
395	0.065783
396	0.065882
397	0.065378
398	0.065341
399	0.065871
400	0.064837
401	0.065000
402	0.065098
403	0.065434
404	0.065276
405	0.064779
406	0.065807
407	0.064781
408	0.065522
409	0.065284
410	0.064609
411	0.065179
412	0.064890
413	0.064133
414	0.064424
415	0.064687
416	0.064844
417	0.064948
418	0.064844
419	0.064489
420	0.065391
421	0.065544
422	0.065054
423	0.065310
424	0.064753
425	0.065005
426	0.065062
427	0.064839
428	0.064724
429	0.064810
430	0.064999
431	0.064194
432	0.064959
433	0.064604
434	0.064955
435	0.064644
436	0.064426
437	0.064732
438	0.064648
439	0.064327
440	0.064864
441	0.064465
442	0.064184
443	0.064168
444	0.064400
445	0.063860
446	0.064438
447	0.064468
448	0.063860
449	0.064313
450	0.064076
451	0.065223
452	0.064345
453	0.064417
454	0.063955
455	0.064382
456	0.064143
457	0.064082
458	0.064553
459	0.063892
460	0.064325
461	0.064348
462	0.064048
463	0.064009
464	0.063719
465	0.063999
466	0.063961
467	0.064433
468	0.064439
469	0.064085
470	0.063910
471	0.063862
472	0.064098
473	0.064296
474	0.063492
475	0.063119
476	0.063584
477	0.064046
478	0.063752
479	0.063532
480	0.063990
481	0.063707
482	0.063854
483	0.063766
484	0.063224
485	0.063813
486	0.063990
487	0.063761
488	0.064354
489	0.063498
490	0.063512
491	0.063126
492	0.063772
493	0.064058
494	0.063759
495	0.063553
496	0.063525
497	0.063458
498	0.063731
499	0.063514
500	0.063836
501	0.063547
502	0.063297
503	0.063309
504	0.064114
505	0.063252
506	0.063607
507	0.063329
508	0.063962
509	0.063287
510	0.063152
511	0.063398
512	0.063336
513	0.063390
514	0.063629
515	0.063035
516	0.062953
517	0.062913
518	0.063812
519	0.063309
520	0.063472
521	0.063043
522	0.063458
523	0.063262
524	0.063349
525	0.063359
526	0.063758
527	0.062954
528	0.063567
529	0.062764
530	0.063238
531	0.063042
532	0.063299
533	0.062608
534	0.062934
535	0.063757
536	0.063112
537	0.062949
538	0.063678
539	0.063582
540	0.063175
541	0.063017
542	0.063244
543	0.063325
544	0.062979
545	0.063012
546	0.062367
547	0.062872
548	0.062982
549	0.062758
550	0.063208
551	0.062943
552	0.062331
553	0.062969
554	0.063827
555	0.062460
556	0.062387
557	0.062250
558	0.062777
559	0.062556
560	0.062545
561	0.063066
562	0.062907
563	0.062721
564	0.062457
565	0.063083
566	0.062845
567	0.062312
568	0.062572
569	0.062850
570	0.062949
571	0.063118
572	0.062192
573	0.062713
574	0.062833
575	0.062562
576	0.062586
577	0.062839
578	0.061954
579	0.062265
580	0.063034
581	0.062996
582	0.062813
583	0.062748
584	0.062476
585	0.062277
586	0.062463
587	0.062244
588	0.062237
589	0.062229
590	0.062347
591	0.062841
592	0.062541
593	0.062245
594	0.062694
595	0.062803
596	0.062793
597	0.062814
598	0.062974
599	0.062287
600	0.062275
601	0.062186
602	0.062502
603	0.061726
604	0.062133
605	0.062872
606	0.062119
607	0.062008
608	0.062245
609	0.062544
610	0.062322
611	0.062076
612	0.062521
613	0.061992
614	0.062109
615	0.062195
616	0.062153
617	0.061826
618	0.062980
619	0.062161
620	0.062267
621	0.061979
622	0.062576
623	0.061978
624	0.062369
625	0.062968
626	0.062049
627	0.061652
628	0.061844
629	0.061827
630	0.061599
631	0.062400
632	0.062405
633	0.061729
634	0.061904
635	0.062252
636	0.061994
637	0.061695
638	0.061768
639	0.061521
640	0.061818
641	0.062252
642	0.061945
643	0.061132
644	0.061938
645	0.061905
646	0.061670
647	0.061217
648	0.062313
649	0.061676
650	0.061572
651	0.061986
652	0.060969
653	0.061194
654	0.062179
655	0.061441
656	0.061586
657	0.061543
658	0.061615
659	0.061634
660	0.061629
661	0.061609
662	0.061274
663	0.061672
664	0.061334
665	0.061844
666	0.061803
667	0.061797
668	0.061300
669	0.061550
670	0.061900
671	0.062057
672	0.061506
673	0.061503
674	0.062020
675	0.061493
676	0.062444
677	0.061354
678	0.061829
679	0.061276
680	0.061820
681	0.061299
682	0.062086
683	0.061366
684	0.061410
685	0.061512
686	0.061463
687	0.061482
688	0.061707
689	0.061426
690	0.061082
691	0.061204
692	0.061491
693	0.061526
694	0.061800
695	0.061520
