Epochs	Loss	
1	0.183589
2	0.183529
3	0.183861
4	0.181123
5	0.181291
6	0.178290
7	0.178172
8	0.175456
9	0.174472
10	0.173806
11	0.167940
12	0.167779
13	0.165590
14	0.164307
15	0.160630
16	0.160138
17	0.156345
18	0.154820
19	0.152811
20	0.151187
21	0.150499
22	0.145157
23	0.142990
24	0.142690
25	0.140249
26	0.138665
27	0.135533
28	0.134110
29	0.130274
30	0.129291
31	0.126848
32	0.124433
33	0.123250
34	0.120342
35	0.119591
36	0.117212
37	0.114822
38	0.113105
39	0.113158
40	0.109509
41	0.109166
42	0.106860
43	0.104313
44	0.104006
45	0.104227
46	0.100859
47	0.099865
48	0.099207
49	0.098592
50	0.096428
51	0.095273
52	0.095093
53	0.094730
54	0.093568
55	0.091006
56	0.092431
57	0.090324
58	0.089788
59	0.089123
60	0.089350
61	0.087828
62	0.087903
63	0.086667
64	0.086599
65	0.086092
66	0.085496
67	0.084640
68	0.084818
69	0.085166
70	0.083843
71	0.084720
72	0.083276
73	0.082075
74	0.081661
75	0.083229
76	0.082697
77	0.082419
78	0.082181
79	0.080861
80	0.080042
81	0.079452
82	0.080188
83	0.079249
84	0.079051
85	0.080187
86	0.079183
87	0.078804
88	0.078342
89	0.078216
90	0.079108
91	0.077552
92	0.077246
93	0.077251
94	0.076954
95	0.077269
96	0.077210
97	0.077223
98	0.078076
99	0.075947
100	0.075437
101	0.076363
102	0.076803
103	0.075345
104	0.075123
105	0.074482
106	0.075409
107	0.074459
108	0.075090
109	0.074990
110	0.074161
111	0.073454
112	0.074548
113	0.073534
114	0.073822
115	0.074015
116	0.075427
117	0.073965
118	0.073427
119	0.074672
120	0.072548
121	0.074375
122	0.072643
123	0.073954
124	0.072595
125	0.072432
126	0.071535
127	0.072427
128	0.072203
129	0.072070
130	0.071661
131	0.072418
132	0.071818
133	0.072275
134	0.070481
135	0.071442
136	0.071423
137	0.071624
138	0.070884
139	0.071856
140	0.070848
141	0.072025
142	0.070868
143	0.071038
144	0.070918
145	0.071369
146	0.071345
147	0.069609
148	0.070775
149	0.069398
150	0.070584
151	0.070382
152	0.070419
153	0.070240
154	0.070428
155	0.069585
156	0.069208
157	0.068257
158	0.068876
159	0.068292
160	0.069082
161	0.069483
162	0.069004
163	0.069384
164	0.070516
165	0.069858
166	0.067978
167	0.069111
168	0.069099
169	0.069060
170	0.068169
171	0.068174
172	0.068192
173	0.068744
174	0.068031
175	0.069238
176	0.068372
177	0.067738
178	0.068083
179	0.069286
180	0.068502
181	0.068317
182	0.067400
183	0.069342
184	0.068374
185	0.067898
186	0.067567
187	0.066969
188	0.067126
189	0.068339
190	0.067849
191	0.068146
192	0.067267
193	0.066453
194	0.067849
195	0.067686
196	0.067687
197	0.067966
198	0.066844
199	0.066504
200	0.069206
201	0.067512
202	0.067359
203	0.066955
204	0.067692
205	0.067124
206	0.067190
207	0.066931
208	0.066372
209	0.066879
210	0.067531
211	0.067125
212	0.065818
213	0.065720
214	0.066519
215	0.066939
216	0.066623
217	0.066218
218	0.067037
219	0.065582
220	0.066010
221	0.066080
222	0.066258
223	0.065260
224	0.065971
225	0.066127
226	0.066117
227	0.065980
228	0.065557
229	0.065987
230	0.065511
231	0.065965
232	0.064825
233	0.066286
234	0.065639
235	0.065074
236	0.064876
237	0.064409
238	0.065960
239	0.065450
240	0.065021
241	0.065471
242	0.064925
243	0.064801
244	0.064432
245	0.065993
246	0.064780
247	0.064984
248	0.064839
249	0.064602
250	0.065027
251	0.063886
252	0.066787
253	0.063822
254	0.064495
255	0.064381
256	0.064389
257	0.066235
258	0.065629
259	0.063686
260	0.064448
261	0.063853
262	0.063822
263	0.065605
264	0.065181
265	0.064692
266	0.064106
267	0.064348
268	0.064651
269	0.064248
270	0.063974
271	0.063825
272	0.064637
273	0.063391
274	0.063950
275	0.063727
276	0.063836
277	0.063604
278	0.063526
279	0.063841
280	0.064369
281	0.063876
282	0.062992
283	0.064926
284	0.063371
285	0.063431
286	0.063883
287	0.062894
288	0.064192
289	0.063574
290	0.062838
291	0.063497
292	0.063102
293	0.063939
294	0.062321
295	0.063984
296	0.064087
297	0.064458
298	0.062881
299	0.063697
300	0.063478
301	0.063843
302	0.062130
303	0.063342
304	0.063441
305	0.063094
306	0.062941
307	0.062770
308	0.062631
309	0.062705
310	0.062714
311	0.062189
312	0.061937
313	0.062110
314	0.062022
315	0.062270
316	0.062515
317	0.063649
318	0.062243
319	0.062238
320	0.062469
321	0.063367
322	0.061049
323	0.062730
324	0.063463
325	0.062595
326	0.061547
327	0.062622
328	0.061546
329	0.061940
330	0.064174
331	0.063470
332	0.062795
333	0.063237
334	0.062217
335	0.062583
336	0.061724
337	0.062512
338	0.062922
339	0.062418
340	0.060813
341	0.061208
342	0.061756
343	0.061608
344	0.062589
345	0.061889
346	0.061022
347	0.061895
348	0.061581
349	0.061883
350	0.061674
351	0.061755
352	0.061782
353	0.061305
354	0.060884
355	0.062748
356	0.060882
357	0.061729
358	0.061153
359	0.061330
360	0.060847
361	0.061869
362	0.061580
363	0.061804
364	0.060712
365	0.062185
366	0.061412
367	0.062497
368	0.063063
369	0.061203
370	0.062580
371	0.062148
372	0.061557
373	0.061434
374	0.060558
375	0.061381
376	0.061506
377	0.061395
378	0.062156
379	0.061692
380	0.060706
381	0.061311
382	0.061589
383	0.060766
384	0.060486
385	0.060377
386	0.060714
387	0.060358
388	0.060953
389	0.060797
390	0.061059
391	0.060226
392	0.061484
393	0.060827
394	0.060297
395	0.060465
396	0.060917
397	0.061373
398	0.060887
399	0.060841
400	0.059965
401	0.059309
402	0.060730
403	0.061230
404	0.059887
405	0.060057
406	0.059539
407	0.059510
408	0.060293
409	0.060675
410	0.061758
411	0.060080
412	0.059925
413	0.060510
414	0.060373
415	0.060602
416	0.059943
417	0.059665
418	0.060384
