Epochs	Loss	
1	0.141780
2	0.142535
3	0.140842
4	0.141133
5	0.139613
6	0.138872
7	0.137810
8	0.137772
9	0.136158
10	0.134235
11	0.132918
12	0.130895
13	0.129370
14	0.128146
15	0.125760
16	0.124175
17	0.122721
18	0.120583
19	0.119132
20	0.117767
21	0.116548
22	0.114560
23	0.113456
24	0.111014
25	0.110959
26	0.109210
27	0.108248
28	0.106802
29	0.105345
30	0.104572
31	0.104552
32	0.102337
33	0.101013
34	0.100942
35	0.099474
36	0.098432
37	0.098500
38	0.096815
39	0.095860
40	0.096079
41	0.095521
42	0.094234
43	0.095264
44	0.094072
45	0.093066
46	0.093143
47	0.092769
48	0.092839
49	0.092484
50	0.091675
51	0.091294
52	0.091691
53	0.090691
54	0.090941
55	0.091240
56	0.089582
57	0.089747
58	0.090078
59	0.089445
60	0.089232
61	0.089510
62	0.089517
63	0.089231
64	0.089214
65	0.088192
66	0.087809
67	0.088217
68	0.089666
69	0.087926
70	0.088635
71	0.088107
72	0.088083
73	0.087519
74	0.087142
75	0.087677
76	0.087476
77	0.087179
78	0.087559
79	0.086707
80	0.086416
81	0.086352
82	0.085803
83	0.086900
84	0.086562
85	0.086661
86	0.086303
87	0.086497
88	0.085872
89	0.086138
90	0.085924
91	0.086182
92	0.085214
93	0.085649
94	0.085696
95	0.084863
96	0.085670
97	0.085244
98	0.084841
99	0.084822
100	0.084960
101	0.085440
102	0.084804
103	0.084610
104	0.085994
105	0.084416
106	0.084109
107	0.084098
108	0.084936
109	0.083973
110	0.083959
111	0.084586
112	0.084260
113	0.084834
114	0.084404
115	0.083644
116	0.083975
117	0.083313
118	0.083730
119	0.084893
120	0.083087
121	0.083699
122	0.083685
123	0.083096
124	0.083067
125	0.083473
126	0.082220
127	0.083717
128	0.083333
129	0.083307
130	0.082735
131	0.083056
132	0.081555
133	0.083005
134	0.082994
135	0.083019
136	0.081877
137	0.081810
138	0.082006
139	0.081834
140	0.082838
141	0.081838
142	0.082497
143	0.082207
144	0.081892
145	0.081119
146	0.081525
147	0.081604
148	0.081767
149	0.081543
150	0.082035
151	0.081535
152	0.082584
153	0.081217
154	0.082539
155	0.082280
156	0.081690
157	0.081519
158	0.081507
159	0.081184
160	0.081996
161	0.080788
162	0.081641
163	0.081582
164	0.081259
165	0.081312
166	0.080566
167	0.081517
168	0.081262
169	0.081406
170	0.080699
171	0.080846
172	0.080840
173	0.081508
174	0.080613
175	0.081007
176	0.080950
177	0.080815
178	0.080106
179	0.081034
180	0.080277
181	0.080572
182	0.080503
183	0.080466
184	0.080090
185	0.079988
186	0.080545
187	0.080653
188	0.080058
189	0.080334
190	0.080065
191	0.080096
192	0.080262
193	0.080043
194	0.080459
195	0.079634
196	0.079872
197	0.079827
198	0.080015
199	0.079538
200	0.079254
201	0.079277
202	0.080382
203	0.079456
204	0.078997
205	0.079359
206	0.079064
207	0.079550
208	0.079540
209	0.079756
210	0.079071
211	0.079724
212	0.080111
213	0.079164
214	0.079370
215	0.079457
216	0.079700
217	0.079740
218	0.079707
219	0.079092
220	0.079555
221	0.079852
222	0.078869
223	0.079409
224	0.079678
225	0.078896
226	0.079282
227	0.079144
228	0.079323
229	0.079989
230	0.078787
231	0.079088
232	0.078689
233	0.079376
234	0.078881
235	0.078978
236	0.078910
237	0.078747
238	0.079151
239	0.078717
240	0.078560
241	0.079036
242	0.079287
243	0.078990
244	0.078355
245	0.078907
246	0.078629
247	0.078583
248	0.078981
249	0.079301
250	0.078721
251	0.078870
252	0.077586
253	0.078610
254	0.078763
255	0.077603
256	0.078608
257	0.078354
258	0.078378
259	0.078493
260	0.078031
261	0.078317
262	0.078979
263	0.079231
264	0.078146
265	0.079064
266	0.078242
267	0.077987
268	0.078555
269	0.077951
270	0.077433
271	0.078543
272	0.077762
273	0.078469
274	0.078507
275	0.077541
276	0.077625
277	0.077120
278	0.078048
279	0.078019
280	0.077688
281	0.077333
282	0.077901
283	0.077993
284	0.077683
285	0.076882
286	0.077354
287	0.077630
288	0.077887
289	0.077932
290	0.077058
291	0.077918
292	0.077547
293	0.076935
294	0.077479
295	0.077850
296	0.077395
297	0.077698
298	0.077652
299	0.078704
300	0.078103
301	0.077245
302	0.077898
303	0.077837
304	0.077606
305	0.077564
306	0.077223
307	0.076924
308	0.077332
309	0.076749
310	0.076986
311	0.077030
312	0.077421
313	0.077458
314	0.077651
315	0.076854
316	0.076471
317	0.076663
318	0.077243
319	0.077367
320	0.076998
321	0.077767
322	0.076049
323	0.077299
324	0.076297
325	0.076282
326	0.076730
327	0.077145
328	0.077629
329	0.077068
330	0.077011
331	0.077334
332	0.076535
333	0.077752
334	0.077388
335	0.076844
336	0.077814
337	0.076469
338	0.077001
339	0.077004
340	0.077023
341	0.077006
342	0.077222
343	0.076616
344	0.076900
345	0.076874
346	0.077004
347	0.076682
348	0.075866
349	0.077100
350	0.076587
351	0.076779
352	0.076578
353	0.076685
354	0.076525
355	0.077301
356	0.077119
357	0.076573
358	0.077026
359	0.076922
360	0.076888
361	0.075968
362	0.076445
363	0.076026
364	0.076496
365	0.076582
366	0.076021
367	0.075806
368	0.075883
369	0.076239
370	0.075651
371	0.076667
372	0.076186
373	0.075886
374	0.076151
375	0.075464
376	0.076689
377	0.076565
378	0.076922
379	0.075976
380	0.076123
381	0.076442
382	0.076317
383	0.076555
384	0.075851
385	0.076632
386	0.075709
387	0.076891
388	0.076152
389	0.076946
390	0.076554
391	0.075569
392	0.075441
393	0.076122
394	0.075453
395	0.076410
396	0.075867
397	0.075946
398	0.075354
399	0.076539
400	0.075839
401	0.075061
402	0.075423
403	0.076588
404	0.075735
405	0.076846
406	0.075784
407	0.076432
408	0.076133
409	0.075424
410	0.075574
411	0.075281
412	0.075535
413	0.075497
414	0.076320
415	0.075665
416	0.075813
417	0.075730
418	0.075431
419	0.075904
420	0.075620
421	0.075646
422	0.076284
423	0.075713
424	0.075169
425	0.075168
426	0.075261
427	0.075418
428	0.075723
429	0.075046
430	0.075685
431	0.075718
432	0.075359
433	0.075584
434	0.075308
435	0.075806
436	0.074875
437	0.075704
438	0.076141
439	0.076089
440	0.075006
441	0.075410
442	0.075746
443	0.074957
444	0.075568
445	0.075080
446	0.075699
447	0.074873
448	0.075691
