Epochs	Loss	
1	0.165498
2	0.166063
3	0.164233
4	0.161691
5	0.160296
6	0.159586
7	0.157167
8	0.156442
9	0.155762
10	0.154045
11	0.151079
12	0.147861
13	0.146084
14	0.146186
15	0.143081
16	0.141390
17	0.139006
18	0.135767
19	0.133687
20	0.130154
21	0.130064
22	0.127099
23	0.124137
24	0.122360
25	0.119448
26	0.118630
27	0.113867
28	0.113451
29	0.109051
30	0.110472
31	0.104977
32	0.102465
33	0.099729
34	0.098725
35	0.096329
36	0.094037
37	0.091249
38	0.090060
39	0.088522
40	0.087146
41	0.084532
42	0.083367
43	0.081770
44	0.080736
45	0.081133
46	0.079819
47	0.077852
48	0.077587
49	0.075709
50	0.075751
51	0.075705
52	0.075313
53	0.074086
54	0.073655
55	0.072569
56	0.073350
57	0.072418
58	0.071794
59	0.070650
60	0.070978
61	0.071364
62	0.070956
63	0.071129
64	0.069683
65	0.070119
66	0.069508
67	0.071101
68	0.068848
69	0.068784
70	0.068065
71	0.068884
72	0.068144
73	0.067876
74	0.069236
75	0.069433
76	0.067767
77	0.067274
78	0.067136
79	0.067287
80	0.066675
81	0.068127
82	0.066236
83	0.066379
84	0.066460
85	0.065593
86	0.065715
87	0.066049
88	0.065351
89	0.065492
90	0.066664
91	0.066259
92	0.066243
93	0.065000
94	0.065480
95	0.065624
96	0.066464
97	0.064087
98	0.065301
99	0.065435
100	0.064769
101	0.064531
102	0.065450
103	0.063999
104	0.064690
105	0.065065
106	0.065243
107	0.064727
108	0.064156
109	0.063983
110	0.064785
111	0.064353
112	0.063013
113	0.063725
114	0.063951
115	0.062921
116	0.064456
117	0.063718
118	0.063544
119	0.063725
120	0.063320
121	0.062914
122	0.063885
123	0.064095
124	0.062833
125	0.062123
126	0.062919
127	0.062014
128	0.063061
129	0.062708
130	0.063008
131	0.063371
132	0.062669
133	0.062795
134	0.062911
135	0.062844
136	0.063715
137	0.062518
138	0.061320
139	0.062593
140	0.063411
141	0.062629
142	0.061953
143	0.062498
144	0.062367
145	0.062077
146	0.062590
147	0.061486
148	0.062782
149	0.061552
150	0.061939
151	0.063163
152	0.062261
153	0.062503
154	0.062923
155	0.062067
156	0.062039
157	0.060994
158	0.061318
159	0.062600
160	0.061801
161	0.061835
162	0.061545
163	0.061014
164	0.061311
165	0.061350
166	0.062583
167	0.061119
168	0.061759
169	0.060727
170	0.062671
171	0.061760
172	0.060893
173	0.059863
174	0.060714
175	0.060635
176	0.059824
177	0.062112
178	0.061229
179	0.061228
180	0.061652
181	0.061019
182	0.061663
183	0.060985
184	0.061594
185	0.060056
186	0.060866
187	0.059849
188	0.059511
189	0.061317
190	0.060926
191	0.061555
192	0.061446
193	0.060535
194	0.060289
195	0.059663
196	0.061625
197	0.059718
198	0.060364
199	0.060110
200	0.061252
201	0.061437
202	0.060376
203	0.060135
204	0.059668
205	0.059471
206	0.060272
207	0.060645
208	0.060221
209	0.060139
210	0.058952
211	0.060676
212	0.059376
213	0.059416
214	0.059875
215	0.058335
216	0.060982
217	0.059610
218	0.059581
219	0.059093
220	0.059384
221	0.060817
222	0.059295
223	0.058879
224	0.059698
225	0.060943
226	0.058693
227	0.059336
228	0.059540
229	0.058741
230	0.059281
231	0.059023
232	0.059553
233	0.058110
234	0.060515
235	0.058230
236	0.058225
237	0.059680
238	0.059831
239	0.059714
240	0.059596
241	0.058673
242	0.059954
243	0.058238
244	0.058922
245	0.059060
246	0.059833
247	0.059003
248	0.059274
249	0.059160
250	0.059465
251	0.058164
252	0.057990
253	0.059137
254	0.058705
255	0.060003
256	0.058346
257	0.058451
258	0.058270
259	0.057319
260	0.058034
261	0.057526
262	0.058111
263	0.059767
264	0.058578
265	0.059241
266	0.058055
267	0.059467
268	0.058290
269	0.058849
270	0.058163
271	0.058711
272	0.058266
273	0.058503
274	0.058607
275	0.057846
276	0.058575
277	0.058407
278	0.057589
279	0.057456
280	0.058326
281	0.058682
282	0.058308
283	0.056738
284	0.057145
285	0.057556
286	0.058158
287	0.057439
288	0.057566
289	0.056809
290	0.057041
291	0.057530
292	0.057572
293	0.057257
294	0.057684
295	0.057599
296	0.057015
297	0.057468
298	0.057792
299	0.058888
300	0.056674
301	0.058243
302	0.057964
303	0.057456
304	0.058256
305	0.057553
306	0.057473
307	0.058205
308	0.058983
309	0.056630
310	0.057442
311	0.057512
312	0.057529
313	0.057169
314	0.058043
315	0.057266
316	0.057178
317	0.056318
318	0.056578
319	0.056779
320	0.056797
321	0.056524
322	0.057163
323	0.057344
324	0.056533
325	0.057142
326	0.058407
327	0.057098
328	0.056916
329	0.057274
330	0.056990
331	0.057188
332	0.056939
333	0.057507
334	0.056377
335	0.056371
336	0.057375
337	0.056033
338	0.057580
339	0.056687
340	0.056098
341	0.056437
342	0.055799
343	0.056299
344	0.056878
345	0.056184
346	0.056180
347	0.056023
348	0.055482
349	0.057250
350	0.056788
351	0.055663
352	0.055705
353	0.055684
354	0.055970
355	0.057319
356	0.057430
357	0.055617
358	0.055574
359	0.056011
360	0.056805
361	0.056123
362	0.055765
363	0.056692
364	0.056285
365	0.056203
366	0.056870
367	0.057088
368	0.055181
369	0.055831
370	0.057152
371	0.056422
372	0.055642
373	0.056337
374	0.055422
375	0.056361
376	0.057026
377	0.055517
378	0.055560
379	0.056854
380	0.056177
381	0.056581
382	0.055927
383	0.055120
384	0.056348
385	0.056296
386	0.055874
387	0.055221
388	0.055277
389	0.056201
390	0.056015
391	0.054972
392	0.056223
393	0.056486
394	0.056428
395	0.055926
396	0.054536
397	0.055833
398	0.054907
399	0.055428
400	0.056421
401	0.055402
402	0.055204
403	0.055267
404	0.056287
405	0.055870
406	0.055339
407	0.055832
408	0.055411
409	0.055696
410	0.054800
411	0.054792
412	0.056075
413	0.054411
414	0.054439
415	0.056731
416	0.054959
417	0.054302
418	0.054806
419	0.055303
420	0.054920
421	0.054683
422	0.055388
423	0.054421
424	0.054698
425	0.053696
426	0.054239
427	0.054180
428	0.054184
429	0.055766
430	0.055074
431	0.055769
432	0.054923
433	0.055131
434	0.054232
435	0.055176
436	0.055497
437	0.055904
438	0.055520
439	0.054696
440	0.054510
441	0.053448
442	0.054715
443	0.055062
444	0.053619
445	0.054857
446	0.054146
447	0.054220
448	0.053702
449	0.054477
450	0.054881
451	0.054217
452	0.054391
453	0.052951
454	0.054378
455	0.056116
456	0.053844
457	0.052940
458	0.056572
459	0.054328
460	0.055901
461	0.053258
462	0.055427
463	0.053567
464	0.055613
465	0.054847
466	0.054080
467	0.054570
468	0.053317
469	0.053132
470	0.054510
471	0.055320
472	0.054686
473	0.054434
474	0.054378
475	0.055333
476	0.054393
477	0.053640
478	0.054101
479	0.054960
480	0.054961
481	0.053917
482	0.054045
483	0.053986
484	0.054714
485	0.053950
486	0.054149
487	0.054575
488	0.053970
489	0.053306
490	0.053215
491	0.053942
492	0.054318
493	0.052602
494	0.054021
495	0.053921
496	0.054422
497	0.053998
498	0.052798
499	0.053382
500	0.053384
501	0.053314
502	0.054524
503	0.055641
504	0.053602
505	0.053940
506	0.054044
507	0.053071
508	0.053608
509	0.053213
510	0.053019
511	0.053619
512	0.053715
513	0.053939
514	0.053134
515	0.054022
516	0.053672
517	0.054473
518	0.054010
519	0.054178
520	0.053760
521	0.053875
522	0.054224
523	0.052631
524	0.053794
525	0.053800
526	0.054110
527	0.053571
528	0.053314
529	0.052926
530	0.052408
531	0.052582
532	0.054293
533	0.054036
534	0.052606
535	0.054648
536	0.053252
537	0.052867
538	0.053387
539	0.053163
540	0.053110
541	0.053664
542	0.053787
543	0.053132
544	0.053668
545	0.053206
546	0.052495
547	0.052583
548	0.053113
549	0.053446
550	0.052857
551	0.054224
552	0.052440
553	0.052899
554	0.052714
555	0.053840
556	0.053126
557	0.053413
558	0.052944
559	0.052766
560	0.053891
561	0.053258
562	0.052958
563	0.053698
564	0.052663
565	0.052579
566	0.053458
567	0.052631
568	0.053455
569	0.052666
570	0.053484
571	0.053796
572	0.052079
573	0.053727
574	0.053427
575	0.054108
576	0.051946
577	0.052881
578	0.052407
579	0.052181
580	0.052603
581	0.052841
582	0.052914
583	0.053954
584	0.051909
585	0.053033
586	0.052487
587	0.052908
588	0.052390
589	0.053362
590	0.052445
591	0.053204
592	0.053399
593	0.053444
594	0.052875
595	0.053194
596	0.053032
597	0.053618
598	0.053047
599	0.052801
600	0.052276
601	0.052959
602	0.052653
603	0.051635
604	0.053023
605	0.052712
606	0.053213
607	0.051988
608	0.053396
609	0.053306
610	0.053359
611	0.052322
612	0.051705
613	0.052589
614	0.053500
615	0.052021
616	0.052375
617	0.051920
618	0.052486
619	0.052530
620	0.051829
621	0.052769
622	0.052998
623	0.052141
624	0.052638
625	0.053480
626	0.052961
627	0.053154
628	0.053295
629	0.052926
630	0.052434
631	0.051707
632	0.051869
633	0.052964
634	0.051874
635	0.053180
636	0.053134
637	0.052564
638	0.052087
639	0.052693
640	0.052193
641	0.051490
642	0.052149
643	0.051995
644	0.053382
645	0.051335
646	0.051957
647	0.052045
648	0.051889
649	0.052293
650	0.051806
651	0.052177
652	0.052121
653	0.052480
654	0.051292
655	0.052228
656	0.051482
657	0.052294
658	0.053397
659	0.052026
660	0.052163
661	0.051961
662	0.052644
663	0.053450
664	0.052216
665	0.052893
666	0.052898
667	0.053961
668	0.051998
669	0.052289
670	0.051723
671	0.052479
672	0.051428
673	0.053097
674	0.051210
675	0.051126
676	0.051763
677	0.051892
678	0.051740
679	0.053803
680	0.051546
681	0.051747
682	0.052109
683	0.052346
684	0.051996
685	0.052149
686	0.051617
687	0.051923
688	0.052893
689	0.052096
690	0.052173
691	0.052291
692	0.051878
693	0.051188
694	0.051287
695	0.052000
696	0.052638
697	0.051576
698	0.052663
699	0.052018
700	0.051772
701	0.051390
702	0.052381
703	0.051427
704	0.052192
705	0.051205
706	0.051978
707	0.051139
708	0.053065
709	0.052355
710	0.050761
711	0.051450
712	0.051508
713	0.052269
714	0.051843
715	0.052048
716	0.050996
717	0.051348
718	0.052074
719	0.051393
720	0.051362
721	0.052136
722	0.050952
723	0.050740
724	0.051774
725	0.051571
726	0.051061
727	0.051960
728	0.051589
729	0.050766
730	0.051413
731	0.051575
732	0.051090
733	0.051253
734	0.050660
735	0.051823
736	0.050247
737	0.051198
738	0.050457
739	0.051495
740	0.050927
741	0.051579
742	0.051923
743	0.051309
744	0.052106
745	0.050219
746	0.052111
747	0.051225
748	0.049596
749	0.050684
750	0.050635
751	0.050816
752	0.051408
753	0.051439
754	0.051719
755	0.051522
756	0.050730
757	0.051557
758	0.051362
759	0.051336
760	0.050912
761	0.052402
762	0.051034
763	0.051321
764	0.051374
765	0.051351
766	0.051719
767	0.051679
768	0.052035
769	0.050793
770	0.051563
771	0.051079
772	0.051107
773	0.051475
774	0.051112
775	0.050369
776	0.050973
777	0.051820
778	0.051595
779	0.051582
780	0.050876
781	0.050457
782	0.050145
783	0.051252
784	0.051897
785	0.051278
786	0.050842
787	0.051281
788	0.051457
789	0.051413
790	0.049793
791	0.051164
792	0.051793
793	0.050771
794	0.051368
795	0.051581
796	0.052111
797	0.051425
798	0.051887
799	0.051139
800	0.050518
801	0.051052
802	0.050260
803	0.050544
804	0.050678
805	0.051188
806	0.051370
807	0.052613
808	0.050644
809	0.051622
810	0.050949
811	0.050731
812	0.052445
813	0.051168
814	0.050926
815	0.051030
816	0.052180
817	0.050521
818	0.050953
819	0.051716
820	0.049745
821	0.051642
822	0.051427
823	0.051902
824	0.049905
825	0.050936
826	0.051406
827	0.050814
828	0.050852
829	0.050439
830	0.050148
831	0.051143
832	0.051177
833	0.051103
834	0.051465
835	0.051315
836	0.051403
837	0.050461
838	0.049456
839	0.051023
840	0.050457
841	0.052035
842	0.050174
843	0.052113
844	0.050631
845	0.051082
846	0.050120
847	0.051066
848	0.051207
849	0.049514
850	0.051640
851	0.051787
852	0.051177
853	0.050820
854	0.050912
855	0.051379
856	0.051475
857	0.052185
858	0.051703
859	0.051269
860	0.049876
861	0.051464
862	0.050814
863	0.050130
864	0.051182
865	0.049956
866	0.051062
867	0.050290
868	0.050107
869	0.050451
870	0.051500
871	0.050049
872	0.050902
873	0.051072
874	0.051247
875	0.050614
876	0.050307
877	0.051935
878	0.050190
879	0.050624
880	0.048960
881	0.050983
882	0.050774
883	0.050541
884	0.051047
885	0.051831
886	0.050948
887	0.052211
888	0.050631
889	0.051181
890	0.050291
891	0.051093
892	0.050200
893	0.051076
894	0.050473
895	0.050877
896	0.050443
897	0.052049
898	0.050616
899	0.050255
900	0.050138
901	0.050326
902	0.051195
903	0.051676
904	0.051216
905	0.050536
906	0.050073
907	0.051435
908	0.050803
909	0.051403
910	0.049867
911	0.050352
912	0.051591
913	0.050197
914	0.050509
915	0.051086
916	0.050066
917	0.050398
918	0.049924
919	0.050907
920	0.050160
921	0.049869
922	0.051114
923	0.050409
924	0.050404
925	0.051599
926	0.050568
927	0.051290
928	0.050726
929	0.052050
930	0.051565
931	0.049118
932	0.051317
933	0.050628
934	0.051163
935	0.050336
936	0.051724
937	0.050136
938	0.050843
939	0.050300
940	0.050706
941	0.049890
942	0.052332
943	0.050299
944	0.051146
945	0.050659
946	0.051478
947	0.050328
948	0.049485
949	0.050633
950	0.051277
951	0.049986
952	0.049554
953	0.050918
954	0.051314
955	0.049828
956	0.050474
957	0.050680
958	0.050529
959	0.050707
960	0.050143
961	0.049560
962	0.050936
963	0.051324
964	0.050533
965	0.051404
966	0.051129
967	0.049449
968	0.050133
969	0.050107
970	0.050983
971	0.051036
972	0.050089
973	0.049912
974	0.051027
975	0.050715
976	0.049763
977	0.050914
978	0.049853
979	0.050387
980	0.049767
981	0.049799
982	0.050772
983	0.050806
984	0.050137
985	0.050172
986	0.051280
987	0.050638
988	0.049890
989	0.050296
990	0.050506
991	0.049918
992	0.050434
993	0.050290
