Epochs	Loss	
1	0.068117
2	0.066430
3	0.064264
4	0.062509
5	0.061547
6	0.060749
7	0.059468
8	0.059067
9	0.059572
10	0.059141
11	0.059501
12	0.056501
13	0.056162
14	0.058852
15	0.055645
16	0.055050
17	0.053282
18	0.053847
19	0.055961
20	0.053286
21	0.053143
22	0.053659
23	0.053059
24	0.054146
25	0.051864
26	0.051447
27	0.051825
28	0.052051
29	0.051892
30	0.051208
31	0.051843
32	0.049837
33	0.050796
34	0.049094
35	0.050493
36	0.051036
37	0.050311
38	0.049550
39	0.049549
40	0.049173
41	0.049459
42	0.049480
43	0.049420
44	0.048733
45	0.048036
46	0.048825
47	0.049419
48	0.050879
49	0.048967
50	0.049893
51	0.047555
52	0.047828
53	0.048967
54	0.048234
55	0.047391
56	0.048276
57	0.047722
58	0.046727
59	0.047980
60	0.048580
61	0.048391
62	0.047280
63	0.047741
64	0.047019
65	0.047115
66	0.047684
67	0.046305
68	0.047728
69	0.047563
70	0.047371
71	0.047550
72	0.046951
73	0.047101
74	0.046106
75	0.047025
76	0.047357
77	0.046853
78	0.047528
79	0.047073
80	0.047310
81	0.046339
82	0.047338
83	0.045736
84	0.046218
85	0.046645
86	0.046743
87	0.047124
88	0.046335
89	0.046397
90	0.047039
91	0.047555
92	0.045798
93	0.046126
94	0.046207
95	0.047486
96	0.047285
97	0.046956
98	0.047043
99	0.046453
100	0.046286
101	0.046401
102	0.047139
103	0.046367
104	0.046723
105	0.046895
106	0.046193
107	0.046164
108	0.045982
109	0.045154
110	0.045772
111	0.046460
112	0.046705
113	0.044979
114	0.046921
115	0.046108
116	0.046899
117	0.046047
118	0.045707
119	0.046793
120	0.045374
121	0.046509
122	0.045874
123	0.045475
124	0.045511
125	0.046221
126	0.045631
127	0.045678
128	0.046462
129	0.044717
130	0.046435
131	0.044821
132	0.045844
133	0.046411
134	0.044646
135	0.044942
136	0.045678
137	0.047256
138	0.045507
139	0.045901
140	0.044570
141	0.046094
142	0.044603
143	0.044483
144	0.045234
145	0.046645
146	0.044879
147	0.044813
148	0.044577
149	0.043813
150	0.046385
151	0.045188
152	0.044935
153	0.045511
154	0.045170
155	0.044967
156	0.044356
157	0.045523
158	0.045194
159	0.045660
160	0.044833
161	0.044845
162	0.043894
163	0.044279
164	0.045518
165	0.045530
166	0.044270
167	0.044952
168	0.043733
169	0.044167
170	0.044047
171	0.045723
172	0.044730
173	0.044291
174	0.046219
175	0.044904
176	0.043355
177	0.044954
178	0.044642
179	0.044905
180	0.044251
181	0.044339
182	0.044073
183	0.045481
184	0.044361
185	0.043589
186	0.044368
187	0.043468
188	0.045455
189	0.043818
190	0.044918
191	0.044327
192	0.044909
193	0.045470
194	0.045329
195	0.046086
196	0.044906
197	0.044633
198	0.043852
199	0.042960
200	0.044463
201	0.043072
202	0.045501
203	0.043544
204	0.044228
205	0.044068
206	0.044409
207	0.044301
208	0.044787
209	0.044579
210	0.043635
211	0.044157
212	0.043942
213	0.044128
214	0.045151
215	0.042758
216	0.042889
217	0.044672
218	0.045053
219	0.045244
220	0.044210
221	0.043399
222	0.045258
223	0.044686
224	0.046135
225	0.046117
226	0.043669
227	0.044182
228	0.044424
229	0.045123
230	0.045215
231	0.043464
232	0.044247
233	0.043861
234	0.043530
235	0.044812
236	0.044050
237	0.046910
238	0.044516
239	0.044270
240	0.044340
241	0.045162
242	0.043561
243	0.043666
244	0.043360
245	0.044030
246	0.044624
247	0.043360
248	0.043694
249	0.044067
250	0.044268
251	0.043778
252	0.043963
253	0.044083
254	0.042834
255	0.043416
256	0.043828
257	0.044969
258	0.042905
259	0.044462
260	0.043935
261	0.045255
262	0.043331
263	0.045183
264	0.043709
265	0.043309
266	0.043919
267	0.043485
268	0.043618
269	0.043022
270	0.044077
271	0.044297
272	0.044994
273	0.043900
274	0.044236
275	0.043760
276	0.044167
277	0.044966
278	0.044801
279	0.042986
