Epochs	Loss	
1	0.297062
2	0.296050
3	0.289437
4	0.284385
5	0.279621
6	0.273903
7	0.267001
8	0.260217
9	0.252441
10	0.244911
11	0.238146
12	0.230247
13	0.222487
14	0.213432
15	0.203913
16	0.195819
17	0.187608
18	0.179272
19	0.171168
20	0.161282
21	0.152018
22	0.144161
23	0.135559
24	0.126754
25	0.119109
26	0.112366
27	0.106863
28	0.102113
29	0.098275
30	0.094339
31	0.092058
32	0.088797
33	0.087199
34	0.084901
35	0.083589
36	0.081318
37	0.080239
38	0.079139
39	0.078513
40	0.077171
41	0.076024
42	0.075434
43	0.074319
44	0.073818
45	0.073431
46	0.072536
47	0.071870
48	0.072385
49	0.071466
50	0.071194
51	0.070410
52	0.069952
53	0.069738
54	0.069692
55	0.068941
56	0.068263
57	0.068250
58	0.068188
59	0.068279
60	0.067532
61	0.066842
62	0.066649
63	0.066260
64	0.067374
65	0.066645
66	0.065878
67	0.065771
68	0.065475
69	0.065215
70	0.064323
71	0.064704
72	0.064496
73	0.063938
74	0.064157
75	0.063854
76	0.063753
77	0.063369
78	0.063314
79	0.062966
80	0.062693
81	0.063230
82	0.062636
83	0.062589
84	0.062531
85	0.062319
86	0.061655
87	0.061912
88	0.061475
89	0.061083
90	0.060854
91	0.061028
92	0.060552
93	0.060480
94	0.060590
95	0.060032
96	0.059964
97	0.059447
98	0.059669
99	0.059782
100	0.059272
101	0.058963
102	0.059218
103	0.058388
104	0.058566
105	0.058399
106	0.058601
107	0.058154
108	0.058051
109	0.057976
110	0.057938
111	0.057794
112	0.057177
113	0.057346
114	0.057079
115	0.057131
116	0.056775
117	0.056425
118	0.056805
119	0.056935
120	0.056621
121	0.056315
122	0.056303
123	0.055792
124	0.055807
125	0.056217
126	0.055303
127	0.056002
128	0.054903
129	0.055119
130	0.055155
131	0.055034
132	0.054824
133	0.054383
134	0.055130
135	0.054332
136	0.054671
137	0.053941
138	0.053849
139	0.053920
140	0.053888
141	0.053561
142	0.053350
143	0.053889
144	0.053446
145	0.053279
146	0.053530
147	0.052730
148	0.052786
149	0.052641
150	0.052926
151	0.052701
152	0.052210
153	0.052299
154	0.052769
155	0.052742
156	0.052101
157	0.051882
158	0.051748
159	0.051800
160	0.051600
161	0.051504
162	0.051530
163	0.051462
164	0.050960
165	0.051188
166	0.050671
167	0.050846
168	0.050954
169	0.050615
170	0.050442
171	0.050719
172	0.050116
173	0.049917
174	0.050223
175	0.049787
176	0.049834
177	0.050021
178	0.049803
179	0.049649
180	0.049537
181	0.049794
182	0.049243
183	0.048997
184	0.049240
185	0.048707
186	0.048791
187	0.048232
188	0.048570
189	0.048497
190	0.048039
191	0.048694
192	0.047950
193	0.048799
194	0.048050
195	0.048044
196	0.047963
197	0.047670
198	0.047478
199	0.047439
200	0.047444
201	0.047257
202	0.047065
203	0.047171
204	0.047429
205	0.047217
206	0.047164
207	0.047100
208	0.046948
209	0.046547
210	0.046649
211	0.046096
212	0.046523
213	0.046121
214	0.046684
215	0.046167
216	0.046356
217	0.045706
218	0.045516
219	0.046288
220	0.045617
221	0.045987
222	0.045963
223	0.045626
224	0.045511
225	0.045850
226	0.045228
227	0.045248
228	0.045017
229	0.045014
230	0.044992
231	0.045164
232	0.044920
233	0.044350
234	0.044517
235	0.044728
236	0.044346
237	0.044374
238	0.044457
239	0.044704
240	0.044408
241	0.044400
242	0.043867
243	0.044010
244	0.044090
245	0.044703
246	0.043806
247	0.043666
248	0.043737
249	0.044338
250	0.043784
251	0.043188
252	0.043279
253	0.043248
254	0.043409
255	0.043290
256	0.043162
257	0.043231
258	0.043068
259	0.042861
260	0.042850
261	0.043082
