Epochs	Loss	
1	0.128209
2	0.127977
3	0.126897
4	0.124825
5	0.124389
6	0.123698
7	0.122470
8	0.121188
9	0.119683
10	0.117743
11	0.116766
12	0.114581
13	0.113511
14	0.111005
15	0.109013
16	0.107364
17	0.104556
18	0.102747
19	0.101251
20	0.098528
21	0.096234
22	0.094590
23	0.092549
24	0.090681
25	0.089039
26	0.087932
27	0.086092
28	0.084438
29	0.083320
30	0.082424
31	0.081069
32	0.079456
33	0.078683
34	0.077497
35	0.076806
36	0.076273
37	0.075473
38	0.074730
39	0.074572
40	0.073761
41	0.072905
42	0.072889
43	0.071822
44	0.071542
45	0.071216
46	0.070663
47	0.070655
48	0.070627
49	0.069581
50	0.069408
51	0.068997
52	0.068393
53	0.069116
54	0.068379
55	0.067899
56	0.067063
57	0.068112
58	0.067255
59	0.067518
60	0.066378
61	0.066924
62	0.066707
63	0.066216
64	0.066449
65	0.066336
66	0.066242
67	0.066184
68	0.065704
69	0.065675
70	0.065160
71	0.065752
72	0.065656
73	0.064922
74	0.064501
75	0.065260
76	0.065688
77	0.064347
78	0.065199
79	0.064207
80	0.064312
81	0.064513
82	0.064310
83	0.064689
84	0.063648
85	0.064142
86	0.064091
87	0.063585
88	0.064280
89	0.063438
90	0.063580
91	0.063599
92	0.063556
93	0.063045
94	0.062891
95	0.062941
96	0.063274
97	0.062643
98	0.063707
99	0.062809
100	0.062865
101	0.062796
102	0.062498
103	0.062843
104	0.062068
105	0.062363
106	0.062527
107	0.062262
108	0.063256
109	0.061920
110	0.062143
111	0.061692
112	0.061502
113	0.061640
114	0.062556
115	0.062366
116	0.062110
117	0.062284
118	0.061588
119	0.061440
120	0.061858
121	0.062221
122	0.061522
123	0.060980
124	0.061470
125	0.061640
126	0.061202
127	0.061362
128	0.061357
129	0.061475
130	0.061302
131	0.061132
132	0.060338
133	0.061770
134	0.061287
135	0.061324
136	0.060952
137	0.061027
138	0.060745
139	0.060855
140	0.060436
141	0.060730
142	0.061178
143	0.060732
144	0.060614
145	0.060735
146	0.060523
147	0.060733
148	0.060680
149	0.060515
150	0.060935
151	0.060505
152	0.060087
153	0.060093
154	0.060207
155	0.060340
156	0.060286
157	0.060441
158	0.060929
159	0.060118
160	0.060101
161	0.060191
162	0.060245
163	0.059861
164	0.060299
165	0.060014
166	0.059713
167	0.060302
168	0.059528
169	0.059978
170	0.059679
171	0.059102
172	0.059726
173	0.059251
174	0.059695
175	0.059374
176	0.059353
177	0.059625
178	0.059463
179	0.059092
180	0.058981
181	0.059777
182	0.059389
183	0.059232
184	0.058729
185	0.059051
186	0.059070
187	0.058999
188	0.059007
189	0.059831
190	0.059465
191	0.059482
192	0.058952
193	0.059492
194	0.058748
195	0.059224
196	0.058674
197	0.059674
198	0.059021
199	0.059807
200	0.059289
201	0.058386
202	0.058867
203	0.058735
204	0.058440
205	0.059467
206	0.058546
207	0.058145
208	0.058809
209	0.058736
210	0.058672
211	0.058550
212	0.057681
213	0.059174
214	0.058955
215	0.058385
216	0.057854
217	0.058002
218	0.057936
219	0.058348
220	0.058747
221	0.057616
222	0.058430
223	0.058588
224	0.058140
225	0.058914
226	0.058395
227	0.057971
228	0.058659
229	0.058114
230	0.058256
231	0.058275
232	0.058131
233	0.058754
234	0.057951
235	0.057158
236	0.057854
237	0.057533
238	0.058198
239	0.057879
240	0.057877
241	0.057390
242	0.058374
243	0.058323
244	0.057891
245	0.057842
246	0.056983
247	0.057472
248	0.057700
249	0.057307
250	0.057504
251	0.057313
252	0.057855
253	0.057660
254	0.057603
255	0.057010
256	0.057055
257	0.057736
258	0.057321
259	0.057234
260	0.057473
261	0.057312
262	0.057518
263	0.057978
264	0.056979
265	0.057682
266	0.057713
267	0.057581
268	0.057637
269	0.058185
270	0.057256
271	0.056968
272	0.056913
273	0.057018
274	0.057181
275	0.057275
276	0.057246
277	0.056658
278	0.057065
279	0.057187
280	0.058261
281	0.057675
282	0.056512
283	0.056846
284	0.057952
285	0.057219
286	0.056769
287	0.057681
288	0.056712
289	0.057090
290	0.056920
291	0.056956
292	0.056889
293	0.056675
294	0.056198
295	0.057120
296	0.056868
297	0.056109
298	0.056294
299	0.056617
300	0.056608
301	0.056752
302	0.056649
303	0.056776
304	0.056747
305	0.057176
306	0.056643
307	0.056682
308	0.057215
309	0.056486
310	0.056533
311	0.056397
312	0.055951
313	0.056718
314	0.056941
315	0.056748
316	0.055872
317	0.056232
318	0.056514
319	0.056114
320	0.056725
321	0.056341
322	0.055996
323	0.056365
324	0.055868
325	0.056985
326	0.056418
327	0.056186
328	0.056199
329	0.055711
330	0.055964
331	0.056136
332	0.055841
333	0.056666
334	0.055858
335	0.056139
336	0.056544
337	0.056513
338	0.056188
339	0.056447
340	0.055894
341	0.055968
342	0.056271
343	0.056023
344	0.056805
345	0.055959
346	0.056745
347	0.055574
348	0.055910
349	0.055529
350	0.055800
351	0.056126
352	0.055725
353	0.055596
354	0.055861
355	0.056121
356	0.055786
357	0.055455
358	0.056133
359	0.055992
360	0.055579
361	0.055503
362	0.055627
363	0.055514
364	0.055447
365	0.055565
366	0.055777
367	0.055552
368	0.055258
369	0.056011
370	0.056101
371	0.055359
372	0.055378
373	0.055678
374	0.055421
375	0.055250
376	0.055278
377	0.055594
378	0.055515
379	0.055044
380	0.055250
381	0.055255
382	0.055872
383	0.055216
384	0.055581
385	0.055329
386	0.055012
387	0.055295
388	0.055425
389	0.055162
390	0.055251
391	0.054944
392	0.054688
393	0.055551
394	0.055403
395	0.054771
396	0.055568
397	0.054924
398	0.054793
399	0.055384
400	0.055353
