Epochs	Loss	
1	0.179280
2	0.177220
3	0.176970
4	0.174800
5	0.174462
6	0.176179
7	0.172803
8	0.169754
9	0.169593
10	0.169002
11	0.164648
12	0.163331
13	0.159849
14	0.157331
15	0.155633
16	0.153531
17	0.151704
18	0.147092
19	0.147039
20	0.144816
21	0.140761
22	0.139418
23	0.136155
24	0.134730
25	0.132025
26	0.131115
27	0.127818
28	0.124505
29	0.122170
30	0.120274
31	0.119401
32	0.116827
33	0.115487
34	0.112435
35	0.109454
36	0.108049
37	0.106132
38	0.102235
39	0.100876
40	0.099681
41	0.100359
42	0.097974
43	0.093584
44	0.093238
45	0.092240
46	0.090281
47	0.089276
48	0.088946
49	0.087227
50	0.086685
51	0.086818
52	0.083665
53	0.084454
54	0.083712
55	0.082234
56	0.082305
57	0.081234
58	0.079825
59	0.079557
60	0.079660
61	0.078198
62	0.078550
63	0.078752
64	0.078249
65	0.077698
66	0.077025
67	0.077124
68	0.075474
69	0.074783
70	0.075771
71	0.075042
72	0.075374
73	0.074896
74	0.074360
75	0.073338
76	0.073520
77	0.072842
78	0.073290
79	0.073534
80	0.072785
81	0.072820
82	0.072187
83	0.072203
84	0.073328
85	0.072125
86	0.072070
87	0.072709
88	0.071612
89	0.071635
90	0.070920
91	0.070962
92	0.071943
93	0.070242
94	0.070351
95	0.071936
96	0.071311
97	0.070673
98	0.071219
99	0.069569
100	0.069627
101	0.071420
102	0.070144
103	0.069371
104	0.069293
105	0.068967
106	0.069763
107	0.068193
108	0.069018
109	0.069197
110	0.068931
111	0.069402
112	0.067771
113	0.068326
114	0.068186
115	0.068613
116	0.068968
117	0.068889
118	0.068915
119	0.066991
120	0.068441
121	0.067708
122	0.066975
123	0.067699
124	0.067453
125	0.067789
126	0.067705
127	0.068283
128	0.068615
129	0.067341
130	0.067488
131	0.067324
132	0.066845
133	0.066753
134	0.067568
135	0.066519
136	0.067444
137	0.068276
138	0.066674
139	0.066041
140	0.067463
141	0.066339
142	0.065467
143	0.066628
144	0.066356
145	0.066144
146	0.065691
147	0.067561
148	0.065663
149	0.066015
150	0.065888
151	0.065760
152	0.064872
153	0.065583
154	0.066063
155	0.064753
156	0.065332
157	0.065002
158	0.065533
159	0.066003
160	0.065152
161	0.064835
162	0.064496
163	0.065054
164	0.064207
165	0.065374
166	0.065352
167	0.065489
168	0.063601
169	0.065195
170	0.064991
171	0.065666
172	0.064228
173	0.063992
174	0.063399
175	0.064707
176	0.064541
177	0.064659
178	0.064047
179	0.062848
180	0.064842
181	0.063345
182	0.064500
183	0.063393
184	0.064018
185	0.064448
186	0.063817
187	0.064745
188	0.063598
189	0.063673
190	0.063752
191	0.063078
192	0.063417
193	0.062691
194	0.062508
195	0.063216
196	0.062991
197	0.062886
198	0.063446
199	0.062964
200	0.062824
201	0.063014
202	0.062987
203	0.063042
204	0.062420
205	0.063235
206	0.064083
207	0.062281
208	0.062636
209	0.062795
210	0.061929
211	0.062492
212	0.062325
213	0.062339
214	0.063212
215	0.062140
216	0.062069
217	0.062151
218	0.061553
219	0.062057
220	0.062553
221	0.061623
222	0.061328
223	0.061268
224	0.062528
225	0.061475
226	0.061790
227	0.062736
228	0.061902
229	0.061090
230	0.062517
231	0.061695
232	0.061609
233	0.062161
234	0.062442
235	0.062801
236	0.061244
237	0.061142
238	0.060987
239	0.060996
240	0.062318
241	0.061548
242	0.060656
243	0.060517
244	0.061011
245	0.060976
246	0.060307
247	0.060230
248	0.061461
249	0.061267
250	0.061680
251	0.060672
252	0.061416
253	0.061820
254	0.060813
255	0.060906
256	0.060244
257	0.060873
258	0.061804
259	0.060491
260	0.060474
261	0.060103
262	0.060282
263	0.060325
264	0.060044
265	0.060677
266	0.061518
267	0.061773
268	0.061117
269	0.061375
270	0.060980
271	0.061059
272	0.059222
273	0.059501
274	0.059433
275	0.060064
276	0.060277
277	0.060368
278	0.060320
279	0.059575
280	0.060973
281	0.060301
282	0.060292
283	0.059619
284	0.060614
285	0.058849
286	0.059507
287	0.059929
288	0.060261
289	0.059229
290	0.060049
291	0.059230
292	0.058975
293	0.059176
294	0.059215
295	0.059544
296	0.058973
297	0.060040
298	0.060598
299	0.058548
300	0.059670
301	0.059544
302	0.058932
303	0.059479
304	0.059280
305	0.059851
306	0.058711
307	0.059743
308	0.060157
309	0.060014
