Epochs	Loss	
1	0.145584
2	0.143979
3	0.143551
4	0.142312
5	0.141276
6	0.140800
7	0.139320
8	0.137889
9	0.136827
10	0.134447
11	0.132902
12	0.132173
13	0.130282
14	0.127892
15	0.126289
16	0.124529
17	0.123044
18	0.121523
19	0.119876
20	0.117481
21	0.116267
22	0.115010
23	0.112583
24	0.111387
25	0.110201
26	0.108633
27	0.106760
28	0.105500
29	0.103701
30	0.103348
31	0.101827
32	0.100289
33	0.099586
34	0.098564
35	0.097726
36	0.096905
37	0.096276
38	0.095337
39	0.094233
40	0.093648
41	0.092980
42	0.092223
43	0.092024
44	0.091180
45	0.090886
46	0.090385
47	0.089506
48	0.089282
49	0.089212
50	0.088152
51	0.087885
52	0.087957
53	0.087327
54	0.087052
55	0.086987
56	0.086851
57	0.085738
58	0.085843
59	0.085589
60	0.085859
61	0.084834
62	0.085203
63	0.084660
64	0.084746
65	0.084318
66	0.084206
67	0.083892
68	0.083752
69	0.083453
70	0.082791
71	0.083050
72	0.083221
73	0.082933
74	0.082190
75	0.081395
76	0.082828
77	0.082947
78	0.082534
79	0.081603
80	0.082019
81	0.081615
82	0.081405
83	0.080920
84	0.081426
85	0.081395
86	0.081316
87	0.080884
88	0.080532
89	0.080409
90	0.080144
91	0.079859
92	0.079995
93	0.080021
94	0.080378
95	0.079782
96	0.079327
97	0.079772
98	0.079692
99	0.079437
100	0.079645
101	0.078797
102	0.079284
103	0.078982
104	0.079166
105	0.078608
106	0.078774
107	0.079051
108	0.078955
109	0.078666
110	0.078451
111	0.078393
112	0.078471
113	0.078200
114	0.078363
115	0.078134
116	0.078107
117	0.077376
118	0.078030
119	0.077847
120	0.078144
121	0.078091
122	0.077713
123	0.077565
124	0.077518
125	0.077583
126	0.077488
127	0.077688
128	0.077418
129	0.077479
130	0.077841
131	0.076966
132	0.076673
133	0.077045
134	0.076125
135	0.076578
136	0.076147
137	0.076635
138	0.075805
139	0.076270
140	0.076383
141	0.076932
142	0.076254
143	0.076196
144	0.075904
145	0.075955
146	0.075534
147	0.076451
148	0.075823
149	0.075997
150	0.075800
151	0.075675
152	0.075783
153	0.075488
154	0.075413
155	0.075996
156	0.076106
157	0.074960
158	0.075872
159	0.075348
160	0.075394
161	0.075334
162	0.075328
163	0.075069
164	0.075087
165	0.075010
166	0.075453
167	0.075664
168	0.075254
169	0.075240
170	0.075152
171	0.074831
172	0.074186
173	0.074640
174	0.074141
175	0.074940
176	0.074315
177	0.074566
178	0.074481
179	0.074272
180	0.074849
181	0.074103
182	0.074548
183	0.074829
184	0.073687
185	0.074416
186	0.073863
187	0.074033
188	0.073966
189	0.074224
190	0.074297
191	0.073589
192	0.074069
193	0.073767
194	0.073698
195	0.073871
196	0.073942
197	0.073600
198	0.073733
199	0.073570
200	0.074056
201	0.073444
202	0.073545
203	0.072966
204	0.073061
205	0.073177
206	0.073431
207	0.073706
208	0.073880
209	0.073444
210	0.073405
211	0.073460
212	0.073608
213	0.073409
214	0.073421
215	0.072856
216	0.072803
217	0.073386
218	0.073392
219	0.072768
220	0.072623
221	0.073184
222	0.073133
223	0.073061
224	0.073141
225	0.073111
226	0.072844
227	0.072954
228	0.072874
229	0.072451
230	0.072890
231	0.072902
232	0.072411
233	0.072511
234	0.072454
235	0.072887
236	0.072005
237	0.072366
238	0.072337
239	0.072305
240	0.072166
241	0.072317
242	0.072369
243	0.072246
244	0.072119
245	0.071853
246	0.072227
247	0.071827
248	0.072125
249	0.071688
250	0.072287
251	0.072239
252	0.072023
253	0.071818
254	0.072211
255	0.071860
256	0.071872
257	0.071572
258	0.072120
259	0.071760
260	0.071195
261	0.071942
262	0.071395
263	0.071774
264	0.071751
265	0.071488
266	0.071896
267	0.072045
268	0.071420
269	0.071760
270	0.071058
271	0.071592
272	0.071346
273	0.071070
274	0.071314
275	0.071090
276	0.072029
277	0.071566
278	0.071210
279	0.071061
280	0.070735
281	0.070838
282	0.071467
283	0.071602
284	0.070974
285	0.071625
286	0.071011
287	0.070889
288	0.070895
289	0.071207
290	0.070988
291	0.070939
292	0.070672
293	0.071257
294	0.071069
295	0.071129
296	0.071293
297	0.070961
298	0.070463
299	0.071003
300	0.071146
301	0.070664
302	0.070734
303	0.070329
304	0.070914
305	0.070786
306	0.070629
307	0.070682
308	0.069937
309	0.070894
310	0.071219
311	0.070586
312	0.070473
313	0.070504
314	0.070383
315	0.070815
316	0.070746
317	0.070651
318	0.070914
319	0.070034
320	0.070230
321	0.070339
322	0.070998
323	0.070565
324	0.070246
325	0.070276
326	0.070211
327	0.070540
328	0.070075
329	0.070388
330	0.069994
331	0.070481
332	0.070972
333	0.070294
334	0.070543
335	0.069773
336	0.070482
337	0.070114
338	0.070643
339	0.069783
340	0.070258
341	0.070170
342	0.070338
343	0.069796
344	0.070186
345	0.069704
346	0.069537
347	0.070161
348	0.069636
349	0.070609
350	0.070181
351	0.070536
352	0.070348
353	0.070049
354	0.069660
355	0.070148
356	0.070070
357	0.069694
358	0.070238
359	0.069810
360	0.069690
361	0.069565
362	0.069556
363	0.069978
364	0.070092
365	0.069459
366	0.069393
367	0.069771
368	0.069952
369	0.069535
370	0.069957
371	0.069318
372	0.069612
373	0.069391
374	0.069241
375	0.069058
376	0.069226
377	0.068949
378	0.069055
379	0.069749
380	0.069520
381	0.069573
382	0.069204
383	0.069232
384	0.069708
385	0.069341
386	0.069274
387	0.069095
388	0.069951
389	0.069204
390	0.069130
391	0.068985
392	0.069076
393	0.069496
394	0.069340
395	0.069353
396	0.069244
397	0.069059
398	0.069283
399	0.069362
400	0.069455
401	0.069215
402	0.069270
403	0.068998
404	0.069423
405	0.069216
406	0.069516
407	0.069389
408	0.069531
409	0.069602
410	0.069269
411	0.068812
412	0.068865
413	0.069004
414	0.069282
415	0.069053
416	0.068485
417	0.068591
418	0.068552
419	0.068802
420	0.068850
421	0.068824
422	0.068413
423	0.068696
424	0.068793
425	0.068707
426	0.068921
427	0.068847
428	0.068710
429	0.069064
430	0.068709
431	0.068711
432	0.069142
433	0.068967
434	0.068473
435	0.069159
436	0.068944
437	0.068129
438	0.068717
439	0.068752
440	0.068949
441	0.068639
442	0.068892
443	0.068973
444	0.068973
445	0.068646
446	0.068427
447	0.068369
448	0.069113
449	0.068615
450	0.068844
451	0.068633
452	0.068286
453	0.068861
454	0.067975
455	0.068330
456	0.068725
457	0.068331
458	0.069322
459	0.068357
460	0.068429
461	0.068713
462	0.068664
463	0.068586
464	0.068704
465	0.068460
466	0.068166
467	0.068616
468	0.068489
469	0.067825
470	0.068296
471	0.068450
472	0.068330
473	0.068297
474	0.068058
475	0.068741
476	0.069120
477	0.068150
478	0.068701
479	0.068446
480	0.068152
481	0.068609
482	0.068295
483	0.068151
484	0.067908
485	0.068164
486	0.068682
487	0.068303
