Epochs	Loss	
1	0.169733
2	0.169610
3	0.169722
4	0.167423
5	0.165775
6	0.164004
7	0.164814
8	0.162518
9	0.162255
10	0.158902
11	0.157461
12	0.155149
13	0.152662
14	0.152336
15	0.149650
16	0.145988
17	0.145492
18	0.144346
19	0.140159
20	0.137788
21	0.134843
22	0.133428
23	0.131254
24	0.128655
25	0.124307
26	0.123032
27	0.120181
28	0.117674
29	0.115443
30	0.110679
31	0.110106
32	0.107116
33	0.105490
34	0.102583
35	0.099121
36	0.097671
37	0.095953
38	0.095181
39	0.093695
40	0.091396
41	0.090434
42	0.088281
43	0.085826
44	0.085206
45	0.082958
46	0.082448
47	0.080449
48	0.079988
49	0.079025
50	0.078846
51	0.077684
52	0.077703
53	0.076061
54	0.075663
55	0.075532
56	0.074243
57	0.074238
58	0.073714
59	0.073621
60	0.073131
61	0.072064
62	0.071960
63	0.072170
64	0.070820
65	0.070280
66	0.069980
67	0.069088
68	0.069627
69	0.069918
70	0.068654
71	0.069078
72	0.068303
73	0.069243
74	0.068531
75	0.068443
76	0.067240
77	0.067346
78	0.067540
79	0.067034
80	0.066517
81	0.066474
82	0.067326
83	0.066846
84	0.066488
85	0.066079
86	0.065903
87	0.066979
88	0.065484
89	0.065678
90	0.065376
91	0.064837
92	0.064755
93	0.064585
94	0.065027
95	0.064707
96	0.064169
97	0.064891
98	0.064092
99	0.064174
100	0.064746
101	0.065599
102	0.065038
103	0.063322
104	0.063393
105	0.063367
106	0.064488
107	0.063200
108	0.063959
109	0.063511
110	0.062945
111	0.062885
112	0.063911
113	0.062555
114	0.063887
115	0.062595
116	0.061957
117	0.062875
118	0.063489
119	0.062873
120	0.062241
121	0.062910
122	0.062204
123	0.062434
124	0.061865
125	0.061541
126	0.061499
127	0.062637
128	0.061036
129	0.063637
130	0.062349
131	0.061579
132	0.062075
133	0.062057
134	0.061847
135	0.061061
136	0.061095
137	0.061379
138	0.061001
139	0.062097
140	0.062565
141	0.061385
142	0.061183
143	0.061281
144	0.062178
145	0.061459
146	0.062046
147	0.060961
148	0.061483
149	0.062185
150	0.061243
151	0.060609
152	0.060284
153	0.061577
154	0.060496
155	0.060865
156	0.060835
157	0.060133
158	0.060788
159	0.060541
160	0.059493
161	0.060265
162	0.060442
163	0.060401
164	0.060003
165	0.059862
166	0.060020
167	0.059881
168	0.060144
169	0.061602
170	0.059774
171	0.059361
172	0.060139
173	0.059495
174	0.059409
175	0.059734
176	0.059992
177	0.059601
178	0.060251
179	0.059499
180	0.059133
181	0.059071
182	0.059786
183	0.058941
184	0.059083
185	0.059165
186	0.059304
187	0.059301
188	0.058692
189	0.059636
190	0.059510
191	0.058318
192	0.058778
193	0.058682
194	0.057784
195	0.059032
196	0.058913
197	0.058942
198	0.057715
199	0.058349
200	0.058545
201	0.057853
202	0.057658
203	0.058033
204	0.058689
205	0.058508
206	0.058060
207	0.058542
208	0.057667
209	0.058253
210	0.057881
211	0.057984
212	0.058014
213	0.058242
214	0.057865
215	0.058011
216	0.057228
217	0.057586
218	0.057277
219	0.056975
220	0.057817
221	0.057080
222	0.056845
223	0.056677
224	0.057679
225	0.057063
226	0.057454
227	0.057667
228	0.056997
229	0.057887
230	0.057454
231	0.057367
232	0.056623
233	0.057541
234	0.058008
235	0.056697
236	0.057185
237	0.057014
238	0.057266
239	0.057217
240	0.056721
241	0.057208
242	0.057360
243	0.057158
244	0.057060
245	0.057497
246	0.056867
247	0.057042
248	0.056875
249	0.057103
250	0.056235
251	0.058302
252	0.057359
253	0.056850
254	0.057469
255	0.056336
256	0.056025
257	0.056235
258	0.057087
259	0.056849
260	0.056079
261	0.056126
262	0.057020
263	0.056107
264	0.056982
265	0.056979
266	0.056282
267	0.055908
268	0.056223
269	0.056507
270	0.056184
271	0.056166
272	0.055920
273	0.056341
274	0.056303
275	0.056017
276	0.056406
277	0.055708
278	0.056184
279	0.055734
