Epochs	Loss	
1	0.146122
2	0.143513
3	0.140880
4	0.137293
5	0.134062
6	0.130045
7	0.126667
8	0.121734
9	0.117112
10	0.113065
11	0.110255
12	0.105934
13	0.102931
14	0.099614
15	0.097609
16	0.095411
17	0.093349
18	0.091867
19	0.089124
20	0.088373
21	0.086389
22	0.083921
23	0.083143
24	0.081018
25	0.079930
26	0.079344
27	0.077904
28	0.077679
29	0.076278
30	0.075072
31	0.074489
32	0.073921
33	0.072847
34	0.071656
35	0.072166
36	0.071190
37	0.071120
38	0.070733
39	0.069427
40	0.069829
41	0.068886
42	0.068513
43	0.068512
44	0.068654
45	0.067646
46	0.067366
47	0.066771
48	0.067429
49	0.066915
50	0.066383
51	0.066233
52	0.065402
53	0.065185
54	0.065230
55	0.064869
56	0.065063
57	0.064476
58	0.064349
59	0.063568
60	0.063828
61	0.063405
62	0.064084
63	0.063615
64	0.063114
65	0.063322
66	0.062750
67	0.062233
68	0.062802
69	0.062565
70	0.062094
71	0.062312
72	0.062198
73	0.061913
74	0.061950
75	0.061538
76	0.061499
77	0.061607
78	0.060863
79	0.061559
80	0.060927
81	0.060161
82	0.060574
83	0.060130
84	0.060244
85	0.060393
86	0.059706
87	0.059526
88	0.059724
89	0.059458
90	0.058674
91	0.059157
92	0.058733
93	0.059092
94	0.059802
95	0.058690
96	0.058909
97	0.058501
98	0.058559
99	0.058806
100	0.058087
101	0.059018
102	0.058555
103	0.057360
104	0.058185
105	0.057624
106	0.057686
107	0.058192
108	0.057314
109	0.057243
110	0.057191
111	0.057237
112	0.057245
113	0.056657
114	0.055896
115	0.057029
116	0.056569
117	0.056244
118	0.056101
119	0.056304
120	0.056363
121	0.055968
122	0.055942
123	0.056551
124	0.055622
125	0.055817
126	0.056048
127	0.055766
128	0.055680
129	0.056100
130	0.055685
131	0.055783
132	0.055360
133	0.055723
134	0.055089
135	0.055293
136	0.055182
137	0.054843
138	0.054937
139	0.054496
140	0.054806
141	0.054504
142	0.054705
143	0.054656
144	0.054267
145	0.053943
146	0.054244
147	0.054141
148	0.054092
149	0.054323
150	0.053692
151	0.054612
152	0.053901
153	0.053860
154	0.053592
155	0.053895
156	0.053384
157	0.053716
158	0.053801
159	0.053879
160	0.053336
161	0.053110
162	0.053463
163	0.053549
164	0.052636
165	0.053164
166	0.052799
167	0.052804
168	0.052610
169	0.053344
170	0.052892
171	0.052965
172	0.052726
173	0.053019
174	0.052475
175	0.052334
176	0.052479
177	0.051702
178	0.052595
179	0.052250
180	0.051933
181	0.052339
182	0.052438
183	0.051780
184	0.051997
185	0.052002
186	0.052148
187	0.051533
188	0.051949
189	0.052253
190	0.051628
191	0.051695
192	0.052050
193	0.051994
194	0.051625
195	0.051107
196	0.051622
197	0.051433
198	0.051739
199	0.051218
200	0.050389
201	0.051504
202	0.050819
203	0.051784
204	0.050952
205	0.051116
206	0.050871
207	0.051282
208	0.051357
209	0.050949
210	0.050855
211	0.051092
212	0.050711
213	0.050290
214	0.051205
215	0.050271
216	0.050516
217	0.050556
218	0.050557
219	0.051013
220	0.050625
221	0.050414
222	0.050338
223	0.050281
224	0.050062
225	0.050263
226	0.049900
227	0.051181
228	0.050350
229	0.049782
230	0.050500
231	0.050093
232	0.050655
233	0.050032
234	0.050281
235	0.050305
236	0.049684
237	0.050512
238	0.050255
239	0.049904
240	0.049940
241	0.049487
242	0.050041
243	0.050458
244	0.050233
245	0.049646
246	0.049891
247	0.049934
248	0.049994
249	0.049455
250	0.049519
251	0.049523
252	0.049463
253	0.049292
254	0.050075
255	0.049202
256	0.049574
257	0.049392
258	0.049280
259	0.049927
260	0.048755
261	0.048895
262	0.049573
263	0.049351
264	0.049314
265	0.048702
266	0.049430
267	0.049255
268	0.048966
269	0.049463
270	0.049530
271	0.049358
272	0.049477
273	0.048888
274	0.049141
275	0.049075
276	0.049167
277	0.048974
278	0.048388
279	0.049358
280	0.049139
281	0.048793
282	0.049514
283	0.049161
284	0.048562
285	0.048810
286	0.048594
287	0.048186
288	0.049032
289	0.048635
290	0.049229
291	0.048470
292	0.048853
293	0.048521
294	0.049015
295	0.048767
296	0.048284
297	0.048820
298	0.048398
299	0.048384
300	0.049117
301	0.048791
302	0.048413
303	0.048113
304	0.049081
305	0.048322
306	0.048417
307	0.048830
308	0.048285
309	0.048215
310	0.048220
311	0.048642
312	0.048218
313	0.048413
314	0.047731
315	0.047894
316	0.048736
317	0.048690
318	0.047921
319	0.048607
320	0.048779
321	0.048920
322	0.048247
323	0.048137
324	0.048186
325	0.047878
326	0.048363
327	0.047818
328	0.048537
329	0.048150
330	0.047619
331	0.048412
332	0.048825
333	0.048204
334	0.048416
335	0.048049
336	0.047599
337	0.048309
338	0.047324
339	0.048035
340	0.048534
341	0.047599
342	0.047503
343	0.048249
344	0.047934
345	0.047584
346	0.048247
347	0.047697
348	0.047791
349	0.047649
350	0.048334
351	0.047295
352	0.048150
353	0.047196
354	0.047730
355	0.048136
356	0.048326
357	0.047931
358	0.047219
359	0.048161
360	0.047702
361	0.047776
362	0.047523
363	0.047604
364	0.047734
365	0.047691
366	0.047445
367	0.047723
368	0.047949
369	0.047629
370	0.047308
371	0.046931
372	0.047835
373	0.047970
374	0.048125
375	0.047393
376	0.047854
377	0.046706
378	0.047880
379	0.046915
380	0.047660
381	0.047747
382	0.047427
383	0.047869
384	0.048028
385	0.047171
386	0.047979
387	0.047605
388	0.047237
389	0.047309
390	0.047094
391	0.047378
392	0.047700
393	0.047154
394	0.047190
395	0.046773
396	0.047263
397	0.047583
398	0.046964
399	0.046922
400	0.046882
401	0.047120
402	0.046957
403	0.047321
404	0.047698
405	0.047689
406	0.046960
407	0.047355
408	0.047325
409	0.047563
410	0.047482
411	0.047262
412	0.047890
413	0.047354
414	0.047829
415	0.047126
416	0.047521
417	0.047211
418	0.047163
419	0.047283
420	0.047528
421	0.046995
422	0.047313
423	0.046778
424	0.047207
425	0.047706
426	0.047328
427	0.046906
428	0.046845
429	0.047320
430	0.047059
431	0.046797
432	0.047421
433	0.046925
434	0.047147
435	0.046960
436	0.047220
437	0.047389
438	0.046740
439	0.047029
440	0.046889
441	0.047336
442	0.047095
443	0.047167
444	0.047273
445	0.046651
446	0.047096
447	0.047047
448	0.047370
449	0.047201
450	0.047233
451	0.047539
452	0.047551
453	0.046738
454	0.046882
455	0.046581
456	0.046691
457	0.046988
458	0.045866
459	0.046928
460	0.046981
461	0.046919
462	0.046858
463	0.046635
464	0.046454
465	0.046745
466	0.046851
467	0.046993
468	0.047269
469	0.047132
470	0.047099
471	0.046872
472	0.047099
473	0.046976
474	0.047224
475	0.046736
476	0.046824
477	0.047365
478	0.046970
479	0.046632
480	0.046862
481	0.047344
482	0.046908
483	0.046771
484	0.046597
485	0.047150
486	0.046989
487	0.046736
