Epochs	Loss	
1	0.191238
2	0.189305
3	0.185516
4	0.184735
5	0.182590
6	0.177866
7	0.177435
8	0.174686
9	0.170379
10	0.168790
11	0.165768
12	0.161242
13	0.159405
14	0.155884
15	0.152185
16	0.150142
17	0.145282
18	0.142111
19	0.137368
20	0.135129
21	0.130497
22	0.126940
23	0.124338
24	0.122892
25	0.119442
26	0.115641
27	0.112825
28	0.111713
29	0.108455
30	0.105944
31	0.105005
32	0.102159
33	0.100092
34	0.098972
35	0.099120
36	0.095979
37	0.095337
38	0.093050
39	0.092330
40	0.090780
41	0.090378
42	0.089573
43	0.089227
44	0.087747
45	0.088038
46	0.085580
47	0.086118
48	0.084773
49	0.085009
50	0.084953
51	0.084262
52	0.084128
53	0.081978
54	0.083470
55	0.081498
56	0.081973
57	0.082097
58	0.080861
59	0.080848
60	0.079923
61	0.081163
62	0.079921
63	0.079961
64	0.079820
65	0.080579
66	0.078853
67	0.078633
68	0.078106
69	0.078348
70	0.078802
71	0.077715
72	0.077291
73	0.078713
74	0.077228
75	0.077568
76	0.077617
77	0.076912
78	0.077101
79	0.078100
80	0.076448
81	0.076864
82	0.076066
83	0.075714
84	0.076754
85	0.075547
86	0.075533
87	0.076288
88	0.076817
89	0.074913
90	0.076166
91	0.075775
92	0.075947
93	0.074078
94	0.076010
95	0.074998
96	0.074697
97	0.074018
98	0.075412
99	0.075115
100	0.074079
101	0.074942
102	0.074107
103	0.074780
104	0.074408
105	0.074748
106	0.074046
107	0.073888
108	0.074316
109	0.073629
110	0.074522
111	0.074028
112	0.074081
113	0.074404
114	0.074816
115	0.074770
116	0.073982
117	0.073269
118	0.073202
119	0.072701
120	0.073621
121	0.072799
122	0.072338
123	0.072808
124	0.073755
125	0.073864
126	0.073442
127	0.073647
128	0.073548
129	0.073115
130	0.072342
131	0.071875
132	0.073213
133	0.073529
134	0.072408
135	0.072257
136	0.071532
137	0.071116
138	0.072227
139	0.070864
140	0.073106
141	0.072292
142	0.071089
143	0.071323
144	0.072663
145	0.071831
146	0.071025
147	0.071141
148	0.071316
149	0.071394
150	0.071006
151	0.071884
152	0.071461
153	0.071289
154	0.070052
155	0.071440
156	0.070832
157	0.071154
158	0.071119
159	0.070184
160	0.071796
161	0.071816
162	0.070251
163	0.070860
164	0.071853
165	0.070680
166	0.071140
167	0.071996
168	0.070607
169	0.069874
170	0.071095
171	0.070877
172	0.069966
173	0.070494
174	0.071748
175	0.070285
176	0.070376
177	0.070139
178	0.070601
179	0.069586
180	0.069460
181	0.069763
182	0.069473
183	0.070248
184	0.069043
185	0.069280
186	0.069636
187	0.069544
188	0.072254
189	0.070255
190	0.069603
191	0.071215
192	0.069483
193	0.070376
194	0.069863
195	0.069915
196	0.070060
197	0.070707
198	0.070366
199	0.068298
200	0.069914
201	0.068966
202	0.068806
203	0.068973
204	0.068682
205	0.069509
206	0.069523
207	0.068865
208	0.068871
209	0.069460
210	0.068536
211	0.068919
212	0.069337
213	0.069873
214	0.069080
215	0.068907
216	0.069317
217	0.068890
218	0.069948
219	0.068587
220	0.068183
221	0.068164
222	0.068149
223	0.067934
224	0.068078
225	0.069124
226	0.069291
227	0.069017
228	0.068885
229	0.068958
230	0.068759
231	0.069476
232	0.068429
233	0.068115
234	0.068275
235	0.068297
236	0.068136
237	0.068519
238	0.068057
239	0.067825
240	0.068144
241	0.068035
242	0.068433
243	0.069727
244	0.067661
245	0.068136
246	0.068307
247	0.067498
248	0.068571
249	0.067392
250	0.067327
251	0.067058
252	0.068697
253	0.067605
254	0.067724
255	0.067389
256	0.067593
257	0.067623
258	0.068653
259	0.067980
260	0.068470
261	0.067471
262	0.068223
263	0.067075
264	0.066923
265	0.067680
266	0.067947
267	0.068157
268	0.066833
269	0.067642
270	0.066855
271	0.067610
272	0.068318
273	0.066920
274	0.067402
275	0.066955
276	0.066378
277	0.066178
278	0.066302
279	0.066834
280	0.066373
281	0.066882
282	0.067937
283	0.067486
284	0.066192
285	0.067442
286	0.066521
287	0.067232
288	0.067036
289	0.066936
290	0.067387
291	0.066475
292	0.067476
293	0.067310
294	0.066009
295	0.066091
296	0.067053
297	0.067911
298	0.066727
299	0.065741
300	0.067396
301	0.066543
302	0.066407
303	0.066241
304	0.066833
305	0.066045
306	0.067108
307	0.066974
308	0.066500
309	0.066199
310	0.067475
311	0.065190
312	0.066266
313	0.065850
314	0.065860
315	0.066189
316	0.066899
317	0.065460
318	0.065785
319	0.066006
320	0.066477
321	0.066475
322	0.067064
323	0.066607
324	0.067021
325	0.067365
326	0.066734
327	0.066020
328	0.066278
329	0.067162
330	0.065487
331	0.066535
332	0.065996
333	0.066753
334	0.065683
335	0.066291
336	0.066313
337	0.065389
338	0.066010
339	0.065920
340	0.065595
341	0.065318
342	0.065498
343	0.065926
344	0.065466
345	0.065843
346	0.064858
347	0.065357
348	0.066155
349	0.066602
350	0.065686
351	0.065791
352	0.064944
353	0.066661
354	0.066480
355	0.065049
356	0.065254
357	0.065696
358	0.065263
359	0.065985
360	0.064679
361	0.065916
362	0.064772
363	0.065798
364	0.066072
365	0.065118
366	0.065959
367	0.065236
368	0.064822
369	0.065672
370	0.065696
371	0.064540
372	0.066834
373	0.064997
374	0.065381
375	0.066225
376	0.065166
377	0.065308
378	0.065882
379	0.065968
380	0.065080
381	0.065595
382	0.064912
383	0.065386
384	0.064464
385	0.065449
386	0.066037
387	0.065610
388	0.065359
389	0.065536
390	0.064814
391	0.065234
392	0.065353
393	0.065634
394	0.065734
395	0.064228
396	0.065631
397	0.065630
398	0.064543
399	0.065055
400	0.065641
401	0.064692
402	0.065242
403	0.064955
404	0.065474
405	0.065330
406	0.065017
407	0.065203
408	0.065145
409	0.063933
410	0.065008
411	0.065040
412	0.064728
413	0.065890
414	0.065363
415	0.065156
416	0.065838
417	0.065150
418	0.063709
419	0.065301
420	0.065140
421	0.064687
422	0.064820
423	0.065199
424	0.064638
425	0.064891
426	0.064596
427	0.063886
428	0.064474
429	0.064860
430	0.064937
431	0.064464
432	0.064311
433	0.064434
434	0.063991
435	0.064142
436	0.063481
437	0.065314
438	0.064697
439	0.064407
440	0.064169
441	0.064178
442	0.063823
443	0.065594
444	0.064357
445	0.065272
446	0.065446
447	0.064567
448	0.064870
449	0.064805
450	0.063942
451	0.064224
452	0.064478
453	0.064758
454	0.064231
455	0.065735
456	0.063875
457	0.063639
458	0.063795
459	0.064561
460	0.064768
461	0.064921
462	0.064422
463	0.063546
464	0.065730
465	0.064797
466	0.065165
467	0.063972
468	0.063600
469	0.064646
470	0.064366
471	0.064307
472	0.063314
473	0.065664
474	0.063885
475	0.064090
476	0.063081
477	0.065109
478	0.063731
479	0.063857
480	0.063977
481	0.063409
482	0.063942
483	0.063684
484	0.063885
485	0.064096
486	0.063600
487	0.064187
488	0.064075
489	0.064218
490	0.065170
491	0.064077
492	0.063783
493	0.063956
494	0.064158
495	0.063774
496	0.063875
497	0.063380
498	0.064250
499	0.065707
500	0.064590
501	0.063789
502	0.064008
503	0.064356
504	0.065043
505	0.064160
506	0.064263
507	0.063980
508	0.063825
509	0.063654
510	0.063265
511	0.064278
512	0.063462
513	0.063723
514	0.063098
515	0.064251
516	0.063786
517	0.065082
518	0.064448
519	0.063509
520	0.064798
521	0.065026
522	0.063458
523	0.063973
524	0.065412
525	0.063431
526	0.063071
527	0.063468
528	0.063482
529	0.063829
530	0.063330
531	0.063418
532	0.063634
533	0.063750
534	0.062962
535	0.063774
536	0.063241
537	0.063536
538	0.062812
539	0.064100
540	0.064793
541	0.063610
542	0.064401
543	0.063730
544	0.063714
545	0.063694
546	0.064209
547	0.064170
548	0.063748
549	0.062821
550	0.063541
551	0.062992
552	0.063592
553	0.063792
554	0.062240
555	0.063316
556	0.064167
557	0.063615
558	0.062908
559	0.063429
560	0.063641
561	0.063307
562	0.063272
563	0.063635
564	0.064050
565	0.063125
566	0.063734
567	0.064516
568	0.063480
569	0.063513
570	0.063231
571	0.063769
572	0.063873
573	0.062762
574	0.063662
575	0.063381
576	0.063384
577	0.063630
578	0.064447
579	0.063488
580	0.063559
581	0.063278
582	0.063526
583	0.063052
584	0.062815
585	0.063653
586	0.062553
587	0.063657
588	0.063056
589	0.063109
590	0.063265
591	0.062861
592	0.063613
593	0.063346
594	0.063362
595	0.063063
596	0.062963
597	0.063700
598	0.063005
599	0.062273
600	0.063004
601	0.063071
602	0.063237
603	0.063460
604	0.063757
605	0.062241
606	0.063414
607	0.063085
608	0.063485
609	0.062478
610	0.063266
611	0.062695
612	0.062927
613	0.064392
614	0.063039
615	0.064223
616	0.062897
617	0.063216
618	0.063801
619	0.062657
620	0.063887
621	0.062797
622	0.062776
623	0.063598
624	0.063137
625	0.062283
626	0.062809
627	0.061929
628	0.062502
629	0.062841
630	0.062485
631	0.063241
632	0.062671
633	0.062827
634	0.062505
635	0.062559
636	0.062526
637	0.063105
638	0.064149
639	0.063097
640	0.062505
641	0.062182
642	0.063029
643	0.062760
644	0.063572
645	0.062696
646	0.062281
647	0.062378
648	0.062465
649	0.062991
650	0.063129
651	0.062974
652	0.063191
653	0.063220
654	0.064112
655	0.062934
656	0.063059
657	0.062579
658	0.062181
659	0.062163
660	0.062849
661	0.062999
662	0.062665
663	0.062772
664	0.062769
665	0.061888
666	0.062540
667	0.062797
668	0.062203
669	0.063027
670	0.063378
671	0.061699
672	0.062517
673	0.062755
674	0.063262
675	0.062575
676	0.062721
677	0.061639
678	0.062228
679	0.061938
680	0.061965
681	0.062641
682	0.062695
683	0.061989
684	0.062505
685	0.062069
686	0.063004
687	0.062552
688	0.062803
689	0.062332
690	0.062318
691	0.062239
692	0.062666
693	0.062345
694	0.062866
695	0.062707
696	0.061921
697	0.062076
698	0.061650
699	0.063748
700	0.062483
701	0.062766
702	0.062185
703	0.062230
704	0.061530
705	0.063683
706	0.062735
707	0.061937
708	0.062750
709	0.062849
710	0.063354
711	0.062020
712	0.061967
713	0.062958
714	0.062230
715	0.061359
716	0.064365
717	0.062967
718	0.062464
719	0.062395
720	0.062585
721	0.062198
722	0.061898
723	0.063428
724	0.062271
725	0.062261
726	0.061979
727	0.062964
728	0.062789
729	0.063357
730	0.062193
731	0.061681
732	0.062225
733	0.061902
734	0.062565
735	0.062520
736	0.062339
737	0.061836
738	0.063106
739	0.061657
740	0.061336
741	0.061840
742	0.062826
743	0.062298
744	0.061868
745	0.062302
746	0.061877
747	0.062655
748	0.062456
749	0.062664
750	0.062338
751	0.063963
752	0.061965
753	0.061921
754	0.062183
755	0.062057
756	0.062036
757	0.062719
758	0.061708
759	0.062696
760	0.061654
761	0.062880
762	0.062367
763	0.061745
764	0.062199
765	0.062757
766	0.062457
767	0.061716
768	0.062648
769	0.061918
770	0.063194
771	0.062072
772	0.062387
773	0.061979
774	0.062091
775	0.063452
776	0.062072
777	0.062054
778	0.062807
779	0.062239
780	0.062141
781	0.061845
782	0.062343
783	0.061623
784	0.061301
785	0.063251
786	0.061822
787	0.062110
788	0.061916
789	0.061540
790	0.061734
791	0.062737
792	0.062486
793	0.063722
794	0.061923
795	0.061895
796	0.062947
797	0.062229
798	0.061266
799	0.060988
800	0.063207
801	0.062601
802	0.061223
803	0.062100
804	0.061345
805	0.062145
806	0.061339
807	0.062169
808	0.061835
809	0.062363
810	0.063132
811	0.062097
812	0.062918
813	0.061936
814	0.061476
815	0.062205
816	0.062074
817	0.061797
818	0.062847
819	0.062273
820	0.062201
821	0.061277
822	0.062460
823	0.061806
824	0.061944
825	0.063091
826	0.063086
827	0.061304
828	0.061559
829	0.063043
830	0.061218
831	0.061854
832	0.062490
833	0.062398
834	0.061639
835	0.061994
836	0.061572
837	0.062530
838	0.062274
839	0.061874
840	0.061862
841	0.061969
842	0.061399
843	0.062083
844	0.061285
845	0.062977
846	0.061494
847	0.061109
848	0.061420
849	0.061230
850	0.062284
851	0.061549
852	0.061840
853	0.061439
854	0.061767
855	0.061654
856	0.061762
857	0.061222
858	0.061737
859	0.061302
860	0.061154
861	0.062144
862	0.062100
863	0.061592
864	0.061398
865	0.062728
866	0.061887
867	0.062434
868	0.061417
869	0.062773
870	0.061205
871	0.061647
872	0.063388
873	0.062109
874	0.061894
875	0.061976
876	0.061154
877	0.061147
878	0.061822
879	0.062400
880	0.061881
881	0.063002
882	0.061787
883	0.060946
884	0.061596
885	0.061664
886	0.061968
887	0.061539
888	0.060684
889	0.061682
890	0.061884
891	0.061799
892	0.061574
893	0.060920
894	0.061963
895	0.062485
896	0.061563
897	0.061789
898	0.062160
899	0.062233
900	0.061445
901	0.061402
902	0.061791
903	0.061740
904	0.061401
905	0.061393
906	0.061962
907	0.061981
908	0.061218
909	0.061796
910	0.061259
911	0.062394
912	0.061820
913	0.062068
914	0.061778
915	0.061511
916	0.062803
917	0.061024
918	0.062786
919	0.060758
920	0.061657
921	0.061742
922	0.061543
923	0.061188
924	0.061295
925	0.060747
926	0.062407
927	0.061819
928	0.061885
929	0.061487
930	0.061720
931	0.061764
932	0.062046
933	0.060962
934	0.061898
935	0.060826
936	0.062196
937	0.062386
938	0.061857
939	0.061813
940	0.061140
941	0.062441
942	0.060841
943	0.061634
944	0.061046
945	0.060995
946	0.061469
947	0.061405
948	0.060861
949	0.060999
950	0.060744
951	0.060857
952	0.061426
953	0.062436
954	0.062230
955	0.061110
956	0.061695
957	0.062282
958	0.061783
959	0.061281
960	0.061597
961	0.061754
962	0.061436
963	0.061717
964	0.060814
965	0.061015
966	0.061029
967	0.061651
968	0.061297
969	0.061473
970	0.062229
971	0.061748
972	0.061288
973	0.061191
974	0.062167
975	0.060836
976	0.061216
977	0.062145
978	0.061226
979	0.061953
980	0.062028
981	0.061214
982	0.061353
983	0.061721
984	0.062150
985	0.061003
986	0.060701
987	0.061384
988	0.060685
989	0.061108
990	0.061233
991	0.061498
992	0.060835
993	0.061556
994	0.061636
995	0.060688
996	0.060540
997	0.063140
998	0.061690
999	0.061079
1000	0.060724
1001	0.061307
1002	0.061287
1003	0.061702
1004	0.062035
1005	0.062510
1006	0.061481
1007	0.060844
1008	0.061481
1009	0.061140
1010	0.061829
1011	0.060929
1012	0.062102
1013	0.060842
1014	0.061291
1015	0.061513
1016	0.061609
1017	0.061837
1018	0.061406
1019	0.060818
1020	0.059793
1021	0.061150
1022	0.060697
1023	0.061540
1024	0.060958
1025	0.060505
1026	0.060913
1027	0.061057
1028	0.060831
1029	0.061670
1030	0.061344
1031	0.060859
1032	0.061078
1033	0.061307
1034	0.060888
1035	0.061944
1036	0.062080
1037	0.060474
1038	0.061189
1039	0.061954
1040	0.062449
1041	0.061190
1042	0.061391
1043	0.061182
1044	0.060952
1045	0.061667
1046	0.060931
1047	0.061369
1048	0.061588
1049	0.061450
1050	0.061326
1051	0.060725
1052	0.060474
1053	0.062055
1054	0.061311
1055	0.061238
1056	0.061408
1057	0.060706
1058	0.060671
1059	0.061590
1060	0.061018
