Epochs	Loss	
1	0.075129
2	0.073386
3	0.072972
4	0.069343
5	0.069468
6	0.069662
7	0.069287
8	0.068293
9	0.068202
10	0.068013
11	0.067852
12	0.068921
13	0.069979
14	0.068398
15	0.068963
16	0.068300
17	0.067180
18	0.067832
19	0.068127
20	0.068436
21	0.067213
22	0.068134
23	0.066737
24	0.067636
25	0.068305
26	0.066678
27	0.068474
28	0.066008
29	0.068098
30	0.067603
31	0.067206
32	0.066220
33	0.068090
34	0.066038
35	0.065778
36	0.065666
37	0.066049
38	0.065720
39	0.065679
40	0.066416
41	0.066282
42	0.065233
43	0.065115
44	0.065067
45	0.065520
46	0.064645
47	0.064923
48	0.064877
49	0.065961
50	0.064745
51	0.063521
52	0.065294
53	0.063466
54	0.065294
55	0.062823
56	0.063643
57	0.063047
58	0.062043
59	0.063032
60	0.061703
61	0.062573
62	0.060977
63	0.060446
64	0.061108
65	0.062219
66	0.060833
67	0.061433
68	0.061852
69	0.060544
70	0.061161
71	0.060105
72	0.060596
73	0.059371
74	0.059914
75	0.058381
76	0.060882
77	0.059771
78	0.059221
79	0.057678
80	0.060731
81	0.058342
82	0.058149
83	0.058552
84	0.059604
85	0.058251
86	0.057265
87	0.057127
88	0.057659
89	0.056905
90	0.057526
91	0.057793
92	0.057745
93	0.057057
94	0.056290
95	0.057287
96	0.056900
97	0.058312
98	0.055762
99	0.056968
100	0.057128
101	0.057109
102	0.056037
103	0.056533
104	0.055482
105	0.056590
106	0.056043
107	0.055805
108	0.056553
109	0.057427
110	0.055424
111	0.055420
112	0.055696
113	0.056053
114	0.056097
115	0.056047
116	0.057037
117	0.054899
118	0.055612
119	0.054748
120	0.055570
121	0.054390
122	0.055188
123	0.054398
124	0.056093
125	0.056347
126	0.055257
127	0.055257
128	0.056327
129	0.055178
130	0.054427
131	0.054167
132	0.054392
133	0.053678
134	0.053922
135	0.055441
136	0.054621
137	0.054352
138	0.055433
139	0.054404
140	0.053841
141	0.055026
142	0.055437
143	0.056373
144	0.054995
145	0.054876
146	0.055459
147	0.053600
148	0.054840
149	0.054485
150	0.054094
151	0.054586
152	0.054062
153	0.055255
154	0.055726
155	0.054937
156	0.053505
157	0.054944
158	0.053104
159	0.053668
160	0.054544
161	0.054072
162	0.053725
163	0.052713
164	0.054884
165	0.054041
166	0.053445
167	0.053135
168	0.053884
169	0.054629
170	0.054145
171	0.053430
172	0.054635
173	0.054081
174	0.054377
175	0.055101
176	0.053516
177	0.054030
178	0.054181
179	0.053605
180	0.052956
181	0.054034
182	0.054252
183	0.053855
184	0.054547
185	0.054233
186	0.053363
187	0.053067
188	0.053419
189	0.053580
190	0.053275
191	0.051766
192	0.053802
193	0.053453
194	0.052550
195	0.052616
196	0.052282
197	0.053096
198	0.053407
199	0.054379
200	0.054305
201	0.052963
202	0.053224
203	0.052955
204	0.052642
205	0.053193
206	0.052008
207	0.051587
208	0.053354
209	0.053587
210	0.051920
211	0.053536
212	0.052669
213	0.053040
214	0.051323
215	0.052533
216	0.052340
217	0.052706
218	0.052285
219	0.052498
220	0.053666
221	0.052112
222	0.051934
223	0.052617
224	0.051342
225	0.053560
226	0.052584
227	0.052473
228	0.052773
229	0.052512
230	0.052268
231	0.052619
232	0.053458
233	0.052458
234	0.053522
235	0.052135
236	0.052018
237	0.052738
238	0.052449
239	0.052502
240	0.051779
241	0.052508
242	0.053022
243	0.051790
244	0.051272
245	0.052413
246	0.052666
247	0.051958
248	0.052704
249	0.051874
250	0.052265
251	0.053465
252	0.053383
253	0.052496
254	0.051061
255	0.051964
256	0.051699
257	0.052218
258	0.052341
259	0.051640
260	0.053137
261	0.052161
262	0.051233
263	0.051514
264	0.052104
265	0.051432
266	0.052191
267	0.052721
268	0.052354
269	0.052732
270	0.053629
271	0.052234
272	0.051432
273	0.052255
274	0.052212
275	0.052226
276	0.051636
277	0.052588
278	0.052703
279	0.050873
280	0.051761
281	0.051893
282	0.052222
283	0.051539
284	0.051139
285	0.051550
286	0.052135
287	0.052761
288	0.052282
289	0.051423
290	0.051204
291	0.052132
292	0.053481
293	0.051962
294	0.051398
295	0.050710
296	0.052388
297	0.052783
298	0.052301
299	0.052136
300	0.052797
301	0.050904
302	0.052255
303	0.051282
304	0.051087
305	0.051565
306	0.051841
307	0.052093
308	0.051449
309	0.051535
310	0.052509
311	0.051126
312	0.053171
313	0.052555
314	0.051097
315	0.051425
316	0.051493
317	0.051018
318	0.052157
319	0.051693
320	0.051788
321	0.050342
322	0.052255
323	0.051018
324	0.050931
325	0.051624
326	0.050007
327	0.052124
328	0.050499
329	0.050746
330	0.051627
331	0.050366
332	0.050909
333	0.050751
334	0.051367
335	0.051943
336	0.052862
337	0.051072
338	0.050008
339	0.051949
340	0.051448
341	0.052214
342	0.050906
343	0.051974
344	0.052777
345	0.050669
346	0.050143
347	0.050332
348	0.051451
349	0.051196
350	0.053005
351	0.052685
352	0.051927
353	0.051648
354	0.052476
355	0.050606
356	0.051285
357	0.049918
358	0.051143
359	0.051009
360	0.052112
361	0.052380
362	0.051750
363	0.052131
364	0.051505
365	0.051260
366	0.053030
367	0.052232
368	0.051092
369	0.051064
370	0.051489
371	0.051938
372	0.050026
373	0.050974
374	0.050453
375	0.050998
376	0.050821
377	0.050277
378	0.051050
379	0.050607
380	0.050908
381	0.051575
382	0.050363
383	0.050473
384	0.051171
385	0.050761
386	0.050958
387	0.052845
388	0.050171
389	0.050338
390	0.050353
391	0.051281
392	0.050601
393	0.050440
394	0.050562
395	0.049375
396	0.051648
397	0.051710
398	0.050429
399	0.050444
400	0.050218
401	0.049853
402	0.051313
403	0.051113
404	0.051411
405	0.050017
406	0.051245
407	0.051110
408	0.051047
