Epochs	Loss	
1	0.138113
2	0.135831
3	0.132509
4	0.132432
5	0.132593
6	0.130440
7	0.131204
8	0.127973
9	0.127271
10	0.124611
11	0.121393
12	0.120823
13	0.117994
14	0.117089
15	0.117666
16	0.113226
17	0.111772
18	0.109929
19	0.113770
20	0.110650
21	0.107566
22	0.108182
23	0.108179
24	0.106019
25	0.105259
26	0.104289
27	0.104947
28	0.101687
29	0.101380
30	0.102235
31	0.099744
32	0.101264
33	0.099205
34	0.098018
35	0.096814
36	0.098309
37	0.096455
38	0.096489
39	0.094485
40	0.095671
41	0.093140
42	0.091394
43	0.091017
44	0.091405
45	0.091354
46	0.091954
47	0.089899
48	0.089753
49	0.088734
50	0.086943
51	0.087260
52	0.088542
53	0.085919
54	0.085429
55	0.087259
56	0.087339
57	0.084943
58	0.085426
59	0.084498
60	0.085379
61	0.084095
62	0.082777
63	0.085020
64	0.083713
65	0.084647
66	0.083632
67	0.081731
68	0.085326
69	0.082849
70	0.082777
71	0.081273
72	0.082488
73	0.080519
74	0.082164
75	0.082947
76	0.082255
77	0.079316
78	0.079939
79	0.079600
80	0.079278
81	0.081407
82	0.082317
83	0.078576
84	0.081205
85	0.079749
86	0.078758
87	0.079062
88	0.079214
89	0.077437
90	0.077824
91	0.078762
92	0.080021
93	0.078198
94	0.077611
95	0.077675
96	0.077757
97	0.078594
98	0.076695
99	0.075718
100	0.076913
101	0.077728
102	0.076198
103	0.076361
104	0.078006
105	0.076131
106	0.076790
107	0.074871
108	0.077122
109	0.078523
110	0.077547
111	0.075506
112	0.076406
113	0.074713
114	0.075624
115	0.074658
116	0.076408
117	0.074895
118	0.075454
119	0.075408
120	0.076492
121	0.075747
122	0.074593
123	0.077037
124	0.075467
125	0.074683
126	0.075500
127	0.074987
128	0.077224
129	0.076485
130	0.074761
131	0.075190
132	0.074731
133	0.074959
134	0.075134
135	0.072702
136	0.073223
137	0.073215
138	0.075223
139	0.075175
140	0.073418
141	0.074102
142	0.072857
143	0.074752
144	0.073610
145	0.073072
146	0.071779
147	0.072646
148	0.076047
149	0.072991
150	0.072254
151	0.071934
152	0.071747
153	0.072506
154	0.072183
155	0.073009
156	0.072848
157	0.073197
158	0.072753
159	0.072908
160	0.072242
161	0.070551
162	0.073038
163	0.072278
164	0.070287
165	0.072341
166	0.073070
167	0.071334
168	0.071407
169	0.072715
170	0.073106
171	0.071983
172	0.071806
173	0.070770
174	0.070188
175	0.070617
176	0.071520
177	0.072359
178	0.070898
179	0.071120
180	0.071519
181	0.071865
182	0.071198
183	0.071143
184	0.071141
185	0.070917
186	0.070044
187	0.071421
188	0.070789
189	0.071059
190	0.070901
191	0.070543
192	0.071612
193	0.070168
194	0.069300
195	0.071849
196	0.070950
197	0.069766
198	0.070038
199	0.071257
200	0.068918
201	0.069495
202	0.072402
203	0.071866
204	0.068974
205	0.069988
206	0.070086
207	0.069980
208	0.071529
209	0.068701
210	0.069892
211	0.070968
212	0.070093
213	0.070721
214	0.069566
215	0.068530
216	0.071553
217	0.070585
218	0.070540
219	0.070944
220	0.069007
221	0.070065
222	0.068267
223	0.069920
224	0.069310
225	0.068982
226	0.072169
227	0.067982
228	0.068032
229	0.069688
230	0.069114
231	0.069560
232	0.068426
233	0.072216
234	0.067834
235	0.069735
236	0.069161
237	0.068576
238	0.068721
239	0.069499
240	0.069195
241	0.069140
242	0.068221
243	0.070609
244	0.070233
245	0.067794
246	0.067678
247	0.069658
248	0.067730
249	0.068608
250	0.068690
251	0.069756
252	0.068012
253	0.068603
254	0.067727
255	0.068126
256	0.068713
257	0.069324
258	0.070658
259	0.068593
260	0.068894
261	0.068295
262	0.068880
263	0.068262
264	0.069344
265	0.069236
266	0.069236
267	0.069846
268	0.068179
269	0.067900
270	0.069812
271	0.067364
272	0.068445
273	0.066757
274	0.069026
275	0.070941
276	0.066751
277	0.068105
278	0.067750
279	0.068226
280	0.067409
281	0.066869
282	0.068017
283	0.069093
284	0.067607
285	0.067726
286	0.068854
287	0.068445
288	0.066510
289	0.068226
290	0.069417
291	0.066146
292	0.068562
293	0.068003
294	0.067633
295	0.069120
296	0.066078
297	0.067146
298	0.070107
299	0.067239
300	0.067181
301	0.068750
302	0.068108
303	0.067345
304	0.067003
305	0.068842
306	0.067729
307	0.066426
308	0.069616
309	0.067617
310	0.067978
311	0.067961
312	0.067936
313	0.066900
314	0.066585
315	0.069086
316	0.068097
317	0.069043
318	0.069053
319	0.065282
320	0.066378
321	0.066713
322	0.066295
323	0.067698
324	0.067200
325	0.067134
326	0.067613
327	0.066711
328	0.066978
329	0.066152
330	0.067135
331	0.066071
332	0.066200
333	0.069186
334	0.067036
335	0.065725
336	0.067860
337	0.067304
338	0.067864
339	0.069119
340	0.065817
341	0.066571
342	0.066792
343	0.066726
344	0.066682
345	0.068343
346	0.066348
347	0.066326
348	0.066390
349	0.066521
350	0.066206
351	0.065788
352	0.066267
353	0.068490
354	0.065670
