Epochs	Loss	
1	0.165002
2	0.164122
3	0.162506
4	0.160340
5	0.158920
6	0.157575
7	0.155013
8	0.152932
9	0.149663
10	0.147025
11	0.143081
12	0.140183
13	0.137380
14	0.134241
15	0.131524
16	0.128145
17	0.125249
18	0.122097
19	0.118979
20	0.116134
21	0.113679
22	0.110818
23	0.108009
24	0.105411
25	0.103634
26	0.101223
27	0.099657
28	0.097632
29	0.096261
30	0.094425
31	0.092991
32	0.091673
33	0.090032
34	0.089312
35	0.088435
36	0.087084
37	0.086589
38	0.085670
39	0.085296
40	0.083992
41	0.083683
42	0.083069
43	0.082343
44	0.081939
45	0.081286
46	0.080439
47	0.080392
48	0.080316
49	0.079247
50	0.079133
51	0.078862
52	0.079311
53	0.078937
54	0.077906
55	0.077568
56	0.078297
57	0.076941
58	0.077727
59	0.076909
60	0.076880
61	0.076735
62	0.076392
63	0.075254
64	0.075609
65	0.075217
66	0.075248
67	0.075412
68	0.075299
69	0.075188
70	0.074091
71	0.073830
72	0.074865
73	0.073907
74	0.073986
75	0.073726
76	0.073750
77	0.073362
78	0.073133
79	0.072614
80	0.072738
81	0.072862
82	0.072914
83	0.072823
84	0.071932
85	0.072338
86	0.073199
87	0.071973
88	0.072550
89	0.071585
90	0.071945
91	0.072473
92	0.072113
93	0.071022
94	0.070944
95	0.071708
96	0.070996
97	0.070899
98	0.071117
99	0.071267
100	0.070508
101	0.070722
102	0.070183
103	0.070435
104	0.070018
105	0.070063
106	0.070237
107	0.070171
108	0.069588
109	0.070066
110	0.069503
111	0.069630
112	0.069704
113	0.069972
114	0.069928
115	0.069622
116	0.069282
117	0.068939
118	0.068995
119	0.068561
120	0.068723
121	0.069012
122	0.068915
123	0.068721
124	0.068610
125	0.068451
126	0.068158
127	0.068240
128	0.069067
129	0.068511
130	0.068204
131	0.068547
132	0.067812
133	0.067761
134	0.067421
135	0.068423
136	0.067823
137	0.067711
138	0.067991
139	0.068015
140	0.067536
141	0.066614
142	0.068106
143	0.067142
144	0.066396
145	0.066639
146	0.067390
147	0.067657
148	0.067064
149	0.067069
150	0.067040
151	0.067449
152	0.065827
153	0.067305
154	0.066173
155	0.066234
156	0.066248
157	0.066337
158	0.066251
159	0.065756
160	0.066276
161	0.066666
162	0.066086
163	0.066184
164	0.066268
165	0.066047
166	0.065073
167	0.065402
168	0.065242
169	0.065766
170	0.066248
171	0.065641
172	0.065751
173	0.064745
174	0.065023
175	0.065026
176	0.065601
177	0.064901
178	0.065001
179	0.065110
180	0.064873
181	0.064758
182	0.065126
183	0.065085
184	0.064939
185	0.065311
186	0.064698
187	0.064805
188	0.064927
189	0.064565
190	0.063959
191	0.064572
192	0.064088
193	0.064812
194	0.064251
195	0.064432
196	0.064191
197	0.064048
198	0.064760
199	0.064005
200	0.063116
201	0.064108
202	0.064459
203	0.064228
204	0.063691
205	0.063624
206	0.063751
207	0.063475
208	0.063564
209	0.063629
210	0.063525
211	0.063560
212	0.064125
213	0.063235
214	0.064169
215	0.062821
216	0.063960
217	0.062328
218	0.063526
219	0.063058
220	0.062637
221	0.063145
222	0.062419
223	0.062915
224	0.063350
225	0.062918
226	0.063246
227	0.062738
228	0.062523
229	0.063151
230	0.063295
231	0.062545
232	0.062773
233	0.062461
234	0.062575
235	0.061778
236	0.063254
237	0.061784
238	0.061991
239	0.061789
240	0.061998
241	0.062005
242	0.061868
243	0.061282
244	0.062612
245	0.061752
246	0.061691
247	0.061546
248	0.061557
249	0.061481
250	0.061381
251	0.061694
252	0.061340
253	0.061548
254	0.062157
255	0.061047
256	0.061419
257	0.061193
258	0.061525
259	0.060820
260	0.060989
261	0.061147
262	0.061222
263	0.061553
264	0.061325
265	0.060590
266	0.060916
267	0.060700
268	0.060995
269	0.061037
270	0.060892
271	0.060940
272	0.060678
273	0.060409
274	0.061278
275	0.060419
276	0.060295
277	0.061014
278	0.060358
279	0.060278
280	0.060453
281	0.060261
282	0.060415
283	0.060287
284	0.060195
285	0.059909
286	0.060343
287	0.060254
288	0.059282
289	0.060003
290	0.059836
291	0.059425
292	0.059638
293	0.059649
294	0.059816
295	0.059573
296	0.059729
297	0.059867
298	0.059161
299	0.059200
300	0.059682
301	0.059470
302	0.059547
303	0.058841
304	0.059834
305	0.059415
306	0.058659
307	0.059308
308	0.059263
309	0.059422
310	0.059359
311	0.058994
312	0.059579
313	0.058460
314	0.059774
315	0.058925
316	0.058678
317	0.058279
318	0.058693
319	0.058145
320	0.058388
321	0.058621
322	0.058414
323	0.058324
324	0.058434
325	0.058263
326	0.058521
327	0.059389
328	0.058740
329	0.058720
330	0.058131
331	0.058365
332	0.058372
333	0.058422
334	0.058596
335	0.058528
336	0.058177
337	0.057701
338	0.058897
339	0.057492
340	0.058138
341	0.058628
342	0.058687
343	0.057885
344	0.057905
345	0.058252
346	0.058132
347	0.057388
348	0.057600
349	0.057757
350	0.057403
351	0.057567
352	0.057954
353	0.058080
354	0.057836
355	0.057133
356	0.058043
357	0.057581
358	0.058388
359	0.057423
360	0.057295
361	0.056998
362	0.057175
363	0.058088
364	0.057313
365	0.056997
366	0.057098
367	0.057579
368	0.058201
369	0.057309
370	0.056950
371	0.056795
372	0.056801
373	0.057344
374	0.056804
375	0.056023
376	0.056894
377	0.057001
378	0.057606
379	0.057602
380	0.057314
381	0.057035
382	0.057470
383	0.057599
384	0.056994
385	0.056777
386	0.057073
387	0.057498
388	0.056648
389	0.056572
390	0.056612
391	0.057131
392	0.056258
393	0.056728
394	0.057042
395	0.056559
396	0.057490
397	0.056712
398	0.056288
399	0.056784
400	0.056813
401	0.056423
402	0.057132
403	0.056657
404	0.056307
405	0.056995
406	0.056302
407	0.056022
408	0.056239
409	0.057090
410	0.056474
411	0.056786
412	0.056177
413	0.055821
414	0.056870
415	0.056112
416	0.056596
417	0.056023
418	0.056326
419	0.056004
420	0.055825
421	0.056555
422	0.055992
423	0.056721
424	0.056719
425	0.056327
426	0.056581
427	0.055823
428	0.056190
429	0.056262
430	0.055727
431	0.055856
432	0.056261
433	0.055878
434	0.055534
435	0.055791
436	0.056219
437	0.056173
438	0.055932
439	0.056036
440	0.056367
441	0.056539
442	0.055705
443	0.056426
444	0.055904
445	0.055687
446	0.055666
447	0.055241
448	0.055755
449	0.055795
450	0.055521
451	0.055918
452	0.055144
453	0.055509
454	0.055772
455	0.056232
456	0.055574
457	0.055793
458	0.055714
459	0.055813
460	0.055401
461	0.054625
462	0.055497
463	0.055457
464	0.055962
465	0.055813
466	0.055692
467	0.055528
468	0.055874
469	0.055265
470	0.055581
471	0.055314
472	0.055160
473	0.055604
474	0.054943
475	0.055419
476	0.055305
477	0.055689
478	0.055923
479	0.055388
480	0.055590
481	0.055405
482	0.054553
483	0.055434
484	0.055726
485	0.054671
486	0.054956
487	0.055748
488	0.055917
489	0.055292
490	0.054769
491	0.055273
492	0.054986
493	0.055504
494	0.055398
495	0.055441
496	0.054742
497	0.054646
498	0.055430
499	0.055133
500	0.055122
501	0.054768
502	0.054515
503	0.054182
504	0.054484
505	0.054945
506	0.055199
507	0.054628
508	0.054342
509	0.055148
510	0.055232
511	0.055414
512	0.054905
513	0.054732
514	0.053948
515	0.054800
516	0.054217
517	0.055090
518	0.054963
519	0.054695
520	0.054330
521	0.055015
522	0.054989
523	0.055458
524	0.054908
525	0.054552
526	0.054909
527	0.054752
528	0.054064
529	0.054349
530	0.055131
531	0.054076
532	0.054693
533	0.054792
534	0.054348
535	0.054704
536	0.054826
537	0.054524
538	0.054750
539	0.054396
540	0.054355
541	0.054333
542	0.054681
543	0.053977
544	0.054346
545	0.054240
546	0.054736
547	0.054184
548	0.054540
549	0.054240
550	0.054556
551	0.054064
552	0.054652
