Epochs	Loss	
1	0.205104
2	0.205150
3	0.205855
4	0.205028
5	0.201586
6	0.199472
7	0.200508
8	0.199130
9	0.196396
10	0.191458
11	0.191506
12	0.189263
13	0.186368
14	0.183480
15	0.179170
16	0.177464
17	0.174135
18	0.170954
19	0.169355
20	0.165650
21	0.161787
22	0.161047
23	0.153288
24	0.149831
25	0.149275
26	0.145300
27	0.141323
28	0.138592
29	0.134937
30	0.134234
31	0.128406
32	0.126138
33	0.121329
34	0.120136
35	0.117015
36	0.114980
37	0.111221
38	0.108913
39	0.107814
40	0.104703
41	0.103068
42	0.099385
43	0.098683
44	0.095788
45	0.095149
46	0.092039
47	0.092139
48	0.091467
49	0.090693
50	0.089709
51	0.088745
52	0.086958
53	0.086846
54	0.085133
55	0.085034
56	0.083863
57	0.083765
58	0.083247
59	0.082451
60	0.081770
61	0.081790
62	0.080961
63	0.081654
64	0.080060
65	0.080655
66	0.079121
67	0.079065
68	0.079499
69	0.078653
70	0.077693
71	0.077783
72	0.077092
73	0.077800
74	0.077501
75	0.076214
76	0.076764
77	0.076819
78	0.075906
79	0.075722
80	0.075681
81	0.075867
82	0.075295
83	0.074762
84	0.074662
85	0.074757
86	0.074562
87	0.073818
88	0.073024
89	0.073239
90	0.072704
91	0.073369
92	0.072776
93	0.073082
94	0.073090
95	0.072056
96	0.072937
97	0.072321
98	0.071947
99	0.072592
100	0.073639
101	0.070960
102	0.072330
103	0.071817
104	0.071514
105	0.072123
106	0.071793
107	0.071567
108	0.070171
109	0.071360
110	0.069959
111	0.070614
112	0.070598
113	0.070271
114	0.070307
115	0.069975
116	0.070455
117	0.070358
118	0.071049
119	0.070323
120	0.070344
121	0.070012
122	0.068785
123	0.070150
124	0.069315
125	0.069093
126	0.069731
127	0.069489
128	0.069496
129	0.068607
130	0.068740
131	0.068027
132	0.068880
133	0.069181
134	0.067913
135	0.067872
136	0.069062
137	0.068791
138	0.067840
139	0.068005
140	0.067831
141	0.068552
142	0.068051
143	0.067746
144	0.066591
145	0.067241
146	0.067721
147	0.067308
148	0.066230
149	0.066584
150	0.067286
151	0.067107
152	0.067871
153	0.066306
154	0.066016
155	0.067860
156	0.066430
157	0.066922
158	0.066819
159	0.066673
160	0.066674
161	0.066311
162	0.066683
163	0.066421
164	0.068039
165	0.066154
166	0.066940
167	0.066022
168	0.066353
169	0.065279
170	0.065860
171	0.065910
172	0.065264
173	0.065244
174	0.066491
175	0.065214
176	0.065421
177	0.065796
178	0.065234
179	0.064980
180	0.065218
181	0.064543
182	0.065064
183	0.064468
184	0.065010
185	0.065886
186	0.065041
187	0.064453
188	0.065039
189	0.064518
190	0.064980
191	0.064805
192	0.064695
193	0.064684
194	0.064490
195	0.064116
196	0.064939
197	0.064918
198	0.063726
199	0.064218
200	0.063297
201	0.064655
202	0.063546
203	0.063891
204	0.063650
205	0.064383
206	0.063407
207	0.064372
208	0.064056
209	0.064339
210	0.063654
211	0.064344
212	0.064612
213	0.064801
214	0.064731
215	0.063895
216	0.062723
217	0.063367
218	0.063767
219	0.063088
220	0.064011
221	0.064224
222	0.063962
223	0.063120
224	0.064792
225	0.063347
226	0.063093
227	0.062781
228	0.064142
229	0.063288
230	0.062897
231	0.062871
232	0.061963
233	0.063501
234	0.062990
235	0.062300
236	0.062253
237	0.063685
238	0.063234
239	0.063038
240	0.062892
241	0.064579
242	0.062833
243	0.061687
244	0.062739
245	0.062464
246	0.062111
247	0.062741
248	0.062345
249	0.062451
250	0.062423
251	0.062821
252	0.062505
253	0.062400
254	0.061890
255	0.061860
256	0.062477
257	0.062088
258	0.061674
259	0.063007
260	0.062094
261	0.062617
262	0.061601
263	0.061746
264	0.061984
265	0.061985
266	0.061249
267	0.061823
268	0.062260
269	0.061881
270	0.061644
271	0.061539
272	0.061204
273	0.062006
274	0.061869
275	0.062029
276	0.061823
277	0.062149
278	0.062583
279	0.061281
280	0.061696
281	0.060970
282	0.062050
283	0.061972
284	0.061975
285	0.060832
286	0.060605
287	0.061215
288	0.061299
289	0.061268
290	0.061192
291	0.061538
292	0.061631
293	0.060630
294	0.062061
295	0.061007
296	0.061721
297	0.061618
298	0.061346
299	0.060759
300	0.061193
301	0.060739
302	0.060751
303	0.060600
304	0.060902
305	0.061102
306	0.060292
307	0.060508
308	0.061055
309	0.061097
310	0.059828
311	0.060647
312	0.060228
313	0.060641
314	0.060581
315	0.060816
316	0.060363
317	0.060116
318	0.060236
319	0.060650
320	0.059733
321	0.059711
322	0.060165
323	0.059507
324	0.060315
325	0.061343
326	0.060553
327	0.060663
328	0.061121
329	0.059705
330	0.060647
331	0.059728
332	0.060480
333	0.059516
334	0.060160
335	0.059989
336	0.060126
337	0.059684
338	0.060402
339	0.059059
340	0.060767
341	0.060591
342	0.061354
343	0.059684
344	0.059789
345	0.059838
346	0.060739
347	0.060540
348	0.060158
349	0.059375
350	0.059281
351	0.058611
352	0.059694
353	0.059531
354	0.060239
355	0.060018
356	0.059378
357	0.060891
358	0.059700
359	0.058668
360	0.059151
361	0.059012
362	0.059068
363	0.059831
364	0.058924
365	0.059169
366	0.060220
367	0.058979
368	0.059944
369	0.058970
370	0.059771
371	0.059662
372	0.058662
373	0.058943
374	0.059937
375	0.059181
376	0.059799
377	0.059119
378	0.058821
379	0.060067
380	0.058798
381	0.059631
382	0.058824
383	0.058868
384	0.060422
385	0.059511
386	0.058877
387	0.059131
388	0.059150
389	0.058586
390	0.058952
391	0.058251
392	0.058740
393	0.058517
394	0.057928
395	0.059051
396	0.057733
397	0.059181
398	0.058667
399	0.058512
400	0.059332
401	0.058502
402	0.058529
403	0.058397
404	0.058997
405	0.058702
406	0.058435
407	0.058924
408	0.059409
409	0.058488
410	0.058989
411	0.059331
412	0.059068
413	0.059810
414	0.057825
415	0.058484
416	0.058457
417	0.058909
418	0.058073
419	0.058350
420	0.058005
421	0.057880
422	0.058464
423	0.058701
424	0.057671
425	0.059053
426	0.059034
427	0.057740
428	0.058465
429	0.058003
430	0.058099
431	0.057953
432	0.058989
433	0.058125
434	0.057653
435	0.058596
436	0.057328
437	0.057501
438	0.058164
439	0.058017
440	0.058637
441	0.057677
442	0.058116
443	0.058141
444	0.058106
445	0.058154
446	0.057645
447	0.057601
448	0.058265
449	0.056506
450	0.057920
451	0.057909
452	0.057610
453	0.056831
454	0.057544
455	0.057193
456	0.056746
457	0.057853
458	0.057558
459	0.056834
460	0.057892
461	0.056938
462	0.057318
463	0.058414
464	0.057667
465	0.057153
466	0.057825
467	0.057331
468	0.057608
469	0.056840
470	0.056676
471	0.057835
472	0.057113
473	0.056686
474	0.056946
475	0.056323
476	0.057644
477	0.056494
478	0.057035
479	0.057209
480	0.057047
